time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025500,1040.6,3620.2,2309.5,137.4,2947.2,377.2,407.5,2553.1,2995,193.8,57.5,-200
0.027500,378.7,813.1,2301.5,112.0,2931.4,353.6,407.5,2552.7,2995,193,59.1,-203.3
0.029500,461.2,433.6,2297.1,92.3,2924.8,316.7,407.5,2552.1,2994.9,192.2,59.9,-209.8
0.031500,438.0,276.0,2296.2,79.9,2930.8,269.1,407.5,2551.2,2994.7,191.2,61.1,-214.7
0.033500,403.2,205.0,2296.5,71.4,2940.2,220.7,407.5,2550.1,2994.5,190.3,62.5,-213.1
0.035500,387.9,203.0,2294.3,73.5,2942.3,204.0,407.6,2548.7,2994.3,189.3,63.9,-200
0.037500,398.4,236.6,2283.1,109.9,2922.8,252.5,407.6,2547,2994,188.3,65.4,-168.9
0.039500,419.9,270.1,2254.6,190.3,2874.5,317.9,407.6,2545.2,2993.7,187.2,66.7,-122.9
0.041500,461.2,286.2,2227.7,221.9,2851.3,309.3,407.7,2543,2993.3,186.1,68,-72.1
0.043500,510.6,251.1,2218.9,209.4,2846.9,299.4,407.7,2540.7,2992.9,185,69.1,-26.3
0.045500,536.8,190.7,2228.1,194.0,2837.9,329.3,407.8,2538,2992.4,183.9,70.1,4.7
0.047500,541.8,144.4,2251.8,187.0,2818.8,401.2,407.8,2535.2,2991.9,182.8,71,17.3
0.049500,536.1,112.4,2288.0,185.5,2790.4,507.9,407.9,2532.1,2991.4,181.7,71.8,18.3
0.051500,526.9,92.2,2323.9,177.3,2790.2,599.2,408,2528.7,2990.8,180.6,72.5,12.7
0.053500,518.0,76.9,2349.6,151.3,2885.9,580.2,408,2525.1,2990.2,179.6,73.1,5.7
0.055500,512.7,65.5,2361.0,125.7,2987.8,390.7,408.1,2521.3,2989.5,178.5,73.6,2.6
0.057500,510.9,58.0,2364.4,116.2,3022.7,256.9,408.2,2517.3,2988.8,177.5,74.1,3.6
0.059500,510.3,53.7,2364.3,122.5,3027.6,200.1,408.3,2513,2988.1,176.5,74.6,5.2
0.061500,509.1,52.6,2362.2,141.4,3017.8,188.7,408.4,2508.5,2987.3,175.6,75,7
0.063500,505.4,54.4,2360.6,167.6,3003.9,192.1,408.5,2503.7,2986.5,174.7,75.3,8.9
0.065500,498.9,58.1,2364.7,189.3,2997.9,200.1,408.6,2498.7,2985.6,173.8,75.6,10.4
0.067500,492.0,61.2,2376.3,197.7,3005.0,212.3,408.7,2493.5,2984.7,173,75.9,11.8
0.069500,486.8,62.6,2392.4,194.0,3027.8,226.8,408.9,2488.1,2983.8,172.3,76.2,13.1
0.071500,482.6,63.3,2402.4,188.2,3061.8,222.1,409,2482.5,2982.8,171.6,76.5,14.3
0.073500,476.8,65.9,2400.3,195.8,3089.4,191.2,409.1,2476.6,2981.8,170.9,76.8,15.2
0.075500,470.2,69.0,2393.4,212.7,3103.4,163.6,409.2,2470.5,2980.7,170.3,77.1,15.8
0.077500,465.2,71.3,2388.6,224.0,3111.2,143.3,409.4,2464.3,2979.7,169.8,77.3,15.9
0.079500,462.3,74.3,2379.4,229.6,3115.1,127.4,409.5,2457.8,2978.6,169.3,77.4,15.7
0.081500,460.1,78.8,2360.5,227.0,3114.2,117.1,409.7,2451.1,2977.4,168.8,77.5,15.2
0.083500,455.8,86.1,2335.6,207.8,3110.1,112.6,409.9,2444.2,2976.2,168.4,77.5,14.6
0.085500,448.2,97.1,2319.5,178.9,3106.2,119.4,410,2437.1,2975,168,77.3,13.8
0.087500,439.7,112.2,2314.9,156.2,3103.8,138.3,410.2,2429.8,2973.8,167.7,77.1,12.6
0.089500,432.9,135.8,2315.9,140.7,3099.1,170.9,410.4,2422.4,2972.5,167.4,76.8,11.1
0.091500,431.8,167.5,2317.9,134.3,3081.5,215.2,410.6,2414.7,2971.2,167.2,76.5,9.6
0.093500,433.5,193.7,2319.9,142.5,3035.3,264.5,410.8,2406.9,2969.9,167,76.2,8.3
0.095500,410.6,198.0,2324.9,171.5,2980.9,278.2,411,2398.9,2968.5,166.9,76.1,7.6
0.097500,352.2,181.6,2337.9,215.5,2959.4,270.7,411.2,2390.7,2967.1,166.8,76.1,7.7
0.099500,302.5,127.7,2354.2,274.1,2950.8,277.2,411.4,2382.4,2965.7,166.8,76.2,8.3
0.101500,285.5,98.6,2364.6,336.6,2933.8,289.8,411.6,2373.8,2964.3,166.7,76.3,9.2
0.103500,280.2,93.2,2370.0,401.4,2905.7,292.9,411.9,2365.2,2962.8,166.8,76.5,10.3
0.105500,280.7,100.5,2370.9,441.3,2879.4,282.8,412.1,2356.3,2961.3,166.8,76.5,11.4
