time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025573,113.0,639.8,1821.3,528.0,3136.3,406.5,255,2064.5,2994.9,0,56.5,-200.9
0.027573,246.7,244.4,1864.1,514.6,3175.7,430.7,255.2,2064.4,2994.9,169.5,59.9,-206.5
0.029573,256.8,132.8,1961.6,637.2,3297.2,497.4,255.5,2064.3,2994.8,169.2,62.9,-213
0.031573,271.9,135.2,2093.9,585.5,3437.7,415.6,256,2064.2,2994.8,168.9,65.5,-215.3
0.033573,308.8,168.6,2109.1,510.8,3489.4,320.9,256.5,2064.1,2994.7,168.6,67.7,-208.4
0.035573,342.5,165.5,2082.1,549.4,3483.6,283.0,257.2,2063.9,2994.5,168.3,69.5,-186.7
0.037573,342.4,160.8,2035.3,651.7,3446.1,283.0,258,2063.8,2994.4,168,71,-146.6
0.039573,313.8,138.3,1934.3,658.2,3384.3,318.5,258.9,2063.5,2994.2,167.7,72.2,-96.5
0.041573,295.5,92.1,1803.5,544.4,3300.7,449.2,260,2063.3,2994,167.4,73.2,-46.4
0.043573,293.4,74.2,1700.5,351.7,3139.7,786.9,261.1,2063,2993.8,167.1,74,-5.9
0.045573,297.2,87.7,1681.3,221.4,2836.3,761.2,262.4,2062.7,2993.6,166.8,74.6,16.3
0.047573,301.9,118.5,1683.1,177.5,2754.9,663.0,263.8,2062.4,2993.3,166.6,75.2,24
0.049573,306.0,149.1,1691.7,164.5,2705.8,655.2,265.3,2062,2993,166.4,75.7,22.8
0.051573,309.2,156.3,1705.9,166.8,2650.1,662.5,267,2061.6,2992.7,166.2,76.2,17.6
0.053573,311.1,136.4,1727.4,180.6,2593.9,637.0,268.7,2061.2,2992.4,166,76.6,13.1
0.055573,311.3,103.3,1763.9,208.0,2598.2,586.1,270.6,2060.8,2992,165.9,77,13.2
0.057573,310.7,75.5,1827.5,248.4,2717.6,503.3,272.6,2060.3,2991.6,165.7,77.3,14.3
0.059573,309.9,54.4,1933.2,314.2,2849.5,308.9,274.7,2059.8,2991.2,165.6,77.6,15.3
0.061573,310.0,43.0,2087.4,425.1,2911.3,197.8,276.9,2059.2,2990.8,165.5,77.9,16.3
0.063573,311.4,39.9,2315.2,543.4,2951.4,181.4,279.2,2058.7,2990.3,165.5,78.1,17.3
0.065573,313.6,41.3,2557.0,549.4,2991.4,240.3,281.6,2058.1,2989.8,165.4,78.3,18.2
0.067573,314.5,41.9,2690.9,475.7,3038.4,348.1,284.2,2057.4,2989.3,165.4,78.5,19.1
0.069573,314.0,41.3,2725.9,411.6,3097.2,448.1,286.8,2056.8,2988.8,165.4,78.6,19.9
0.071573,313.4,41.7,2713.3,365.6,3144.0,513.0,289.6,2056.1,2988.3,165.4,78.7,20.6
0.073573,313.5,43.9,2695.0,321.4,3168.5,579.2,292.4,2055.4,2987.7,165.4,78.8,21.4
0.075573,314.5,46.9,2686.8,283.3,3164.7,671.3,295.4,2054.6,2987.1,165.4,78.9,22.1
