time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025687,537.9,162.2,2016.5,177.2,2240.8,1613.6,739.9,1808.4,2502.4,0,62.3,-200
0.027687,534.1,106.2,2027.0,105.1,2287.1,1271.9,739.8,1808.6,2502.5,0,64.4,-187.1
0.029687,529.4,81.9,2019.5,79.1,2329.9,928.5,739.7,1808.9,2502.6,0,66,-148
0.031687,529.4,69.4,2007.8,66.2,2339.2,688.1,739.5,1809.3,2502.7,0,67.4,-99.2
0.033687,535.1,61.2,1997.5,56.0,2342.5,547.5,739.2,1809.8,2502.9,0,68.5,-50.4
0.035687,548.6,55.9,1989.2,48.1,2350.2,431.7,738.9,1810.5,2503.1,0,69.5,-11.4
0.037687,571.1,53.8,1983.1,45.3,2359.5,307.5,738.6,1811.3,2503.3,0,70.6,9.5
0.039687,597.2,52.3,1978.9,48.1,2363.9,211.3,738.2,1812.2,2503.6,0,71.9,15.8
0.041687,613.7,48.2,1975.8,53.9,2363.9,166.0,737.7,1813.2,2503.9,0,73.4,13.1
0.043687,620.1,44.7,1974.8,58.0,2364.7,153.9,737.2,1814.3,2504.3,0,74.8,6.5
0.045687,625.0,43.7,1977.0,60.0,2369.8,160.7,736.6,1815.5,2504.7,171.5,76.2,1
0.047687,632.3,45.2,1981.6,61.7,2378.6,179.6,736,1816.9,2505.1,171.4,77.4,0.6
0.049687,643.0,48.0,1986.0,64.7,2385.8,202.1,735.3,1818.4,2505.6,171.3,78.5,1.7
0.051687,655.3,49.9,1987.0,69.5,2385.1,223.3,734.6,1820,2506.1,171.2,79.4,3.3
0.053687,666.3,50.1,1982.8,75.9,2375.4,242.6,733.8,1821.7,2506.7,171.1,80.2,4.8
0.055687,676.6,48.4,1974.3,82.4,2362.4,261.2,733,1823.5,2507.3,171,80.9,6
0.057687,685.3,44.5,1967.0,84.0,2359.8,278.0,732.1,1825.4,2507.9,170.9,81.6,6.6
0.059687,691.9,39.3,1966.3,79.8,2376.0,296.1,731.2,1827.5,2508.5,170.8,82.2,6.5
0.061687,696.6,34.6,1971.9,75.3,2405.1,319.4,730.2,1829.7,2509.2,170.7,82.8,6.2
0.063687,699.6,31.4,1978.9,74.5,2435.9,348.2,729.1,1831.9,2510,170.6,83.4,5.8
0.065687,702.3,29.3,1982.6,76.4,2458.2,359.6,728.1,1834.3,2510.7,170.5,83.8,5.6
0.067687,705.8,28.3,1977.6,78.3,2449.9,326.7,726.9,1836.8,2511.5,170.4,84.2,6
0.069687,709.7,28.0,1968.5,79.5,2438.2,284.8,725.7,1839.4,2512.4,170.2,84.4,6.6
0.071687,712.6,28.6,1962.1,82.8,2442.2,273.1,724.5,1842.1,2513.3,170.1,84.5,7.5
0.073687,714.3,30.2,1960.8,88.5,2458.1,285.9,723.2,1845,2514.2,170,84.6,8.5
0.075687,717.1,33.2,1963.2,95.6,2477.7,297.2,721.9,1847.9,2515.1,169.9,84.5,9.5
0.077687,722.5,37.0,1968.2,103.0,2489.0,289.1,720.5,1850.9,2516.1,169.9,84.5,10.7
0.079687,729.8,41.1,1975.2,109.5,2491.3,273.5,719.1,1854.1,2517.1,169.8,84.4,12.2
0.081687,737.1,44.5,1982.1,114.5,2488.9,268.5,717.6,1857.3,2518.2,169.7,84.3,13.9
0.083687,743.1,46.4,1986.2,118.7,2483.5,275.5,716,1860.7,2519.2,169.7,84.2,15.3
0.085687,748.6,47.2,1986.6,121.1,2475.0,281.7,714.5,1864.1,2520.4,169.6,84.1,16.1
