time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,642.3,39.6,2288.5,118.0,2928.1,293.5,558.7,1821.2,2663.2,171,74.1,3
0.027000,642.1,47.3,2289.5,126.0,2935.9,273.6,558.6,1821.5,2663.2,171.1,74.2,5
0.029000,640.4,55.0,2286.4,131.9,2937.2,247.5,558.4,1822.1,2663.3,171.2,74.3,7.6
0.031000,637.2,61.9,2282.9,138.4,2936.7,220.8,558.1,1822.8,2663.4,171.3,74.3,10.2
0.033000,632.9,66.9,2282.7,143.9,2936.7,196.4,557.7,1823.8,2663.5,171.4,74.4,12.5
0.035000,628.3,69.2,2286.0,145.8,2937.2,179.1,557.3,1824.9,2663.6,171.4,74.5,14
0.037000,624.0,70.3,2290.0,143.7,2936.7,165.5,556.7,1826.3,2663.8,171.5,74.7,15.1
0.039000,621.0,71.5,2291.2,138.6,2933.4,153.1,556.1,1827.9,2664,171.6,74.8,15.9
0.041000,619.3,73.9,2288.6,133.6,2927.2,140.8,555.4,1829.7,2664.2,171.7,74.9,16.4
0.043000,618.5,77.6,2284.1,131.4,2920.0,130.1,554.6,1831.7,2664.4,171.8,75,16.8
0.045000,618.0,80.9,2281.3,132.9,2914.5,122.6,553.7,1833.9,2664.7,171.9,75.1,17.1
0.047000,616.4,82.9,2280.8,137.3,2910.6,116.1,552.8,1836.3,2665,172,75.1,17.1
0.049000,612.5,84.0,2279.9,141.7,2907.8,110.5,551.7,1838.9,2665.3,172.1,75.1,17
0.051000,605.7,84.9,2273.0,143.4,2904.0,107.3,550.6,1841.7,2665.6,172.2,75,16.7
0.053000,595.5,86.3,2256.0,143.0,2897.1,109.4,549.4,1844.7,2666,172.3,75,16.6
0.055000,584.3,88.1,2234.6,142.7,2887.1,115.9,548.2,1847.9,2666.3,172.4,74.9,16.6
0.057000,573.0,89.5,2213.1,143.1,2873.9,124.3,546.8,1851.3,2666.8,172.5,74.9,16.8
0.059000,563.6,89.2,2193.5,144.3,2859.9,133.4,545.4,1854.9,2667.2,172.7,74.9,17
0.061000,555.3,87.2,2169.1,147.4,2845.8,144.6,543.9,1858.7,2667.7,172.8,74.9,17.1
0.063000,546.5,83.8,2129.1,153.2,2831.8,160.0,542.4,1862.6,2668.1,172.9,75,17.1
0.065000,536.9,79.7,2070.7,151.0,2819.5,175.8,540.7,1866.8,2668.6,173.1,75,16.8
0.067000,526.9,76.2,2003.0,124.1,2809.3,185.0,539,1871.1,2669.2,173.2,75,16.2
0.069000,518.9,74.6,1952.8,91.1,2800.0,188.4,537.3,1875.7,2669.7,173.4,75,15.5
0.071000,512.9,74.3,1917.0,70.7,2783.4,197.0,535.4,1880.4,2670.3,173.6,74.9,14.7
0.073000,508.9,75.5,1888.1,62.8,2757.8,206.6,533.5,1885.3,2670.9,173.8,74.6,13.8
0.075000,507.4,79.4,1865.4,63.8,2741.0,200.6,531.6,1890.3,2671.6,174,74.3,12.9
0.077000,507.0,88.8,1844.5,73.8,2740.7,184.2,529.5,1895.5,2672.2,174.2,73.9,11.7
0.079000,505.5,104.5,1823.2,96.1,2743.9,176.3,527.4,1900.9,2672.9,174.4,73.5,10.5
0.081000,499.7,127.5,1799.2,139.5,2738.8,186.5,525.3,1906.5,2673.6,174.7,73.1,9.3
0.083000,484.6,159.5,1779.5,220.6,2717.4,216.9,523.1,1912.2,2674.3,174.9,72.9,8.5
0.085000,458.9,194.4,1780.2,336.9,2682.0,241.6,520.8,1918,2675.1,175.2,72.9,8
0.087000,422.6,215.1,1795.8,477.4,2645.6,226.4,518.5,1924.1,2675.9,175.4,73.2,7.7
0.089000,388.1,202.0,1793.5,610.9,2620.3,185.2,516.1,1930.2,2676.7,175.7,73.5,7.6
0.091000,363.6,172.7,1766.6,747.2,2601.8,155.0,513.7,1936.5,2677.5,176,73.9,7.8
0.093000,349.2,147.1,1745.1,888.5,2590.4,151.4,511.2,1943,2678.3,176.2,74.3,8.6
0.095000,341.8,131.8,1561.2,5434.3,1735.0,1023.4,508.7,1949.6,2679.2,176.5,74.6,10.2
0.097000,338.6,124.6,1708.1,1144.5,1909.8,3366.6,506.2,1956.3,2680.1,176.8,74.8,12.9
0.099000,339.0,124.8,1683.2,1226.5,1887.0,2923.8,503.6,1963.2,2681,177.1,74.9,16.3
0.101000,341.4,128.1,1701.0,1388.4,1769.3,2545.4,500.9,1970.2,2682,177.4,75,19.6
0.103000,343.8,132.0,1413.2,1938.0,1991.9,1562.8,498.2,1977.3,2682.9,177.7,75.1,22.1
0.105000,345.9,136.7,1246.5,1795.4,2145.3,1428.6,495.5,1984.5,2683.9,178,75.1,23.2
0.107000,349.2,145.2,1237.7,1911.9,2101.9,1652.8,492.8,1991.8,2684.9,178.3,75.2,22.9
0.109000,355.6,157.1,1004.5,3739.1,1718.3,1346.6,490,1999.2,2686,178.6,75.2,21.9
0.111000,366.0,168.7,1659.0,917.3,2578.5,273.0,487.2,2006.8,2687,178.9,75.2,20.7
0.113000,377.6,173.5,1631.4,703.3,2618.5,229.1,484.3,2014.4,2688.1,179.3,75.2,19.8
0.115000,384.0,168.9,1626.6,617.7,2635.7,206.4,481.5,2022.2,2689.2,179.6,75.3,19.7
0.117000,385.7,159.1,1643.5,610.2,2628.5,194.1,478.6,2030,2690.4,179.9,75.3,20.1
0.119000,386.9,150.9,1670.7,655.0,2610.0,180.6,475.7,2037.9,2691.5,180.2,75.4,20.8
0.121000,388.8,146.9,1698.6,748.0,2595.8,163.0,472.8,2045.9,2692.7,180.6,75.5,21.7
0.123000,389.4,147.4,1731.2,891.9,2591.0,146.7,469.8,2053.9,2693.9,180.9,75.6,22.4
0.125000,388.2,149.7,1776.0,1006.8,2592.3,135.5,466.9,2062.1,2695.1,181.3,75.7,22.9
0.127000,387.5,150.5,1815.7,1002.9,2594.3,126.5,463.9,2070.2,2696.3,181.7,75.9,23.4
0.129000,387.8,147.4,1816.6,906.5,2593.4,118.8,460.9,2078.5,2697.6,182.1,76,23.7
0.131000,387.7,142.0,1789.8,792.4,2589.4,114.8,458,2086.8,2698.9,182.5,76.1,24.1
0.133000,387.4,137.3,1758.1,698.7,2582.4,122.1,455,2095.2,2700.2,183,76.2,24.5
0.135000,388.6,134.5,1744.0,656.8,2573.3,144.3,452,2103.6,2701.5,183.4,76.3,24.9
0.137000,392.9,132.8,1750.5,660.4,2566.6,171.9,449,2112,2702.9,183.9,76.4,25.5
0.139000,399.6,131.2,1765.4,682.0,2570.5,183.1,446,2120.5,2704.3,184.4,76.5,26.1
0.141000,405.5,129.8,1771.7,703.1,2578.9,181.2,443.1,2129,2705.7,185,76.6,26.6
0.143000,408.4,128.9,1761.2,715.0,2582.7,178.0,440.1,2137.5,2707.1,185.5,76.7,26.9
0.145000,408.2,127.6,1738.0,709.3,2579.9,177.6,437.2,2146,2708.5,186.1,76.9,27
0.147000,406.1,127.1,1706.3,694.1,2575.1,178.5,434.3,2154.6,2710,186.8,77.1,27
0.149000,401.9,130.3,1673.1,690.8,2574.0,181.3,431.3,2163.2,2711.4,187.4,77.3,26.8
0.151000,394.4,138.8,1640.2,716.3,2575.0,188.9,428.5,2171.7,2712.9,188.1,77.5,26.2
0.153000,384.0,148.0,1592.4,742.2,2570.3,201.7,425.6,2180.3,2714.5,188.8,77.7,25.2
0.155000,377.5,152.0,1535.2,657.0,2559.6,217.9,422.7,2188.8,2716,189.5,77.9,23.3
0.157000,377.2,158.7,1535.5,509.1,2552.3,265.8,419.9,2197.4,2717.6,190.3,78.1,20.2
0.159000,381.6,174.1,1607.9,446.7,2557.0,377.8,417.1,2205.9,2719.2,191.1,78.4,16.5
0.161000,395.3,200.7,1721.9,383.6,2601.8,466.4,414.4,2214.4,2720.8,191.9,78.6,12.9
0.163000,424.9,236.7,1809.1,260.0,2660.5,384.4,411.6,2222.9,2722.4,192.7,78.8,10
0.165000,459.3,248.2,1859.0,175.0,2688.8,260.0,409,2231.3,2724,193.5,79.1,8.3
0.167000,476.0,223.5,1901.2,133.4,2706.8,167.8,406.3,2239.7,2725.7,194.4,79.2,7.6
0.169000,474.4,184.5,1940.9,126.9,2718.5,118.8,403.7,2248,2727.4,195.3,79.3,7.6
0.171000,472.0,147.5,1986.1,144.5,2725.7,93.5,401.1,2256.3,2729.1,196.2,79.4,7.9
0.173000,473.8,126.3,2047.2,180.5,2731.6,79.3,398.6,2264.6,2730.8,197.1,79.5,8.2
0.175000,477.0,124.6,2122.9,212.3,2740.3,69.6,396.2,2272.7,2732.5,198,79.6,8.3
0.177000,479.2,136.3,2204.4,219.6,2753.4,59.6,393.8,2280.8,2734.3,199,79.7,8.6
0.179000,477.7,152.3,2263.5,217.1,2766.5,51.4,391.4,2288.9,2736,199.9,79.9,8.9
0.181000,471.4,167.5,2305.1,228.1,2778.8,47.2,389.1,2296.9,2737.8,200.9,80,9.3
0.183000,463.7,182.1,2343.4,249.4,2791.8,47.5,386.8,2304.7,2739.7,201.8,80.2,9.6
0.185000,459.9,196.3,2384.2,257.2,2805.5,50.4,384.7,2312.5,2741.5,202.8,80.4,10
0.187000,460.5,209.2,2428.8,239.7,2821.1,54.8,382.5,2320.2,2743.3,203.8,80.6,10.5
0.189000,462.2,213.8,2467.8,212.1,2837.1,60.9,380.5,2327.9,2745.2,204.8,80.8,11
0.191000,460.9,209.3,2502.9,191.6,2854.1,71.2,378.5,2335.4,2747.1,205.9,81.1,11.4
0.193000,456.2,198.9,2538.4,182.0,2872.4,88.8,376.5,2342.8,2749,206.9,81.3,11.8
0.195000,450.4,186.6,2570.8,178.6,2888.9,113.5,374.7,2350.1,2750.9,207.9,81.4,12.1
0.197000,443.3,170.4,2600.4,178.3,2903.1,149.0,372.9,2357.3,2752.8,209,81.6,12.4
0.199000,435.9,151.2,2624.4,181.7,2911.9,194.3,371.2,2364.3,2754.7,210.1,81.8,12.5
0.201000,429.5,131.4,2645.8,187.3,2914.6,249.2,369.6,2371.3,2756.7,211.2,81.9,12.7
0.203000,424.6,113.4,2666.2,194.2,2909.5,306.9,368,2378.1,2758.7,212.3,82.1,12.7
0.205000,421.4,98.5,2684.0,203.0,2896.8,349.8,366.5,2384.8,2760.7,213.4,82.2,12.7
0.207000,419.6,84.7,2701.5,217.3,2878.6,369.8,365.1,2391.3,2762.7,214.6,82.3,12.5
0.209000,419.6,73.2,2719.8,247.6,2854.7,353.6,363.8,2397.7,2764.7,215.8,82.5,12.3
0.211000,420.8,64.0,2739.0,346.7,2822.3,267.0,362.6,2404,2766.7,217,82.6,12
0.213000,422.1,56.3,2712.7,465.0,2829.3,174.8,361.5,2410.1,2768.8,218.2,82.7,11.8
0.215000,422.8,50.3,2691.7,527.6,2835.2,135.2,360.4,2416,2770.8,219.4,82.8,11.6
0.217000,423.0,45.4,2679.7,531.4,2840.8,119.6,359.5,2421.8,2772.9,220.7,82.9,11.6
0.219000,422.9,42.2,2671.7,477.8,2850.3,122.3,358.6,2427.5,2775,222,82.9,11.6
0.221000,422.7,40.6,2664.7,401.2,2866.8,136.9,357.8,2432.9,2777.1,223.3,82.9,11.5
0.223000,422.4,40.1,2661.6,328.4,2888.6,159.2,357.1,2438.2,2779.2,224.6,82.8,11.4
0.225000,422.8,40.3,2664.4,277.1,2904.9,183.5,356.5,2443.4,2781.3,225.9,82.7,11
0.227000,424.7,41.6,2673.0,245.7,2908.3,207.8,356,2448.3,2783.4,227.2,82.7,10.2
0.229000,427.7,43.8,2685.8,241.0,2896.4,222.4,355.6,2453.1,2785.6,228.6,82.6,9.3
0.231000,430.5,46.6,2701.8,267.8,2875.4,214.5,355.3,2457.7,2787.8,229.9,82.7,8.5
0.233000,431.9,50.2,2716.9,329.3,2859.4,176.8,355.1,2462.1,2789.9,231.3,82.7,8.1
0.235000,431.5,54.7,2730.2,391.4,2857.5,141.4,355,2466.4,2792.1,232.6,82.8,8.1
0.237000,429.9,60.9,2747.7,435.9,2861.2,121.1,355,2470.4,2794.3,233.9,82.9,8.8
0.239000,428.8,68.0,2757.0,459.5,2867.6,112.8,355.1,2474.2,2796.5,235.3,83.1,9.8
0.241000,429.9,73.8,2752.1,481.2,2876.9,110.3,355.4,2477.9,2798.7,236.6,83.3,10.9
0.243000,434.4,75.0,2735.2,508.1,2888.3,111.6,355.7,2481.3,2800.9,237.8,83.5,11.8
0.245000,440.9,70.5,2715.3,530.9,2898.5,116.0,356.1,2484.6,2803.1,239.1,83.8,12.2
0.247000,448.2,62.9,2697.3,556.3,2905.3,121.4,356.6,2487.6,2805.4,240.3,83.9,12.4
0.249000,454.5,56.3,2679.5,587.4,2907.6,126.9,357.2,2490.5,2807.6,241.5,84.1,12.3
0.251000,460.3,52.2,2655.4,602.0,2907.5,137.8,358,2493.1,2809.9,242.7,84.1,12.2
0.253000,466.6,50.2,2631.8,567.7,2905.5,163.2,358.8,2495.5,2812.1,243.8,84,12.2
0.255000,473.1,49.3,2620.3,505.0,2900.1,197.2,359.7,2497.7,2814.4,244.9,83.9,12.2
0.257000,480.0,47.8,2610.4,445.5,2891.1,219.2,360.8,2499.7,2816.7,245.9,83.6,12.2
0.259000,486.7,45.5,2593.1,402.6,2883.4,212.9,361.9,2501.5,2818.9,246.9,83.3,12.3
0.261000,493.0,43.1,2571.2,361.1,2879.4,193.7,363.2,2503.1,2821.2,247.9,83,12.4
0.263000,498.9,41.3,2551.1,307.8,2879.9,175.1,364.6,2504.4,2823.5,248.8,82.6,12.5
0.265000,503.4,40.8,2537.5,248.8,2884.8,163.3,366.1,2505.5,2825.8,249.6,82.2,12.7
0.267000,506.3,41.4,2527.9,191.5,2893.0,158.8,367.6,2506.4,2828.1,250.5,81.8,13.1
0.269000,506.9,42.6,2520.9,151.5,2901.5,166.7,369.3,2507.1,2830.4,251.3,81.4,13.6
0.271000,505.0,44.3,2516.4,128.6,2909.6,195.2,371.1,2507.6,2832.7,252,81.1,13.9
0.273000,500.1,46.7,2516.0,121.1,2921.3,260.7,373,2507.8,2835,252.7,80.7,14
0.275000,491.3,51.1,2521.1,128.3,2942.8,353.3,375.1,2507.8,2837.3,253.4,80.5,13.6
0.277000,475.4,60.1,2533.4,165.1,2961.5,407.3,377.2,2507.6,2839.6,254,80.3,12.4
0.279000,452.6,72.5,2562.5,268.7,2938.8,388.3,379.4,2507.2,2842,254.6,80.4,10.9
0.281000,426.4,85.8,2634.8,511.4,2873.0,333.9,381.7,2506.5,2844.3,255.1,80.5,9.6
0.283000,404.0,98.3,2709.6,935.7,2843.1,207.1,384.2,2505.6,2846.6,255.6,80.7,8.8
0.285000,391.0,109.7,2815.2,1243.8,2843.6,167.8,386.7,2504.5,2848.9,256.1,81,9.2
0.287000,384.3,122.7,2844.8,157.5,3002.0,1505.9,389.3,2503.1,2851.2,256.6,81.2,10.8
0.289000,381.6,136.4,2850.2,151.0,3219.7,1748.0,392.1,2501.6,2853.6,257,81.3,13
0.291000,380.6,149.2,2858.8,141.0,3349.0,880.2,394.9,2499.8,2855.9,257.4,81.5,15.3
0.293000,381.2,157.4,2866.6,127.4,3257.3,1004.6,397.9,2497.7,2858.2,257.8,81.6,17.1
0.295000,384.2,158.1,2871.4,114.7,3156.1,971.5,400.9,2495.5,2860.5,258.1,81.7,17.9
0.297000,390.1,154.3,2873.6,104.5,3113.4,887.8,404,2493,2862.8,258.4,81.8,17.8
0.299000,396.3,151.2,2874.2,97.5,3106.5,836.2,407.3,2490.3,2865.1,258.7,81.8,17.3
0.301000,400.0,151.4,2875.1,91.8,3108.5,849.5,410.6,2487.4,2867.5,259,81.8,16.6
0.303000,398.5,154.6,2877.9,85.2,3098.0,950.3,414,2484.3,2869.8,259.3,81.7,16.2
0.305000,391.7,157.9,2881.7,76.8,3050.3,1118.7,417.5,2480.9,2872.1,259.6,81.6,16.4
0.307000,381.5,159.2,2884.7,66.5,2944.3,1306.0,421.2,2477.3,2874.4,259.8,81.5,17.3
0.309000,371.4,159.0,2809.0,1430.6,2885.4,57.3,424.9,2473.5,2876.7,260.1,81.4,18.4
0.311000,362.3,159.6,2677.8,1473.4,2884.5,51.0,428.7,2469.5,2878.9,260.3,81.2,19.5
0.313000,353.9,163.0,2586.9,1446.1,2882.6,48.4,432.5,2465.3,2881.2,260.6,81,20
0.315000,346.9,168.8,2558.5,1411.2,2879.8,49.8,436.5,2460.8,2883.5,260.8,80.7,19.8
0.317000,341.3,175.4,2569.0,1436.5,2875.2,55.0,440.5,2456.2,2885.8,261,80.5,18.8
0.319000,338.1,179.3,2565.9,1581.0,2869.6,62.5,444.7,2451.3,2888,261.3,80.2,17.4
0.321000,337.5,179.1,2414.4,1810.1,2864.7,72.6,448.9,2446.2,2890.3,261.5,79.9,15.8
0.323000,342.3,176.6,2154.1,1643.9,2859.1,95.0,453.2,2441,2892.6,261.7,79.7,14.3
0.325000,360.0,178.9,2167.0,1480.6,2838.3,155.4,457.6,2435.5,2894.8,261.9,79.7,13.1
0.327000,395.2,180.4,2505.6,1515.8,2763.4,268.4,462,2429.8,2897,262.1,79.8,11.9
0.329000,432.1,163.8,2667.5,279.2,2862.5,1087.8,466.5,2423.9,2899.3,262.3,80.1,10.8
0.331000,460.1,140.8,2623.9,242.4,2910.1,686.1,471.1,2417.8,2901.5,262.5,80.5,9.8
0.333000,479.5,124.8,2606.9,216.8,2909.1,491.6,475.8,2411.6,2903.7,262.7,80.9,9.1
0.335000,492.4,120.1,2603.3,218.6,2889.6,397.3,480.5,2405.1,2905.9,262.9,81.3,8.9
0.337000,502.5,123.4,2601.0,260.7,2853.9,321.2,485.3,2398.4,2908,263,81.8,8.9
0.339000,508.8,130.0,2583.8,333.7,2826.3,238.4,490.1,2391.6,2910.2,263.2,82.2,9.3
0.341000,511.8,135.9,2552.9,378.9,2820.9,178.5,495.1,2384.6,2912.4,263.3,82.5,10
0.343000,512.8,139.8,2529.4,376.8,2826.1,149.8,500,2377.4,2914.5,263.4,82.8,10.9
0.345000,513.2,141.1,2514.2,355.2,2834.2,136.3,505.1,2370,2916.7,263.4,83,12.1
0.347000,514.0,140.4,2495.0,336.6,2842.6,124.1,510.2,2362.5,2918.8,263.5,83.2,13.8
0.349000,515.5,137.9,2468.9,327.8,2849.9,110.6,515.3,2354.7,2920.9,263.5,83.4,15.9
