time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025016,1223.9,700.8,2339.9,486.1,3664.5,444.9,489.4,1305.3,2173.4,0,53.1,-200
0.027016,163.1,147.9,1312.6,652.7,2333.9,563.9,489.4,1305.5,2173.6,0,54.7,-200
0.029016,205.5,72.6,1441.1,532.5,2267.4,818.1,489.5,1306,2174,0,56.9,-200
0.031016,225.8,51.6,1520.1,449.6,2115.1,1058.6,489.6,1306.6,2174.5,0,59.2,-200
0.033016,234.7,46.7,1551.0,471.0,1921.9,974.9,489.7,1307.5,2175.1,0,61.4,-200
0.035016,240.0,48.8,1566.8,484.9,1871.9,865.6,489.9,1308.5,2175.9,0,63.3,-200
0.037016,245.5,56.3,1563.9,402.5,1967.6,810.8,490.1,1309.7,2176.8,0,64.9,-200.9
0.039016,254.8,67.9,1548.5,310.3,2066.5,633.8,490.3,1311,2177.9,0,66.1,-206.6
0.041016,268.9,78.3,1532.5,246.9,2106.7,456.5,490.5,1312.6,2179.1,0,67,-213
0.043016,286.9,82.5,1520.1,209.4,2119.2,331.8,490.8,1314.3,2180.5,0,67.5,-215.3
0.045016,306.4,81.3,1511.9,189.7,2123.5,256.8,491,1316.2,2182,162.1,67.9,-208.4
0.047016,324.6,79.1,1506.1,181.0,2126.1,217.9,491.4,1318.3,2183.6,162.1,68,-186.7
0.049016,339.2,79.1,1498.8,180.3,2127.8,198.1,491.7,1320.6,2185.4,162,68,-146.3
0.051016,346.4,83.7,1487.5,188.8,2126.4,190.0,492.1,1323,2187.3,161.9,68,-96
0.053016,347.6,93.3,1471.1,204.6,2119.9,186.8,492.5,1325.7,2189.3,161.9,68,-45.6
0.055016,347.8,108.8,1451.3,216.5,2107.3,181.2,492.9,1328.5,2191.5,161.8,68.1,-5
0.057016,351.8,132.0,1432.1,211.5,2089.2,168.3,493.4,1331.4,2193.9,161.8,68.2,17.1
0.059016,363.8,166.9,1414.9,188.2,2066.9,146.3,493.8,1334.6,2196.3,161.7,68.4,24.5
0.061016,385.9,201.6,1404.4,156.6,2048.3,121.9,494.3,1337.9,2198.9,161.7,68.7,23
0.063016,404.2,212.4,1401.8,131.6,2038.2,106.3,494.9,1341.4,2201.6,161.7,69.2,17.3
0.065016,406.5,205.2,1404.3,117.3,2034.3,101.5,495.4,1345.1,2204.5,161.7,69.6,12.4
0.067016,400.7,193.2,1408.6,111.5,2033.9,103.6,496,1348.9,2207.5,161.7,70.1,12
0.069016,393.6,180.3,1413.4,111.2,2035.8,111.0,496.6,1352.9,2210.6,161.7,70.4,12.5
0.071016,389.0,168.3,1416.8,115.0,2039.7,122.7,497.2,1357.1,2213.9,161.7,70.6,13
0.073016,387.7,159.6,1417.8,120.9,2045.1,136.8,497.9,1361.4,2217.3,161.7,70.8,13.4
0.075016,386.7,154.2,1415.9,128.4,2051.0,151.3,498.5,1365.9,2220.8,161.7,70.8,14
0.077016,382.7,149.5,1411.0,137.8,2055.5,165.3,499.2,1370.6,2224.4,161.8,70.9,14.6
0.079016,377.1,145.4,1403.9,148.9,2058.7,178.5,500,1375.4,2228.2,161.8,71,15.4
0.081016,373.5,145.2,1397.6,161.0,2061.0,189.3,500.7,1380.4,2232,161.9,71,16.3
0.083016,372.6,149.3,1393.1,175.2,2062.3,200.4,501.5,1385.6,2236,162,71.1,17.1
0.085016,373.6,155.0,1390.3,192.0,2062.7,215.1,502.3,1390.9,2240.2,162,71.1,17.8
0.087016,375.2,158.0,1391.5,209.0,2064.4,233.5,503.1,1396.3,2244.4,162.1,71.1,18.2
0.089016,376.7,155.3,1398.3,226.1,2068.5,256.8,503.9,1401.9,2248.8,162.2,71.1,18.4
0.091016,377.8,147.2,1408.6,240.7,2072.8,282.6,504.8,1407.7,2253.2,162.3,71.1,18.5
0.093016,378.0,138.3,1415.9,252.6,2075.8,307.4,505.7,1413.6,2257.8,162.4,71.2,18.5
0.095016,376.5,131.6,1416.5,264.5,2076.6,330.9,506.5,1419.7,2262.5,162.6,71.3,18.6
0.097016,374.4,127.9,1412.7,277.9,2075.9,355.9,507.5,1425.9,2267.3,162.7,71.5,18.9
0.099016,373.2,127.5,1408.9,293.5,2078.0,384.5,508.4,1432.2,2272.3,162.8,71.7,19.5
0.101016,373.3,129.6,1405.7,308.1,2086.6,408.7,509.4,1438.7,2277.3,162.9,71.8,20
0.103016,374.5,132.2,1398.8,320.3,2098.1,423.8,510.3,1445.3,2282.4,163.1,71.9,20.6
0.105016,375.7,134.0,1386.2,329.4,2106.0,432.8,511.3,1452.1,2287.7,163.2,72,21.1
0.107016,376.0,134.1,1370.9,335.8,2104.2,444.0,512.3,1459,2293,163.4,72.1,21.3
0.109016,375.1,132.7,1355.3,342.9,2087.0,467.0,513.4,1466,2298.4,163.5,72.3,21.8
0.111016,374.1,131.2,1344.1,352.1,2057.9,500.2,514.4,1473.2,2304,163.6,72.4,22.2
0.113016,374.2,131.1,1339.2,358.9,2034.5,531.8,515.5,1480.5,2309.6,163.8,72.6,22.2
0.115016,376.1,131.9,1338.4,355.3,2031.0,548.1,516.5,1487.9,2315.3,163.9,72.7,21.5
0.117016,379.5,132.3,1338.4,343.1,2040.6,544.5,517.6,1495.4,2321.1,164.1,72.9,19.8
0.119016,385.7,131.7,1340.0,330.5,2046.9,536.9,518.7,1503.1,2327,164.2,73,16.7
0.121016,399.4,132.5,1346.7,331.5,2038.7,558.8,519.9,1510.8,2333,164.3,73.3,12.9
0.123016,427.4,139.5,1362.1,355.9,2020.5,642.6,521,1518.7,2339.1,164.4,73.6,9.1
0.125016,468.6,149.5,1388.5,384.0,2008.5,807.0,522.1,1526.7,2345.2,164.5,74,6
0.127016,511.1,157.2,1415.0,399.8,1997.7,1083.3,523.3,1534.8,2351.5,164.6,74.6,4.3
0.129016,552.0,167.8,1441.4,426.2,1817.0,1743.8,524.5,1543,2357.8,164.7,75.2,3.5
0.131016,589.5,180.2,1303.6,1590.5,1465.4,436.4,525.7,1551.4,2364.2,164.8,75.8,3.4
0.133016,624.1,181.0,1213.6,1507.6,1455.7,404.7,526.9,1559.8,2370.6,164.8,76.5,3.7
0.135016,652.2,165.5,1217.8,1805.1,1434.5,341.6,528.1,1568.3,2377.1,164.9,77,4.3
0.137016,672.1,144.4,1177.2,2418.6,1435.1,268.2,529.3,1576.9,2383.7,164.9,77.5,4.9
0.139016,687.2,123.5,764.3,3778.7,1453.3,201.2,530.5,1585.6,2390.4,164.9,77.9,6
0.141016,697.1,108.6,1476.9,154.8,3090.5,590.2,531.7,1594.4,2397.1,164.9,78.2,7.4
0.143016,703.3,102.0,1501.6,126.7,3065.3,483.1,533,1603.3,2403.9,164.9,78.3,8.9
0.145016,708.1,101.8,1526.1,108.3,3050.9,400.4,534.2,1612.2,2410.7,164.9,78.4,10.3
0.147016,713.3,104.2,1545.9,94.7,3036.4,352.4,535.5,1621.3,2417.6,164.9,78.5,11.5
0.149016,720.0,107.2,1560.8,83.9,3016.6,326.4,536.8,1630.4,2424.6,164.8,78.4,12.6
0.151016,726.6,110.1,1571.3,75.8,2996.6,312.8,538,1639.6,2431.6,164.8,78.4,13.7
0.153016,732.3,111.8,1579.9,69.2,2984.9,303.7,539.3,1648.9,2438.6,164.7,78.4,14.6
0.155016,736.9,111.8,1589.1,64.5,2984.9,298.0,540.6,1658.2,2445.7,164.6,78.3,15.4
0.157016,740.5,111.4,1600.7,61.8,2992.4,295.7,541.9,1667.6,2452.8,164.5,78.3,15.9
0.159016,743.3,111.1,1615.4,58.6,2997.7,292.2,543.2,1677.1,2460,164.5,78.3,16.3
0.161016,745.0,111.1,1629.1,53.5,2991.5,281.4,544.5,1686.6,2467.2,164.4,78.3,16.4
0.163016,746.2,112.5,1639.2,48.3,2977.4,264.1,545.8,1696.2,2474.4,164.3,78.4,16.4
0.165016,748.1,115.5,1645.9,45.3,2965.3,248.7,547.1,1705.8,2481.7,164.2,78.4,16.3
0.167016,751.1,118.2,1650.6,45.3,2958.5,241.2,548.4,1715.4,2489,164.1,78.4,16.1
0.169016,755.1,121.0,1656.0,48.5,2954.2,239.3,549.7,1725.2,2496.3,164,78.4,15.7
0.171016,759.4,124.0,1663.6,54.5,2950.6,238.9,551,1734.9,2503.7,163.8,78.5,15.1
0.173016,763.6,126.4,1673.2,62.0,2946.5,238.8,552.3,1744.7,2511,163.7,78.5,14.6
0.175016,767.4,127.6,1684.5,70.3,2940.8,243.5,553.6,1754.6,2518.4,163.6,78.5,14.3
0.177016,770.5,127.2,1697.2,77.2,2933.9,255.0,554.9,1764.4,2525.8,163.5,78.6,14.4
0.179016,773.6,125.6,1711.8,80.7,2925.9,272.7,556.2,1774.3,2533.2,163.4,78.7,14.8
0.181016,776.7,123.7,1726.7,80.0,2917.4,295.0,557.5,1784.2,2540.6,163.3,78.7,15.5
0.183016,779.3,121.4,1740.5,76.4,2908.6,320.6,558.8,1794.2,2548,163.2,78.8,16.2
0.185016,780.8,117.3,1751.7,70.6,2898.4,346.7,560.1,1804.1,2555.4,163.1,78.9,16.8
0.187016,781.5,112.6,1759.5,64.8,2884.1,372.1,561.4,1814.1,2562.9,163,79,16.9
0.189016,781.3,107.7,1765.7,59.6,2862.7,398.6,562.7,1824.1,2570.3,162.9,79.2,16.7
0.191016,780.1,102.4,1770.4,56.1,2837.8,417.7,564,1834.1,2577.7,162.8,79.4,16.3
0.193016,777.9,96.4,1774.4,54.6,2815.3,426.5,565.3,1844.1,2585.1,162.7,79.7,15.9
0.195016,775.4,90.4,1777.9,55.8,2800.0,437.4,566.6,1854.1,2592.5,162.7,79.9,15.7
0.197016,773.1,85.0,1781.4,59.7,2790.8,459.8,567.8,1864.1,2599.8,162.6,80.1,15.6
0.199016,770.8,80.3,1786.5,67.7,2780.6,490.2,569.1,1874.1,2607.2,162.6,80.3,15.8
0.201016,769.3,76.6,1793.8,79.8,2766.7,508.8,570.3,1884.1,2614.5,162.5,80.4,16.1
0.203016,769.8,73.7,1802.8,92.2,2752.7,501.0,571.6,1894,2621.8,162.5,80.4,16.4
0.205016,772.3,71.9,1813.0,99.9,2742.6,470.2,572.8,1904,2629.1,162.4,80.5,16.8
0.207016,775.6,71.4,1824.4,102.6,2737.5,436.3,574.1,1913.9,2636.3,162.4,80.5,17.1
0.209016,778.8,71.1,1837.1,102.6,2737.4,410.6,575.3,1923.8,2643.6,162.3,80.5,17.5
0.211016,781.0,70.2,1849.1,102.5,2740.9,394.7,576.5,1933.7,2650.7,162.3,80.5,18
0.213016,782.1,68.8,1860.0,105.4,2744.0,383.4,577.7,1943.6,2657.9,162.3,80.5,18.4
0.215016,782.7,67.3,1870.5,110.9,2743.2,374.2,578.9,1953.4,2665,162.3,80.6,18.6
0.217016,782.8,66.3,1880.3,116.0,2738.1,364.9,580.1,1963.2,2672.1,162.3,80.6,18.6
0.219016,782.2,66.2,1891.4,119.8,2731.5,351.8,581.2,1972.9,2679.1,162.3,80.7,18.3
0.221016,780.9,66.4,1904.5,120.4,2729.7,331.8,582.4,1982.6,2686,162.3,80.8,17.9
0.223016,778.9,65.6,1919.3,117.8,2732.9,303.6,583.5,1992.2,2692.9,162.3,80.9,17.4
0.225016,776.1,63.8,1935.2,115.2,2735.9,274.8,584.6,2001.8,2699.8,162.3,81,17
0.227016,773.5,61.0,1951.2,115.4,2736.9,256.0,585.8,2011.4,2706.6,162.3,81.1,16.7
0.229016,772.3,57.2,1968.8,118.6,2738.6,246.6,586.9,2020.9,2713.3,162.3,81.2,16.5
0.231016,772.6,53.6,1988.3,123.8,2742.3,242.4,588,2030.3,2720,162.3,81.4,16.4
0.233016,773.0,50.9,2008.7,127.5,2745.2,242.3,589,2039.7,2726.6,162.3,81.5,16.3
0.235016,772.5,49.1,2026.0,126.5,2743.3,251.3,590.1,2049,2733.1,162.3,81.7,16.2
0.237016,770.6,48.5,2038.6,122.3,2734.6,272.2,591.1,2058.2,2739.6,162.3,81.8,16.1
0.239016,767.1,48.4,2050.1,115.3,2718.1,300.5,592.2,2067.3,2746,162.3,82,15.9
0.241016,763.0,48.2,2062.2,105.8,2701.6,323.9,593.2,2076.4,2752.3,162.3,82.1,15.8
0.243016,758.6,48.2,2076.0,94.9,2694.0,341.9,594.2,2085.4,2758.5,162.3,82.1,15.7
0.245016,753.5,48.2,2089.4,84.5,2695.5,358.4,595.1,2094.3,2764.7,162.3,82.2,15.5
0.247016,747.9,48.2,2099.2,76.9,2701.0,374.7,596.1,2103.1,2770.8,162.2,82.3,15.1
0.249016,740.8,48.4,2107.3,72.5,2710.2,394.2,597.1,2111.9,2776.7,162.2,82.4,14.6
0.251016,732.1,48.7,2114.8,71.7,2723.4,412.1,598,2120.5,2782.6,162.2,82.4,14
0.253016,722.1,48.1,2121.8,73.5,2738.5,421.4,598.9,2129.1,2788.4,162.2,82.5,13.5
0.255016,711.8,46.4,2127.4,78.7,2753.5,420.5,599.8,2137.5,2794.1,162.2,82.6,13
0.257016,702.3,44.3,2131.1,88.9,2765.9,418.5,600.6,2145.9,2799.7,162.2,82.8,12.6
