time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025672,597.8,29.2,2339.2,137.9,2481.1,259.4,507.2,1947,2478.4,154.4,62.1,-200
0.027672,602.8,24.8,2315.8,117.2,2496.0,167.6,507.2,1947.3,2478.5,154.5,63.9,-169.7
0.029672,605.4,23.3,2311.0,91.4,2503.7,132.0,507.1,1947.7,2478.7,154.5,65.3,-125
0.031672,604.5,23.6,2313.0,74.5,2510.5,122.6,507,1948.3,2478.9,154.6,66.5,-75.5
0.033672,599.9,25.8,2316.3,64.5,2523.8,131.8,506.8,1949.1,2479.1,154.7,67.6,-30.7
0.035672,591.3,30.0,2317.6,59.7,2547.4,152.7,506.6,1950,2479.5,154.8,68.4,-0.2
0.037672,580.8,34.2,2316.1,59.9,2573.9,172.0,506.4,1951.1,2479.9,154.9,69.2,12.9
0.039672,573.7,36.8,2314.6,63.6,2594.0,184.3,506.1,1952.4,2480.3,155,69.8,15
0.041672,573.4,39.1,2314.3,68.0,2610.2,193.7,505.9,1953.8,2480.8,155.1,70.2,10.7
0.043672,577.6,42.2,2314.3,71.3,2628.2,203.5,505.5,1955.5,2481.4,155.2,70.6,5
0.045672,581.3,45.4,2315.5,73.6,2648.6,216.6,505.2,1957.2,2482.1,155.3,71,2.7
0.047672,581.0,47.7,2319.1,76.2,2668.6,233.6,504.8,1959.2,2482.7,155.4,71.3,3.8
0.049672,576.6,49.7,2322.9,80.1,2684.5,249.4,504.4,1961.3,2483.5,155.6,71.6,5.1
0.051672,569.9,52.3,2324.3,83.0,2694.6,259.7,503.9,1963.6,2484.3,155.7,71.8,6.5
0.053672,563.4,55.6,2323.6,81.2,2703.1,264.2,503.4,1966,2485.2,155.8,72.1,7.8
0.055672,558.2,60.9,2321.0,74.5,2713.8,260.4,502.9,1968.6,2486.1,155.9,72.4,8.9
0.057672,554.7,68.7,2316.6,66.6,2723.1,248.3,502.3,1971.4,2487.1,156,72.6,9.8
0.059672,553.0,76.7,2311.6,61.3,2722.0,235.5,501.8,1974.3,2488.1,156.1,72.9,10.6
0.061672,551.9,82.4,2306.0,60.3,2705.1,227.5,501.1,1977.4,2489.2,156.3,73.1,11.3
0.063672,550.3,85.4,2299.2,63.1,2675.4,220.8,500.5,1980.6,2490.4,156.4,73.4,11.8
0.065672,548.1,86.2,2291.7,67.2,2643.5,211.7,499.8,1984,2491.6,156.5,73.5,12
