time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025688,236.4,35.4,1354.4,158.3,2107.7,189.0,654.5,1491,2502.6,191.3,61.8,-200
0.027688,243.7,53.1,1377.4,150.7,2131.4,158.6,654.4,1491.5,2502.8,190.1,62.7,-200
0.029688,254.5,78.9,1390.9,144.7,2145.0,142.7,654.2,1492.2,2503,188.9,63.1,-200
0.031688,269.6,111.3,1395.2,140.9,2152.6,138.4,654,1493.2,2503.2,187.6,63.3,-200
0.033688,291.4,146.8,1395.7,138.0,2159.3,136.9,653.6,1494.5,2503.6,186.4,63.2,-200
0.035688,315.1,169.4,1395.3,135.6,2165.2,133.0,653.3,1496.1,2504.1,185.2,63.1,-200.9
0.037688,332.2,171.9,1394.4,133.9,2168.1,125.5,652.8,1497.9,2504.6,184,62.9,-206.6
0.039688,339.9,157.7,1392.4,131.9,2164.4,116.5,652.3,1500.1,2505.2,182.8,62.8,-213.1
0.041688,341.4,133.6,1389.9,128.6,2151.9,107.9,651.7,1502.5,2505.9,181.7,62.7,-215.3
0.043688,342.1,105.8,1387.8,125.3,2128.1,99.9,651.1,1505.3,2506.7,180.6,62.8,-208.5
0.045688,346.1,90.2,1392.0,130.8,2101.2,95.2,650.3,1508.3,2507.5,179.6,63,-186.6
0.047688,355.3,96.9,1409.8,155.2,2087.0,101.4,649.6,1511.5,2508.4,178.7,63.5,-145.9
0.049688,365.9,118.1,1431.8,187.8,2089.5,116.5,648.7,1515.1,2509.4,177.8,64.4,-95.1
0.051688,369.9,133.0,1433.7,207.6,2098.3,127.9,647.8,1518.9,2510.5,177,65.6,-44.5
0.053688,366.1,136.6,1412.4,214.5,2109.6,131.6,646.8,1523,2511.6,176.3,66.8,-4.2
0.055688,362.3,140.2,1385.8,221.1,2124.0,134.0,645.8,1527.3,2512.9,175.7,68.1,16.8
0.057688,367.6,159.8,1363.8,248.7,2141.2,148.6,644.7,1532,2514.2,175.1,69.2,22.3
0.059688,396.4,212.4,1342.9,313.8,2162.4,197.0,643.5,1536.8,2515.5,174.6,70.3,18.3
0.061688,466.6,281.5,1337.4,388.9,2198.1,312.4,642.3,1542,2517,174.2,71.4,10.1
0.063688,571.2,281.6,1379.5,386.3,2299.1,517.2,641,1547.3,2518.5,173.9,72.5,3.1
0.065688,643.0,217.0,1416.5,290.8,2479.9,660.8,639.6,1553,2520.1,173.6,73.6,1.5
0.067688,677.9,167.9,1431.8,221.5,2668.7,683.4,638.3,1558.8,2521.7,173.4,74.6,1.2
0.069688,697.5,143.2,1449.9,187.8,2821.8,566.0,636.8,1564.9,2523.4,173.2,75.4,1.2
0.071688,712.3,131.7,1476.0,167.1,2880.5,405.0,635.3,1571.3,2525.2,173.1,76.1,1.6
0.073688,724.6,122.4,1505.0,147.5,2898.4,297.2,633.7,1577.8,2527,173.1,76.7,2.2
0.075688,732.8,114.2,1529.4,131.1,2903.0,238.9,632.1,1584.6,2528.9,173.1,77.1,3.1
0.077688,737.8,110.7,1549.9,118.3,2901.0,213.7,630.5,1591.6,2530.9,173.1,77.3,4.6
0.079688,740.5,113.7,1567.6,106.8,2896.2,211.3,628.8,1598.8,2532.9,173.2,77.5,6.4
0.081688,741.3,121.0,1580.5,96.1,2891.5,223.7,627,1606.3,2535,173.3,77.7,8.3
0.083688,740.9,130.4,1590.8,86.6,2888.2,245.0,625.2,1613.9,2537.1,173.4,77.8,10
0.085688,741.3,139.7,1599.7,79.5,2887.3,264.9,623.4,1621.7,2539.3,173.5,78,11.1
0.087688,744.4,147.8,1608.2,75.0,2886.3,279.3,621.5,1629.7,2541.5,173.6,78.1,12
0.089688,750.4,154.9,1616.4,73.5,2880.1,294.5,619.6,1637.9,2543.8,173.8,78.3,12.7
0.091688,758.0,162.7,1624.7,74.7,2867.2,316.6,617.6,1646.3,2546.1,174,78.5,13.1
0.093688,766.1,174.4,1634.3,78.5,2847.9,348.5,615.6,1654.9,2548.5,174.1,78.6,13.5
