time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025250,443.4,505.0,846.6,640.4,1889.7,593.9,681.4,1778.1,2142.6,179.2,72.5,7.2
0.027250,521.7,437.9,853.1,508.2,1842.5,508.4,681.4,1778.2,2142.7,179.2,72.9,6
0.029250,595.5,315.4,915.7,518.2,1785.5,514.2,681.4,1778.3,2142.9,179.2,73.4,4.8
0.031250,643.4,222.4,997.9,555.7,1718.0,537.8,681.3,1778.5,2143.1,179.3,73.9,3.8
0.033250,675.5,157.7,1088.6,591.1,1649.4,549.8,681.2,1778.8,2143.5,179.3,74.4,3.1
0.035250,693.6,119.9,1182.4,630.3,1591.8,564.2,681.1,1779.1,2143.9,179.4,75,3
0.037250,704.1,98.7,1316.4,686.4,1510.0,605.3,680.9,1779.4,2144.3,179.4,75.4,3.6
0.039250,711.8,88.0,1431.2,402.7,1458.4,1039.5,680.8,1779.8,2144.9,179.5,75.8,4.8
0.041250,719.1,84.2,1443.2,320.2,1504.2,1300.2,680.6,1780.3,2145.5,179.6,76.1,6.3
0.043250,728.2,85.0,1461.1,285.2,1543.9,1568.0,680.4,1780.8,2146.2,179.7,76.3,7.9
0.045250,738.6,90.0,1481.7,275.2,1581.9,1865.2,680.2,1781.4,2147,179.8,76.5,9.1
0.047250,751.4,98.4,1504.5,276.1,1639.8,2268.9,680,1782,2147.8,179.9,76.6,10
0.049250,767.0,107.6,1532.5,273.7,1829.9,3035.1,679.7,1782.7,2148.7,180.1,76.7,10.8
0.051250,780.1,112.4,1561.8,255.8,2523.5,3039.8,679.4,1783.4,2149.7,180.2,76.9,11.5
0.053250,788.4,113.9,1590.9,228.2,2704.7,2580.8,679.1,1784.2,2150.7,180.4,77.1,12.1
0.055250,792.0,115.8,1616.3,208.8,2773.7,2627.3,678.8,1785,2151.8,180.5,77.4,12.5
0.057250,794.2,120.4,1641.5,201.8,2705.6,3872.3,678.5,1785.9,2153,180.7,77.7,12.8
0.059250,797.0,126.9,1549.6,2719.6,1668.0,204.3,678.1,1786.8,2154.2,180.9,78.1,12.9
