time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025422,219.0,24.9,1445.8,721.9,2232.0,836.0,552.2,1495.4,2443.3,189.5,66.4,-200
0.027422,222.3,31.0,1448.9,482.6,2237.6,689.3,552.3,1495.6,2443.4,188.7,67.3,-200
0.029422,225.5,36.2,1443.4,382.1,2193.5,575.3,552.4,1495.8,2443.5,188,67.9,-200
0.031422,230.0,40.8,1434.5,327.5,2141.7,459.1,552.6,1496.2,2443.8,187.2,68.2,-200
0.033422,236.7,47.0,1426.3,278.6,2112.6,352.6,552.9,1496.7,2444,186.5,68.2,-200
0.035422,247.0,59.9,1421.9,232.4,2102.1,260.7,553.2,1497.3,2444.4,185.7,67.9,-200.9
0.037422,260.5,81.4,1419.7,203.4,2101.7,194.7,553.5,1497.9,2444.8,184.9,67.4,-206.6
0.039422,277.5,112.8,1416.1,191.0,2104.2,151.4,553.9,1498.7,2445.3,184.2,66.6,-213.1
0.041422,298.9,155.7,1409.1,194.8,2106.5,129.8,554.4,1499.6,2445.9,183.4,65.8,-215.4
0.043422,322.0,194.4,1394.3,212.7,2104.9,130.2,554.9,1500.6,2446.5,182.7,65,-208.5
0.045422,346.9,210.0,1367.2,226.9,2095.7,140.3,555.4,1501.7,2447.1,182,64.4,-186.6
0.047422,366.6,201.2,1342.7,220.9,2086.8,141.9,556.1,1502.9,2447.9,181.4,64.2,-146.2
0.049422,379.5,185.5,1328.3,208.6,2088.0,139.1,556.7,1504.2,2448.7,180.8,64.5,-95.7
0.051422,387.9,178.0,1323.0,202.6,2099.6,140.3,557.4,1505.6,2449.5,180.2,65,-45.2
0.053422,392.3,182.2,1323.2,206.0,2113.0,143.8,558.2,1507,2450.5,179.7,65.7,-4.6
0.055422,392.1,187.9,1322.5,213.6,2120.3,145.9,559,1508.6,2451.4,179.2,66.4,17.5
0.057422,387.6,192.6,1320.6,226.8,2120.8,145.2,559.9,1510.3,2452.5,178.8,67,24.9
0.059422,381.8,200.7,1320.2,248.3,2120.2,142.3,560.8,1512.1,2453.6,178.4,67.5,23.2
0.061422,377.7,215.1,1321.9,273.8,2122.6,138.9,561.8,1514,2454.7,178.1,67.8,17.3
0.063422,376.8,234.1,1326.2,292.2,2128.9,138.1,562.8,1515.9,2456,177.8,68.1,12.1
0.065422,378.2,253.9,1335.3,303.7,2138.4,142.0,563.9,1518,2457.2,177.6,68.2,11.4
0.067422,380.5,267.0,1349.2,310.5,2149.4,151.2,565,1520.2,2458.6,177.4,68.2,11.4
0.069422,384.2,272.8,1364.5,311.7,2161.5,163.9,566.1,1522.4,2460,177.3,68.2,11.4
0.071422,391.4,276.3,1370.8,304.1,2172.7,174.4,567.3,1524.8,2461.4,177.2,68.3,11.2
0.073422,404.8,286.6,1359.1,299.0,2180.0,179.1,568.6,1527.2,2462.9,177.1,68.6,10.7
0.075422,434.3,308.1,1334.4,319.9,2188.0,192.7,569.8,1529.7,2464.4,177.1,69.1,9.9
0.077422,487.3,330.2,1313.2,387.3,2204.7,236.6,571.2,1532.3,2466,177.1,69.8,8.5
0.079422,564.5,335.0,1326.3,499.3,2252.1,333.0,572.5,1535,2467.7,177.1,70.8,6.8
0.081422,645.1,290.0,1407.6,505.9,2375.4,431.3,574,1537.7,2469.4,177.2,71.8,5.1
0.083422,690.0,231.2,1439.2,371.0,2507.3,426.2,575.4,1540.6,2471.1,177.3,72.9,4
0.085422,720.0,189.5,1438.7,262.7,2608.8,377.5,576.9,1543.5,2472.9,177.4,73.9,3.7
0.087422,741.7,164.1,1437.9,199.9,2674.0,321.6,578.4,1546.5,2474.8,177.5,74.8,4.1
0.089422,757.8,149.8,1442.2,162.5,2719.2,272.6,580,1549.6,2476.7,177.7,75.5,5
0.091422,770.1,144.5,1452.2,138.8,2753.1,234.3,581.6,1552.7,2478.6,177.8,76.1,6.1
0.093422,777.8,145.1,1464.1,124.4,2774.9,211.1,583.2,1556,2480.6,178,76.6,7.2
0.095422,781.2,147.2,1476.8,115.0,2788.0,200.3,584.9,1559.3,2482.6,178.2,77,8.1
0.097422,780.9,148.5,1490.7,110.0,2792.6,200.4,586.6,1562.6,2484.6,178.4,77.2,9.2
0.099422,779.6,148.5,1507.1,106.6,2791.7,204.3,588.4,1566.1,2486.7,178.6,77.4,10.2
0.101422,780.0,147.8,1524.8,103.1,2787.2,204.0,590.1,1569.6,2488.8,178.8,77.6,11.3
0.103422,783.3,148.0,1541.0,100.0,2782.1,197.4,591.9,1573.1,2491,179.1,77.7,12.1
