time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025031,490.9,40.4,873.7,161.7,2000.2,1172.9,579.4,1187.7,2387.6,92.8,75.9,2.8
0.027031,495.2,42.2,883.8,148.7,2064.0,1088.1,579.3,1188,2387.7,93.6,76.2,16.9
0.029031,498.8,51.4,898.0,168.9,2105.4,1032.1,579.1,1188.6,2387.8,94.5,76.4,20.3
0.031031,501.3,61.2,915.6,207.6,2168.2,1082.4,578.9,1189.5,2388,95.5,76.5,17.4
0.033031,502.3,62.2,936.9,246.8,2298.4,1197.2,578.6,1190.6,2388.3,96.6,76.6,12.7
0.035031,501.5,53.2,958.3,275.6,2501.7,1245.5,578.2,1191.9,2388.6,98,76.8,10.8
0.037031,501.6,45.3,985.6,318.9,2662.8,1194.0,577.7,1193.5,2388.9,99.4,76.9,11.5
0.039031,505.0,44.0,1043.0,391.1,2735.3,1195.0,577.2,1195.3,2389.4,101.1,77.1,11.9
0.041031,510.0,48.0,1095.6,401.1,2737.5,1238.9,576.6,1197.4,2389.8,102.9,77.2,12.1
0.043031,514.1,52.9,1099.6,332.8,2678.0,1258.8,575.9,1199.7,2390.4,104.9,77.4,12.1
0.045031,514.6,51.2,1077.5,239.6,2576.4,1200.6,575.2,1202.3,2391,107.1,77.6,12
0.047031,512.5,43.4,1061.6,167.6,2489.6,1063.2,574.4,1205,2391.6,109.4,77.9,11.9
0.049031,510.9,36.1,1061.5,126.6,2466.2,917.7,573.5,1208,2392.3,111.9,78.1,11.4
0.051031,511.7,33.4,1076.1,111.8,2506.7,825.5,572.6,1211.3,2393,114.5,78.3,11
0.053031,514.6,33.3,1099.0,107.8,2566.4,757.4,571.6,1214.8,2393.8,117.3,78.4,10.6
0.055031,518.5,34.2,1120.5,108.4,2609.0,711.4,570.6,1218.5,2394.7,120.2,78.5,10.6
0.057031,521.5,35.0,1136.2,115.3,2629.6,697.1,569.5,1222.4,2395.6,123.3,78.7,10.9
0.059031,523.1,35.5,1153.0,133.2,2641.7,708.7,568.3,1226.6,2396.6,126.4,78.8,11.5
0.061031,524.0,35.3,1180.9,159.6,2662.7,717.6,567,1231,2397.6,129.5,79,12.2
0.063031,525.3,33.8,1229.1,183.5,2699.4,680.3,565.7,1235.6,2398.6,132.7,79.2,13
0.065031,526.9,31.6,1281.9,181.6,2719.7,606.0,564.4,1240.4,2399.7,136,79.4,13.6
