time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025984,830.6,392.5,1722.3,127.5,2827.2,424.5,973.5,1610.9,2900.8,0,70.1,-32.5
0.027984,838.4,376.9,1724.0,115.5,2832.1,376.0,973.3,1611.2,2900.7,0,71.8,9.4
0.029984,838.9,353.8,1723.9,103.4,2830.2,342.5,972.9,1611.7,2900.5,0,73.1,21
0.031984,833.5,325.6,1723.6,92.9,2819.7,315.1,972.5,1612.4,2900.1,0,74,19.7
0.033984,827.3,300.2,1724.5,86.0,2804.9,289.6,971.9,1613.3,2899.7,0,74.7,11.6
0.035984,826.6,286.5,1727.5,82.8,2796.2,264.3,971.1,1614.4,2899.2,0,75.2,2.5
0.037984,837.0,294.0,1732.3,81.9,2803.0,244.2,970.2,1615.6,2898.5,183.6,75.7,-1.7
0.039984,860.3,322.0,1737.8,81.0,2819.0,228.7,969.2,1617.1,2897.8,183.6,76,-0.6
0.041984,893.8,359.5,1743.0,79.9,2831.2,220.4,968.1,1618.8,2897,183.6,76.3,2.1
0.043984,926.5,387.5,1747.4,79.8,2833.4,223.9,966.8,1620.6,2896.1,183.7,76.6,5.4
0.045984,949.1,399.8,1751.1,80.1,2827.1,239.1,965.4,1622.6,2895.1,183.7,76.8,8.6
0.047984,954.0,400.9,1752.9,79.8,2819.2,262.0,963.9,1624.9,2894,183.8,77,10.8
0.049984,945.6,398.6,1752.9,79.8,2816.0,291.1,962.2,1627.3,2892.8,183.8,77.2,11.8
0.051984,937.6,397.1,1752.0,82.5,2819.9,315.8,960.4,1629.9,2891.5,183.9,77.5,12.3
0.053984,943.7,399.6,1750.6,87.4,2830.7,312.3,958.5,1632.7,2890.2,184,77.8,12.4
0.055984,957.7,402.2,1747.9,91.2,2844.7,291.6,956.5,1635.7,2888.7,184.2,78.2,12.4
0.057984,963.3,398.6,1744.0,91.6,2854.3,281.8,954.3,1638.8,2887.1,184.3,78.6,12.5
