time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025516,231.8,58.1,2272.7,1369.3,3763.7,838.8,614.3,1656.4,2724,182.6,60.7,-200
0.027516,239.0,66.8,2367.7,1380.8,3412.4,3219.0,614.2,1656.5,2724,181.5,61.3,-200
0.029516,247.9,79.9,2420.7,1114.6,3810.8,1593.9,614.1,1656.7,2723.9,180.5,61.6,-200
0.031516,261.3,99.8,2418.8,894.4,3575.1,932.5,614,1657,2723.8,179.4,61.5,-200
0.033516,280.2,118.8,2417.1,795.2,3504.5,638.7,613.9,1657.3,2723.7,178.3,61.1,-200
0.035516,297.4,121.7,334.1,1065.4,2419.4,802.7,613.7,1657.7,2723.6,177.2,60.6,-200
0.037516,309.7,111.7,466.0,929.0,2440.5,918.0,613.5,1658.2,2723.5,176.2,60,-200
0.039516,317.9,112.6,504.1,902.6,2528.2,1086.9,613.2,1658.7,2723.3,175.1,59.7,-200
0.041516,318.4,133.3,480.4,850.9,2680.4,984.3,613,1659.3,2723.1,174.1,59.7,-200
0.043516,308.9,161.0,462.2,711.8,2693.1,672.8,612.7,1660,2722.9,173.2,60,-200
0.045516,296.1,180.8,455.0,620.9,2654.1,517.7,612.3,1660.8,2722.7,172.3,60.3,-200
0.047516,295.7,190.6,421.9,673.4,2609.2,486.3,611.9,1661.6,2722.5,171.4,60.6,-200
0.049516,306.0,179.8,327.5,900.2,2541.6,532.3,611.5,1662.5,2722.2,170.6,60.7,-200
0.051516,313.9,150.8,2400.5,592.7,3774.4,1002.0,611.1,1663.5,2721.9,169.9,60.6,-200
0.053516,313.2,129.3,2199.0,485.0,3412.1,1471.2,610.6,1664.6,2721.6,169.3,60.4,-200
0.055516,302.0,135.7,2105.7,350.6,2813.1,1093.0,610.1,1665.7,2721.3,168.7,60.1,-200
0.057516,324.6,209.1,2078.6,285.5,2706.5,736.2,609.6,1666.9,2721,168.2,59.9,-200
