time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025594,211.3,37.7,1436.3,511.5,2948.1,1097.2,401.4,1112.9,2014.3,175,66.6,-200
0.027594,220.2,58.6,1415.5,344.6,2924.0,1291.3,401.5,1113.2,2014.6,174.5,67.5,-200
0.029594,233.1,83.7,1407.4,292.2,2776.9,1830.5,401.6,1113.8,2015.1,174,68,-203.4
0.031594,248.5,100.7,1408.2,294.2,2401.6,2330.2,401.7,1114.5,2015.7,173.4,68.3,-210.2
0.033594,266.0,104.2,1402.5,313.1,2047.0,1991.4,401.9,1115.5,2016.5,172.9,68.3,-215.2
0.035594,284.7,100.5,1376.1,321.9,2005.8,1323.0,402.1,1116.7,2017.5,172.3,68.2,-213.5
0.037594,303.2,95.6,1341.4,303.4,2039.5,851.7,402.3,1118.1,2018.7,171.8,67.9,-200
0.039594,318.6,90.5,1313.7,283.5,2056.9,578.7,402.6,1119.7,2020,171.2,67.6,-168
0.041594,327.8,85.5,1294.0,274.3,2059.6,436.3,403,1121.5,2021.5,170.7,67.5,-120.9
0.043594,331.2,83.0,1286.4,266.7,2060.3,369.2,403.3,1123.5,2023.2,170.2,67.5,-68.6
0.045594,331.5,84.2,1292.8,255.4,2064.9,347.2,403.8,1125.8,2025.1,169.7,67.7,-21.1
0.047594,330.8,88.2,1307.5,239.6,2073.0,350.2,404.2,1128.2,2027.2,169.2,68,11.6
0.049594,329.3,92.3,1321.0,228.7,2076.8,362.6,404.7,1130.9,2029.4,168.7,68.4,26.6
0.051594,326.0,92.8,1328.1,237.5,2064.7,370.9,405.2,1133.7,2031.8,168.3,68.9,30.3
0.053594,321.7,89.9,1330.4,261.5,2040.1,359.1,405.8,1136.8,2034.4,167.9,69.3,27.5
0.055594,318.0,87.1,1333.0,283.8,2020.3,334.5,406.4,1140.1,2037.1,167.5,69.6,22.9
0.057594,315.4,85.2,1335.6,300.0,2010.0,319.3,407,1143.6,2040,167.2,69.9,21.1
0.059594,314.1,83.4,1336.8,311.9,2005.6,318.8,407.7,1147.3,2043.1,166.8,70,22.1
0.061594,314.4,80.9,1336.5,318.8,2007.1,326.3,408.4,1151.2,2046.4,166.5,70.2,22.6
0.063594,315.5,77.0,1331.9,321.6,2014.3,330.8,409.1,1155.2,2049.8,166.2,70.2,22.9
0.065594,316.4,72.1,1318.9,323.7,2022.5,326.3,409.9,1159.5,2053.4,166,70.2,23.1
0.067594,317.0,67.3,1298.2,323.6,2027.3,313.8,410.7,1164,2057.1,165.8,70.2,23.4
0.069594,317.1,63.0,1274.8,314.7,2028.9,296.1,411.6,1168.7,2061,165.5,70.2,23.7
0.071594,317.1,59.1,1255.6,295.9,2031.7,276.1,412.5,1173.6,2065.1,165.4,70.2,23.9
0.073594,317.5,55.4,1243.6,274.3,2038.0,254.0,413.4,1178.6,2069.3,165.2,70.2,24.1
0.075594,318.6,52.2,1237.3,257.9,2045.7,229.8,414.4,1183.9,2073.7,165,70.2,24.3
0.077594,320.5,50.1,1235.8,250.8,2052.0,207.7,415.4,1189.3,2078.2,164.9,70.1,24.4
0.079594,323.1,49.3,1240.2,251.8,2056.5,194.5,416.4,1194.9,2082.9,164.8,70.1,24.3
0.081594,325.7,49.3,1250.8,253.9,2062.0,192.3,417.5,1200.8,2087.8,164.7,70.1,24.1
0.083594,327.2,49.0,1263.4,247.1,2070.2,199.1,418.6,1206.7,2092.7,164.6,70.2,23.8
0.085594,327.3,47.5,1272.5,228.6,2078.1,208.7,419.7,1212.9,2097.9,164.5,70.2,23.7
0.087594,326.4,45.8,1276.7,209.9,2081.3,213.9,420.9,1219.3,2103.2,164.4,70.3,23.9
0.089594,325.0,44.9,1280.7,197.4,2080.8,212.7,422,1225.8,2108.6,164.3,70.4,24.5
0.091594,323.4,44.8,1286.7,190.0,2078.7,207.0,423.3,1232.5,2114.1,164.3,70.5,25.3
0.093594,322.0,44.9,1292.3,186.1,2075.9,202.1,424.5,1239.3,2119.8,164.2,70.6,26.3
0.095594,320.8,45.2,1296.6,185.2,2072.7,202.6,425.8,1246.3,2125.7,164.2,70.7,27.2
0.097594,320.3,45.8,1300.6,187.3,2069.1,211.9,427.1,1253.5,2131.6,164.1,70.8,27.9
0.099594,320.4,47.2,1304.8,193.5,2063.9,234.1,428.5,1260.9,2137.7,164.1,70.8,28.2
0.101594,321.4,49.7,1310.7,205.3,2056.0,278.9,429.9,1268.4,2143.9,164.1,70.9,28.4
0.103594,323.7,53.5,1321.5,222.0,2045.6,360.3,431.3,1276,2150.3,164.1,71,28.5
0.105594,326.8,58.2,1338.3,236.8,2042.4,475.9,432.7,1283.8,2156.8,164,71,28.4
0.107594,329.9,62.3,1354.9,241.2,2063.4,572.3,434.2,1291.8,2163.3,164,71,28.3
0.109594,332.9,64.5,1363.0,239.9,2093.7,601.9,435.7,1299.9,2170,164,71,27.9
0.111594,335.6,65.6,1363.2,240.4,2108.1,606.1,437.2,1308.2,2176.8,164,71,27.2
0.113594,337.6,66.5,1359.6,243.3,2107.2,629.2,438.8,1316.5,2183.8,164,71,26.4
0.115594,339.0,68.4,1357.6,246.2,2104.7,679.5,440.3,1325.1,2190.8,164,71.1,25.9
0.117594,340.2,71.6,1360.8,247.5,2113.1,744.2,441.9,1333.7,2197.9,164.1,71.1,25.7
