time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025547,219.1,30.6,1456.1,446.8,2785.2,1754.5,628,1655.7,2728.9,187.7,64.7,-200
0.027547,223.1,38.2,1447.2,416.2,2286.3,1804.9,628,1655.9,2728.9,186.8,66.4,-200
0.029547,227.2,46.1,1424.1,408.4,2031.9,1233.3,628,1656.2,2728.9,185.8,67.8,-200
0.031547,232.1,55.7,1397.6,361.7,2003.5,818.6,628,1656.6,2728.8,184.8,68.7,-200
0.033547,238.7,69.6,1386.1,288.4,2019.9,548.9,628,1657.1,2728.8,183.7,69.3,-200
0.035547,248.5,92.4,1389.2,226.0,2038.2,370.8,628,1657.7,2728.7,182.7,69.6,-200
0.037547,263.3,126.9,1400.4,185.8,2054.6,256.8,627.9,1658.5,2728.7,181.6,69.6,-203.3
0.039547,284.3,164.5,1414.7,168.3,2069.1,192.9,627.9,1659.3,2728.6,180.5,69.3,-209.8
0.041547,309.8,188.8,1427.7,168.7,2080.6,164.2,627.9,1660.3,2728.5,179.4,68.8,-214.7
0.043547,338.8,196.5,1436.3,174.7,2088.1,151.3,627.9,1661.4,2728.4,178.3,68.3,-213.1
0.045547,368.3,195.4,1442.4,176.2,2092.3,140.1,627.8,1662.6,2728.2,177.3,67.9,-200
0.047547,398.7,196.2,1449.3,173.3,2093.4,127.6,627.8,1663.9,2728.1,176.2,67.7,-169
0.049547,440.3,198.8,1454.2,172.4,2089.6,118.4,627.8,1665.3,2727.9,175.2,68,-123.5
0.051547,487.0,183.0,1450.9,184.8,2080.8,119.5,627.8,1666.8,2727.8,174.2,68.4,-73
0.053547,521.2,159.3,1439.5,212.0,2070.9,132.1,627.7,1668.4,2727.6,173.3,69.1,-27.2
0.055547,545.7,147.7,1422.9,248.2,2063.6,157.7,627.7,1670.2,2727.4,172.4,69.8,3.9
0.057547,567.4,155.1,1405.5,300.4,2060.8,213.9,627.6,1672,2727.2,171.5,70.6,17.4
0.059547,589.3,178.8,1398.0,379.2,2062.0,341.9,627.6,1674,2727,170.7,71.2,19.5
0.061547,617.2,201.7,1421.4,434.3,2071.9,560.0,627.5,1676.1,2726.8,169.9,71.8,15.3
0.063547,654.2,193.9,1448.7,357.0,2104.9,667.9,627.5,1678.3,2726.6,169.2,72.4,9.4
0.065547,678.4,173.4,1459.2,281.6,2139.0,700.9,627.4,1680.5,2726.4,168.5,72.8,6.9
0.067547,688.2,166.0,1468.5,242.7,2197.7,817.7,627.4,1682.9,2726.1,167.8,73.2,7.8
0.069547,694.6,164.1,1475.5,199.5,2325.9,917.0,627.3,1685.4,2725.8,167.2,73.4,8.8
0.071547,701.5,168.3,1481.6,153.5,2511.7,890.9,627.3,1688,2725.6,166.6,73.6,9.8
0.073547,709.4,177.4,1487.7,117.2,2674.7,750.1,627.2,1690.7,2725.3,166.1,73.8,10.8
0.075547,718.8,187.5,1495.1,93.7,2783.1,599.8,627.2,1693.4,2725,165.6,73.8,11.5
0.077547,728.6,197.7,1505.1,80.2,2853.7,486.3,627.1,1696.3,2724.7,165.1,73.8,12
0.079547,737.7,208.9,1516.3,73.0,2903.7,410.4,627,1699.3,2724.4,164.6,73.8,12.4
0.081547,746.6,217.7,1526.2,69.9,2943.2,359.3,627,1702.3,2724,164.2,73.7,12.6
0.083547,755.7,221.7,1534.7,69.4,2973.9,323.4,626.9,1705.5,2723.7,163.8,73.7,12.8
0.085547,764.2,222.8,1544.0,70.4,2991.6,301.1,626.8,1708.8,2723.3,163.4,73.6,13
0.087547,769.7,223.1,1554.3,71.7,2995.0,292.1,626.8,1712.1,2723,163,73.5,13.1
0.089547,770.8,223.7,1564.2,74.5,2989.8,294.9,626.7,1715.5,2722.6,162.7,73.5,13.1
0.091547,769.4,223.2,1572.6,78.6,2984.8,305.6,626.6,1719,2722.2,162.4,73.5,13.1
0.093547,768.0,217.5,1578.9,81.5,2986.8,320.9,626.6,1722.6,2721.8,162,73.6,13.2
0.095547,767.4,206.2,1584.0,82.2,2996.7,344.0,626.5,1726.3,2721.4,161.7,73.6,13.5
0.097547,767.8,193.0,1590.4,82.1,3011.2,379.1,626.4,1730.1,2720.9,161.4,73.7,14.2
0.099547,768.4,180.3,1599.6,80.8,3025.6,416.4,626.4,1733.9,2720.5,161.1,73.8,15.2
0.101547,767.8,169.0,1610.1,76.6,3037.8,431.7,626.3,1737.9,2720.1,160.8,73.9,16.3
0.103547,766.2,160.9,1618.8,71.3,3044.5,413.6,626.2,1741.9,2719.6,160.5,74.1,17.2
0.105547,766.4,156.2,1623.5,67.5,3039.6,371.1,626.2,1745.9,2719.1,160.2,74.2,17.7
0.107547,770.2,155.1,1624.6,65.7,3024.3,315.0,626.1,1750.1,2718.7,160,74.3,17.7
0.109547,777.4,158.6,1625.0,65.0,3007.2,259.2,626,1754.3,2718.2,159.7,74.4,17.4
0.111547,786.2,165.4,1628.0,63.7,2995.5,222.2,625.9,1758.6,2717.7,159.4,74.5,16.9
0.113547,794.3,173.5,1634.0,60.8,2987.9,212.2,625.9,1762.9,2717.1,159.2,74.5,16.2
0.115547,801.0,183.8,1641.6,57.4,2979.1,226.5,625.8,1767.3,2716.6,158.9,74.6,15.6
0.117547,805.9,195.3,1649.4,55.1,2966.1,252.1,625.7,1771.8,2716.1,158.7,74.6,14.9
0.119547,807.7,203.7,1656.8,55.0,2950.1,265.8,625.7,1776.3,2715.5,158.4,74.5,14
0.121547,806.2,207.8,1664.4,58.1,2934.0,255.4,625.6,1780.9,2715,158.2,74.4,13.1
0.123547,803.1,207.7,1673.3,65.3,2919.1,230.4,625.6,1785.6,2714.4,158,74.3,12.4
0.125547,801.0,204.2,1683.6,74.4,2904.7,206.9,625.5,1790.3,2713.8,157.8,74.2,12
0.127547,800.8,200.9,1694.0,82.5,2888.9,192.5,625.4,1795,2713.2,157.6,74.2,12.1
0.129547,802.2,197.9,1704.8,88.4,2874.1,184.6,625.4,1799.8,2712.6,157.4,74.2,12.5
0.131547,804.3,192.3,1716.5,93.2,2865.1,176.9,625.3,1804.7,2712,157.3,74.3,13
0.133547,806.7,184.6,1729.3,100.1,2861.7,166.0,625.3,1809.5,2711.4,157.1,74.4,13.6
0.135547,809.5,176.7,1743.9,111.7,2859.4,153.8,625.2,1814.5,2710.7,157,74.5,14
0.137547,811.4,169.1,1761.0,125.7,2854.0,144.6,625.2,1819.4,2710.1,156.9,74.6,14.3
