time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025344,441.8,56.5,1928.1,412.6,2899.0,55.2,588.8,1811,2589.3,170.1,70.3,-36.6
0.027344,451.5,49.6,1923.6,392.8,2897.6,53.2,588.8,1810.9,2589,170.1,71.3,4.3
0.029344,460.9,43.6,1914.7,377.3,2897.0,53.2,588.8,1810.8,2588.6,170.2,72,17.9
0.031344,469.5,38.7,1899.2,356.3,2896.3,53.9,588.7,1810.6,2588.1,170.2,72.4,20.4
0.033344,477.2,34.3,1878.6,319.9,2895.0,54.1,588.7,1810.3,2587.4,170.3,72.8,16.4
0.035344,483.5,30.4,1859.5,274.8,2894.8,54.9,588.6,1809.9,2586.5,170.4,73.1,10.8
0.037344,488.2,26.8,1843.7,239.8,2899.1,60.1,588.5,1809.5,2585.5,170.4,73.4,8.3
0.039344,490.9,23.6,1830.6,235.8,2910.6,70.9,588.5,1809,2584.3,170.5,73.7,8.7
0.041344,492.7,21.9,1819.9,249.8,2920.0,78.9,588.4,1808.5,2582.9,170.6,73.9,9.1
0.043344,494.5,22.3,1817.1,261.6,2919.3,77.6,588.2,1807.9,2581.4,170.6,74.1,9.4
0.045344,496.7,24.5,1824.2,265.7,2913.8,71.0,588.1,1807.2,2579.8,170.7,74.2,9.7
0.047344,499.6,27.4,1837.0,262.3,2908.0,63.8,588,1806.5,2578,170.8,74.4,10.1
0.049344,502.1,29.8,1848.1,251.7,2904.4,58.5,587.8,1805.7,2576,170.9,74.5,10.6
0.051344,502.4,30.7,1850.5,239.3,2903.6,56.4,587.7,1804.8,2573.9,171,74.6,11.2
0.053344,500.2,30.6,1844.0,228.3,2904.6,56.9,587.5,1803.9,2571.6,171.1,74.8,11.8
0.055344,498.0,30.9,1836.4,215.9,2905.3,57.0,587.3,1802.9,2569.2,171.2,75,12.3
0.057344,497.9,32.0,1833.7,194.0,2905.3,55.5,587.1,1801.9,2566.6,171.3,75.1,12.6
0.059344,500.3,33.6,1835.8,160.1,2905.8,54.9,586.9,1800.8,2563.9,171.3,75.2,12.7
0.061344,502.6,34.0,1837.6,127.2,2908.8,60.0,586.7,1799.7,2561.1,171.4,75.4,12.7
0.063344,501.2,31.3,1835.9,111.8,2915.7,70.0,586.5,1798.5,2558.1,171.5,75.6,12.5
0.065344,496.5,26.4,1829.4,117.2,2916.3,71.3,586.3,1797.2,2555,171.6,75.9,12.4
0.067344,493.1,22.4,1820.3,133.9,2910.4,68.3,586,1795.9,2551.7,171.6,76.2,12.3
0.069344,493.5,20.4,1814.8,157.4,2905.5,67.1,585.8,1794.6,2548.3,171.7,76.5,12.3
0.071344,496.6,19.7,1816.4,184.3,2904.1,68.7,585.6,1793.2,2544.8,171.7,76.9,12.4
0.073344,500.4,19.1,1822.5,206.2,2905.2,71.5,585.3,1791.7,2541.1,171.8,77.2,12.4
0.075344,503.1,18.4,1825.9,215.2,2906.6,72.4,585,1790.2,2537.3,171.8,77.4,12.4
0.077344,505.2,17.8,1824.7,215.9,2907.1,71.3,584.7,1788.7,2533.4,171.8,77.6,12.4
0.079344,507.1,17.5,1821.5,210.5,2907.4,70.7,584.5,1787.1,2529.3,171.8,77.8,12.3
0.081344,509.3,17.7,1822.3,197.7,2908.3,73.6,584.2,1785.4,2525.2,171.8,78.1,12.3
0.083344,513.4,19.3,1838.7,178.6,2910.0,84.6,583.9,1783.7,2520.9,171.8,78.3,12.2
0.085344,521.6,23.2,1872.8,158.6,2909.6,107.5,583.6,1782,2516.5,171.7,78.6,11.8
0.087344,535.6,28.5,1907.2,137.9,2903.4,141.9,583.3,1780.2,2512,171.7,78.9,11.1
0.089344,552.4,33.0,1926.3,121.3,2892.1,180.3,583,1778.4,2507.4,171.6,79.2,9.8
0.091344,567.7,37.6,1932.4,111.7,2880.2,221.2,582.7,1776.6,2502.6,171.6,79.5,8
0.093344,581.8,45.9,1933.1,108.2,2871.0,278.2,582.3,1774.7,2497.8,171.5,79.7,6
0.095344,597.9,58.9,1935.2,108.5,2868.0,359.8,582,1772.8,2492.9,171.4,79.8,4.3
0.097344,622.2,73.3,1942.4,108.4,2874.0,468.1,581.7,1770.8,2487.8,171.3,80,3.2
0.099344,654.0,77.2,1953.1,105.1,2885.8,580.7,581.4,1768.8,2482.7,171.2,80.3,2.9
0.101344,680.6,66.7,1962.3,101.2,2790.6,2706.5,581,1766.8,2477.5,171.1,80.7,3.2
0.103344,696.7,53.7,1968.8,99.3,2765.8,2494.9,580.7,1764.8,2472.2,170.9,81.1,3.8
0.105344,705.8,45.9,1973.7,98.8,2831.2,785.8,580.4,1762.7,2466.8,170.8,81.7,4.6
0.107344,712.9,42.3,1978.4,98.0,2791.5,791.2,580,1760.6,2461.3,170.7,82.1,5.4
0.109344,718.8,41.5,1982.8,97.5,2768.8,766.2,579.7,1758.5,2455.7,170.5,82.4,6.4
0.111344,724.0,43.0,1987.2,99.6,2759.8,737.5,579.4,1756.4,2450.1,170.4,82.7,7.7
0.113344,729.3,46.5,1992.2,105.3,2764.7,712.3,579,1754.2,2444.4,170.3,82.7,9
0.115344,734.6,50.3,1996.6,111.3,2787.7,685.5,578.7,1752.1,2438.6,170.1,82.7,10.3
0.117344,739.4,54.1,1999.2,115.7,2527.4,2642.1,578.4,1749.9,2432.8,170,82.7,11.3
0.119344,743.6,57.7,1998.8,118.7,2341.7,2486.9,578.1,1747.7,2426.9,169.8,82.5,12.1
0.121344,748.4,61.5,1995.1,120.1,2242.9,2409.6,577.7,1745.5,2421,169.7,82.4,12.8
0.123344,754.4,65.8,1987.7,120.1,2180.5,2413.0,577.4,1743.3,2415,169.5,82.2,13.4
