time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025719,366.7,116.7,1505.1,451.0,2232.9,213.4,448.6,1533.1,2368.7,163.7,70.2,3
0.027719,377.5,103.3,1493.9,390.8,2222.0,169.5,448.6,1533.5,2368.9,163.7,70.3,3.2
0.029719,385.3,96.0,1488.0,344.1,2214.9,141.5,448.6,1534.2,2369.2,163.7,70.3,3.9
0.031719,390.1,95.2,1485.9,308.5,2212.2,124.5,448.5,1535.1,2369.6,163.7,70.4,5
0.033719,391.8,97.8,1484.2,281.7,2210.4,113.3,448.4,1536.3,2370.2,163.6,70.5,6.3
0.035719,391.1,100.4,1480.0,268.5,2206.5,107.6,448.3,1537.8,2370.9,163.6,70.8,7.5
0.037719,389.7,101.3,1473.1,268.5,2200.2,108.0,448.2,1539.5,2371.7,163.6,71,9.2
0.039719,388.8,101.5,1466.7,275.2,2194.0,113.4,448.1,1541.4,2372.7,163.6,71.3,11
0.041719,388.5,102.9,1464.7,284.4,2191.7,120.9,448,1543.7,2373.8,163.5,71.5,12.8
0.043719,388.9,106.2,1467.5,299.4,2194.0,129.0,447.8,1546.1,2375,163.5,71.7,14.3
0.045719,390.4,110.6,1473.5,321.3,2198.8,135.2,447.7,1548.9,2376.3,163.5,71.8,15.3
0.047719,392.8,114.5,1479.9,342.2,2202.5,136.7,447.5,1551.9,2377.7,163.5,71.9,15.6
0.049719,394.6,116.1,1483.4,350.5,2202.7,134.1,447.3,1555.2,2379.3,163.5,71.9,15.7
0.051719,395.6,114.8,1482.7,345.7,2199.4,132.4,447.1,1558.7,2381,163.4,72,15.7
0.053719,396.7,111.9,1478.3,337.0,2194.6,134.1,446.9,1562.4,2382.8,163.4,72.1,15.8
0.055719,397.8,110.5,1471.5,327.2,2189.2,135.0,446.6,1566.5,2384.8,163.4,72.2,16.2
0.057719,399.5,112.2,1464.5,307.4,2182.7,128.1,446.4,1570.7,2386.8,163.4,72.3,16.7
0.059719,402.8,115.3,1458.2,275.3,2175.6,114.1,446.1,1575.2,2389,163.4,72.4,17.4
0.061719,407.3,116.4,1453.7,248.2,2170.6,101.5,445.8,1580,2391.3,163.4,72.6,18
0.063719,411.5,114.1,1452.1,236.4,2168.9,93.6,445.6,1585,2393.7,163.4,72.7,18.6
0.065719,414.5,109.6,1454.3,238.3,2170.1,89.4,445.2,1590.2,2396.3,163.4,72.7,19.1
0.067719,415.9,105.1,1458.4,247.3,2173.4,87.5,444.9,1595.7,2398.9,163.4,72.8,19.5
0.069719,415.0,101.6,1463.6,263.8,2178.3,89.7,444.6,1601.4,2401.7,163.4,72.8,19.8
0.071719,412.3,99.0,1469.3,289.1,2183.6,96.2,444.2,1607.4,2404.6,163.4,72.8,20.1
0.073719,408.8,97.4,1474.9,320.1,2188.0,103.9,443.9,1613.5,2407.6,163.4,72.9,20.5
0.075719,406.4,97.3,1479.0,344.9,2188.5,108.7,443.5,1620,2410.7,163.4,73,21
0.077719,405.7,98.3,1483.4,359.5,2185.4,111.1,443.1,1626.6,2413.9,163.5,73,21.8
0.079719,406.4,99.6,1490.1,368.7,2181.5,113.2,442.7,1633.4,2417.3,163.5,73.1,22.6
0.081719,407.6,100.6,1499.1,378.6,2178.6,117.6,442.3,1640.5,2420.7,163.6,73.2,23.4
0.083719,409.1,101.5,1509.8,388.4,2177.3,124.8,441.9,1647.8,2424.2,163.6,73.3,24
0.085719,410.5,102.2,1518.2,394.1,2179.5,133.9,441.5,1655.3,2427.9,163.7,73.4,24.4
0.087719,411.6,103.0,1523.5,401.7,2186.7,146.6,441,1663,2431.6,163.7,73.5,24.4
0.089719,412.3,103.8,1528.8,417.1,2197.7,164.8,440.6,1670.9,2435.5,163.8,73.6,24.3
0.091719,412.2,104.4,1535.3,436.0,2208.2,184.6,440.1,1679,2439.5,163.9,73.6,24.1
0.093719,412.5,104.4,1541.1,444.2,2214.8,198.6,439.7,1687.3,2443.5,164,73.5,23.9
0.095719,414.6,103.4,1540.1,423.9,2215.4,195.3,439.2,1695.9,2447.7,164.1,73.5,23.7
0.097719,417.6,101.7,1532.3,389.1,2212.3,178.5,438.7,1704.6,2451.9,164.2,73.4,23.4
0.099719,419.5,100.8,1522.5,368.2,2209.9,163.8,438.2,1713.4,2456.3,164.3,73.3,23.1
0.101719,420.4,101.2,1511.9,367.7,2210.0,158.5,437.7,1722.5,2460.7,164.4,73.2,22.7
0.103719,421.6,101.6,1496.8,375.0,2211.5,158.7,437.2,1731.8,2465.2,164.5,73.1,22.2
0.105719,424.5,101.0,1479.3,372.3,2212.4,161.7,436.6,1741.2,2469.9,164.6,73.1,21.6
0.107719,430.3,99.0,1470.4,345.2,2208.6,170.8,436.1,1750.8,2474.6,164.7,73.1,20.8
0.109719,437.4,96.5,1477.8,299.2,2192.3,189.0,435.6,1760.6,2479.4,164.7,73.3,19.9
0.111719,441.9,94.9,1491.8,270.4,2161.8,215.4,435,1770.5,2484.3,164.8,73.6,18.9
0.113719,444.0,92.3,1512.5,286.3,2129.0,264.2,434.5,1780.6,2489.2,164.9,74,17.9
0.115719,449.5,86.9,1564.0,350.5,2108.9,366.7,433.9,1790.8,2494.3,165,74.5,16.9
0.117719,461.5,81.2,1683.9,360.2,2134.7,583.0,433.4,1801.2,2499.4,165,75.1,15.7
0.119719,475.6,73.0,1765.7,221.7,2314.3,688.3,432.8,1811.7,2504.6,165.1,75.7,14.4
0.121719,483.6,62.6,1799.6,154.0,2444.3,535.2,432.2,1822.4,2509.9,165.2,76.2,13.3
0.123719,484.3,54.1,1828.7,143.2,2495.8,404.1,431.6,1833.2,2515.2,165.2,76.6,12.9
