time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025766,486.4,62.8,1643.9,158.9,2260.9,2561.6,517.3,1533.9,2386.8,177,69.2,-6.7
0.027766,486.9,75.7,1637.4,196.4,2175.4,2712.3,517.3,1534.2,2386.9,176.7,68.8,-38.6
0.029766,484.0,97.8,1636.4,239.3,1990.4,3127.9,517.3,1534.7,2387,176.5,68.1,-88.7
0.031766,480.7,132.6,1084.3,5144.1,1644.7,259.5,517.3,1535.5,2387.2,176.3,67.3,-142.7
0.033766,485.9,175.1,1651.5,255.1,2411.5,208.1,517.3,1536.4,2387.5,176.1,66.6,-186.4
0.035766,501.7,197.1,1645.3,262.9,2421.0,172.1,517.3,1537.5,2387.9,175.8,65.9,-208
0.037766,510.7,195.9,1615.0,275.7,2434.1,146.7,517.2,1538.9,2388.3,175.6,65.4,-214.5
0.039766,511.7,193.2,1571.6,255.5,2442.5,135.9,517.2,1540.4,2388.7,175.3,65,-212.4
0.041766,511.5,191.5,1541.7,222.0,2439.7,148.2,517.2,1542.2,2389.2,175.1,64.7,-206.2
0.043766,513.0,190.8,1523.4,200.9,2425.2,183.0,517.2,1544.1,2389.8,174.8,64.4,-200.9
0.045766,518.4,192.9,1509.7,186.8,2407.8,226.7,517.2,1546.3,2390.4,174.6,64.1,-200
0.047766,527.9,196.8,1499.4,172.7,2402.5,254.7,517.2,1548.6,2391.1,174.4,63.9,-200
0.049766,537.1,198.6,1489.9,164.4,2409.0,259.7,517.1,1551.2,2391.9,174.2,63.8,-200
0.051766,541.6,202.6,1477.6,172.1,2416.4,254.9,517.1,1553.9,2392.7,174,63.8,-200
0.053766,543.2,215.1,1461.8,198.0,2416.9,250.0,517.1,1556.9,2393.6,173.8,63.9,-200
0.055766,547.5,234.3,1447.1,229.7,2404.5,250.4,517.1,1560,2394.5,173.6,64,-201
0.057766,556.0,251.7,1439.0,247.3,2380.3,258.9,517,1563.3,2395.5,173.4,64.2,-206.9
0.059766,562.5,259.9,1434.3,244.7,2358.0,266.8,517,1566.9,2396.6,173.3,64.4,-213.6
0.061766,561.8,259.8,1429.3,228.8,2359.4,265.2,517,1570.5,2397.7,173.2,64.6,-216
0.063766,555.4,255.0,1424.9,209.2,2385.3,256.3,517,1574.4,2398.8,173.1,64.9,-208.8
0.065766,548.9,246.8,1422.7,194.5,2416.1,253.4,516.9,1578.5,2400,173,65.3,-186
0.067766,545.7,236.5,1423.2,190.2,2443.3,275.5,516.9,1582.7,2401.3,173,65.8,-143.5
0.069766,544.8,226.3,1426.5,195.5,2470.6,339.1,516.9,1587.1,2402.7,172.9,66.3,-90.5
0.071766,542.1,225.8,1437.0,210.7,2496.1,457.5,516.9,1591.7,2404,172.9,66.8,-37.7
0.073766,533.3,246.2,1462.5,238.2,2478.1,576.4,516.8,1596.4,2405.5,172.9,67.3,4.1
0.075766,513.8,277.5,1503.8,252.1,2403.3,517.3,516.8,1601.4,2407,172.9,68,25.6
0.077766,486.9,288.1,1554.7,200.4,2365.1,345.8,516.8,1606.4,2408.5,172.9,69.1,30.6
0.079766,462.4,257.3,1603.5,131.1,2360.2,232.6,516.8,1611.7,2410.1,172.9,70.6,25.4
0.081766,454.9,195.7,1643.6,86.7,2363.9,181.3,516.8,1617,2411.8,172.9,72.5,15.8
0.083766,457.6,138.9,1674.4,62.8,2371.5,161.7,516.8,1622.6,2413.5,172.9,74.5,7.5
0.085766,463.3,101.8,1697.5,50.2,2381.4,155.9,516.8,1628.3,2415.2,173,76.4,5
0.087766,470.9,79.9,1715.7,44.0,2391.8,157.3,516.7,1634.1,2417.1,173,78,3.8
0.089766,480.8,66.0,1732.5,42.4,2400.9,163.6,516.7,1640,2418.9,173,79.4,3
0.091766,493.2,56.2,1751.3,44.8,2408.7,172.1,516.7,1646.1,2420.8,173,80.5,2.6
0.093766,506.4,48.0,1775.1,50.0,2421.0,178.2,516.7,1652.3,2422.8,173,81.5,2.7
0.095766,517.9,41.0,1805.0,55.2,2445.0,178.2,516.8,1658.7,2424.8,173,82.3,3.4
0.097766,526.7,35.0,1840.0,57.5,2479.6,168.7,516.8,1665.2,2426.8,172.9,83,5.1
0.099766,532.5,30.5,1870.8,56.0,2508.9,151.5,516.8,1671.7,2428.9,172.9,83.6,7.3
0.101766,536.1,26.4,1897.8,52.3,2529.3,131.0,516.8,1678.4,2431.1,172.8,84.1,9.6
