time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025750,640.3,25.1,2306.8,41.5,2551.5,311.9,538.9,2372.6,2704.4,0,71.4,6.8
0.027750,639.4,35.7,2302.1,57.4,2546.5,300.8,538.9,2372.2,2704.3,0,72.7,19.3
0.029750,635.6,43.5,2294.0,79.2,2537.1,262.4,539,2371.7,2704.2,0,73.8,19.7
0.031750,630.5,43.4,2288.4,92.3,2535.7,241.2,539,2370.9,2704.1,0,74.7,13.5
0.033750,624.8,39.1,2289.3,94.0,2548.6,253.6,539.2,2370,2703.9,0,75.4,5.7
0.035750,618.0,34.8,2293.5,90.5,2581.5,289.6,539.3,2368.8,2703.7,0,76,1.6
0.037750,609.8,33.4,2297.8,87.1,2623.8,317.4,539.4,2367.4,2703.5,0,76.5,1.4
0.039750,599.9,34.5,2305.6,80.8,2660.1,331.0,539.6,2365.8,2703.2,0,76.9,1.5
0.041750,590.2,36.5,2315.3,68.1,2687.4,348.0,539.8,2363.9,2702.9,0,77.2,1.7
0.043750,581.6,39.5,2320.8,55.5,2714.0,375.4,540,2361.9,2702.6,0,77.6,2
0.045750,576.9,44.7,2321.0,48.6,2740.9,403.4,540.2,2359.7,2702.2,0,77.9,2.2
0.047750,580.5,51.6,2319.8,46.9,2764.3,416.5,540.5,2357.2,2701.8,0,78.3,2.2
0.049750,592.0,59.0,2320.4,47.9,2785.2,419.8,540.8,2354.5,2701.4,0,78.6,1.9
0.051750,606.0,64.3,2322.8,50.3,2801.3,428.8,541.1,2351.7,2700.9,168,78.8,1.8
0.053750,617.5,66.6,2324.8,52.4,2808.4,453.4,541.4,2348.6,2700.4,168.1,79.1,1.9
0.055750,625.1,67.1,2324.2,53.5,2800.3,489.2,541.7,2345.3,2699.8,168.3,79.3,2.4
0.057750,628.9,66.9,2321.7,55.7,2774.1,509.3,542.1,2341.8,2699.2,168.6,79.4,3.7
0.059750,629.4,66.4,2318.4,61.4,2734.7,482.5,542.4,2338.1,2698.6,168.8,79.6,5.6
0.061750,626.8,66.2,2314.8,70.0,2702.0,413.1,542.8,2334.2,2698,169,79.8,7.7
0.063750,622.2,66.8,2312.3,78.8,2686.0,347.2,543.2,2330.2,2697.3,169.2,79.9,9.6
0.065750,616.3,67.5,2312.6,87.0,2678.8,313.1,543.6,2325.9,2696.5,169.4,80.1,11
0.067750,610.4,67.2,2316.2,96.0,2667.5,310.6,544.1,2321.4,2695.8,169.7,80.2,11.8
0.069750,604.8,66.7,2324.2,108.6,2642.6,333.4,544.5,2316.7,2695,169.9,80.5,12.2
0.071750,600.5,67.4,2336.6,121.8,2608.6,367.5,545,2311.9,2694.1,170.1,80.7,12.4
0.073750,597.7,70.0,2347.7,129.2,2583.5,388.0,545.5,2306.9,2693.2,170.3,80.9,12.6
0.075750,595.9,74.2,2351.3,131.9,2576.5,385.7,546,2301.6,2692.3,170.5,81.1,13
0.077750,594.7,78.4,2348.3,134.8,2580.1,374.5,546.5,2296.2,2691.4,170.7,81.4,13.6
0.079750,594.0,81.6,2341.5,141.0,2589.1,363.6,547,2290.6,2690.4,170.9,81.6,14.4
0.081750,593.7,83.3,2333.9,148.5,2602.8,353.8,547.6,2284.9,2689.3,171.1,81.8,15.2
0.083750,593.1,83.3,2328.3,148.0,2619.4,344.3,548.1,2278.9,2688.3,171.2,82,15.9
0.085750,591.8,82.4,2325.8,134.0,2634.1,336.1,548.7,2272.8,2687.2,171.4,82.3,16.3
0.087750,589.8,80.7,2325.2,116.4,2642.6,330.6,549.2,2266.5,2686,171.5,82.7,16.4
0.089750,587.3,77.5,2324.4,104.4,2647.0,330.9,549.8,2260.1,2684.9,171.6,83,16.3
0.091750,585.0,72.8,2321.8,101.2,2651.1,336.5,550.4,2253.5,2683.6,171.7,83.4,16.1
0.093750,583.5,67.7,2316.2,103.7,2658.3,339.7,551,2246.7,2682.4,171.8,83.7,15.8
0.095750,583.0,63.8,2308.3,106.4,2669.3,336.2,551.6,2239.8,2681.1,171.9,84,15.5
0.097750,583.3,62.4,2301.2,106.2,2682.0,331.4,552.2,2232.7,2679.8,172,84.3,15.2
0.099750,584.7,63.0,2297.9,103.7,2693.7,332.4,552.8,2225.5,2678.4,172.1,84.4,14.9
0.101750,587.4,64.7,2300.0,101.2,2699.6,342.5,553.4,2218.2,2677,172.1,84.5,14.5
