time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025922,574.9,25.0,2311.8,55.9,2662.8,264.6,548.9,2315.1,2834.4,0,63.4,-200
0.027922,572.1,26.9,2307.1,85.7,2691.9,204.7,548.8,2315.2,2834.4,0,65,-169.2
0.029922,573.6,25.6,2302.0,86.8,2690.6,164.8,548.7,2315.4,2834.5,0,66.6,-123.9
0.031922,575.2,23.6,2304.8,72.8,2688.1,149.8,548.6,2315.6,2834.5,0,68,-73.6
0.033922,574.7,22.8,2311.6,63.9,2694.3,152.3,548.5,2315.9,2834.5,0,69.2,-28.2
0.035922,571.7,23.7,2322.1,60.1,2719.8,171.6,548.3,2316.3,2834.6,0,70.2,2.7
0.037922,566.5,27.2,2334.4,60.6,2759.8,194.2,548.1,2316.7,2834.7,0,71.1,16
0.039922,559.7,33.4,2346.4,62.8,2789.8,205.0,547.9,2317.2,2834.8,0,71.9,18.1
0.041922,553.0,40.4,2354.2,62.6,2798.5,206.3,547.6,2317.8,2834.9,0,72.8,13.8
0.043922,548.8,43.8,2355.6,59.5,2795.0,202.7,547.3,2318.4,2835,0,73.7,7.7
0.045922,547.8,42.8,2353.9,53.9,2790.0,196.5,547,2319.1,2835.1,0,74.5,4.5
0.047922,550.1,38.6,2352.2,47.3,2787.7,190.5,546.7,2319.9,2835.2,0,75.1,4.1
0.049922,554.3,33.0,2351.6,41.0,2786.2,186.7,546.3,2320.7,2835.4,0,75.6,3.3
0.051922,558.6,27.7,2352.1,36.4,2782.1,187.4,545.9,2321.6,2835.6,0,75.9,2.4
0.053922,560.7,25.4,2353.9,35.0,2775.2,195.4,545.4,2322.5,2835.7,0,76.1,1.7
0.055922,560.2,26.9,2358.1,36.7,2780.7,214.1,545,2323.6,2835.9,0,76.1,1.4
0.057922,558.2,32.2,2363.8,39.7,2815.7,230.4,544.5,2324.6,2836.1,0,76.1,1.7
0.059922,556.0,40.6,2367.5,45.1,2856.4,231.3,544,2325.8,2836.3,0,76.1,2.4
0.061922,554.9,50.3,2367.6,53.9,2880.3,227.1,543.4,2327,2836.5,0,76.1,3.3
0.063922,555.3,57.7,2365.7,61.7,2887.3,225.7,542.8,2328.3,2836.8,161.1,76.2,4.1
0.065922,556.0,61.4,2366.5,63.9,2885.1,227.2,542.2,2329.6,2837,161.1,76.2,4.7
0.067922,554.7,61.5,2371.9,60.3,2875.5,230.5,541.6,2331,2837.2,161.1,76.3,5
0.069922,550.5,60.4,2380.3,54.4,2855.6,233.4,540.9,2332.5,2837.5,161,76.3,5.1
0.071922,543.5,59.9,2389.4,48.4,2824.1,232.8,540.2,2334,2837.8,161,76.4,5.1
0.073922,536.6,59.8,2396.8,44.0,2798.2,232.4,539.5,2335.6,2838.1,161,76.4,5.3
0.075922,532.4,58.9,2404.4,40.6,2798.5,246.7,538.8,2337.2,2838.4,161,76.5,5.8
0.077922,532.1,57.4,2411.1,38.1,2826.7,266.8,538,2338.9,2838.7,161,76.7,6.6
0.079922,534.2,55.9,2414.5,37.2,2857.7,268.8,537.3,2340.7,2839,160.9,76.8,7.8
0.081922,536.3,54.6,2411.6,39.1,2871.3,252.5,536.5,2342.5,2839.3,160.9,76.9,9.1
0.083922,537.4,54.5,2401.4,43.1,2868.9,231.8,535.6,2344.3,2839.7,160.9,76.9,10.3
0.085922,537.8,55.4,2384.9,47.3,2861.7,214.4,534.8,2346.3,2840.1,160.8,77,11.3
0.087922,537.2,55.5,2370.1,49.5,2853.0,210.3,533.9,2348.3,2840.4,160.8,76.9,12.2
0.089922,535.1,54.6,2362.1,50.5,2836.5,220.1,533,2350.3,2840.8,160.7,76.9,12.9
0.091922,531.3,52.6,2360.8,51.1,2812.2,232.0,532.1,2352.4,2841.2,160.7,76.9,13.6
0.093922,527.0,49.7,2363.6,50.2,2798.5,232.1,531.2,2354.5,2841.6,160.6,76.9,14.1
0.095922,522.5,46.9,2368.0,48.5,2806.6,223.7,530.2,2356.7,2842,160.6,76.9,14.5
