time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025891,545.5,32.8,1886.1,69.8,2970.2,258.3,772.9,2012.5,2866.1,0,64.4,-200
0.027891,552.8,41.9,1885.4,65.4,2954.9,228.4,772.7,2012.7,2866.2,0,64.3,-200
0.029891,557.1,40.9,1883.9,64.4,2946.2,208.6,772.3,2013,2866.4,0,64.4,-200
0.031891,559.7,36.6,1882.1,67.5,2945.0,200.1,771.9,2013.5,2866.6,0,64.6,-200
0.033891,561.6,33.6,1880.8,72.8,2947.5,198.0,771.3,2014.1,2866.9,0,64.8,-200
0.035891,562.6,31.9,1881.1,76.4,2949.4,198.2,770.6,2014.8,2867.3,0,65.1,-200
0.037891,563.4,31.6,1883.7,78.4,2949.2,205.4,769.7,2015.6,2867.8,0,65.4,-200.9
0.039891,569.2,35.9,1889.2,85.4,2945.7,230.7,768.8,2016.6,2868.3,0,65.8,-206.4
0.041891,585.6,46.0,1893.8,92.9,2924.1,256.7,767.7,2017.7,2868.9,0,66.3,-212.6
0.043891,605.6,51.5,1892.5,85.4,2886.7,228.3,766.4,2018.9,2869.5,0,66.9,-214.9
0.045891,620.7,48.6,1891.8,68.4,2866.2,168.4,765.1,2020.3,2870.2,0,67.5,-208.2
0.047891,629.3,42.7,1895.6,54.9,2863.3,125.4,763.6,2021.8,2871,0,67.8,-187.1
0.049891,636.2,36.9,1904.5,46.1,2867.2,98.3,762,2023.4,2871.9,0,68.1,-147.9
0.051891,645.3,35.3,1922.1,45.0,2871.9,89.0,760.3,2025.1,2872.8,0,68.4,-99
0.053891,662.6,45.7,1957.7,59.4,2873.4,105.1,758.4,2027,2873.8,0,69,-50.1
0.055891,696.4,71.4,2013.2,86.3,2879.6,136.9,756.4,2028.9,2874.8,0,69.8,-10.8
0.057891,726.7,82.9,2043.3,89.3,2888.1,139.4,754.3,2031,2875.9,0,70.8,10.6
0.059891,741.1,76.5,2051.4,78.9,2893.9,129.4,752.1,2033.2,2877.1,0,71.8,17.7
0.061891,746.0,66.8,2055.5,69.0,2899.7,125.3,749.8,2035.6,2878.3,0,72.7,16.1
0.063891,746.3,60.8,2062.1,64.4,2904.2,134.3,747.4,2038,2879.6,0,73.4,10.4
0.065891,743.8,60.2,2073.0,67.9,2906.1,167.1,744.8,2040.6,2881,0,74,5.3
0.067891,741.5,62.7,2085.3,81.0,2908.6,220.7,742.1,2043.3,2882.4,0,74.4,4.3
0.069891,744.0,64.2,2097.1,101.7,2917.4,264.7,739.4,2046.1,2883.9,0,74.7,3.7
0.071891,752.9,64.2,2109.3,124.7,2927.0,272.4,736.5,2049,2885.4,152.2,75,2.8
0.073891,764.3,64.3,2122.4,143.2,2855.8,2535.7,733.5,2052,2887,152.2,75.3,2.1
0.075891,775.3,64.0,2132.9,148.2,2704.7,2387.7,730.4,2055.1,2888.7,152.2,75.6,1.9
0.077891,782.3,63.6,2137.3,137.5,2677.8,2390.9,727.2,2058.3,2890.4,152.2,75.8,2.8
0.079891,785.7,63.6,2138.7,119.5,2696.2,2496.2,723.9,2061.6,2892.1,152.3,76,4.8
0.081891,786.4,63.0,2139.0,104.3,2727.7,2599.4,720.5,2065,2893.9,152.3,76.1,7.4
0.083891,785.6,61.4,2139.5,94.8,2748.3,2871.8,717,2068.6,2895.8,152.3,76.1,10
0.085891,783.9,61.2,2142.0,88.8,2875.3,3557.6,713.4,2072.2,2897.7,152.3,76.1,12
0.087891,782.6,64.1,2146.4,84.3,2931.3,216.1,709.7,2075.9,2899.7,152.4,76,12.9
0.089891,783.2,69.1,2150.4,78.3,2914.9,217.7,706,2079.7,2901.7,152.4,75.9,12.9
0.091891,785.7,74.6,2150.8,71.2,2892.3,215.6,702.1,2083.6,2903.8,152.4,75.8,12.3
0.093891,786.5,80.0,2148.8,67.6,2868.7,220.1,698.2,2087.5,2905.9,152.5,75.7,11.5
0.095891,782.1,86.4,2146.8,69.9,2849.2,235.2,694.1,2091.6,2908,152.5,75.6,10.8
0.097891,773.9,93.9,2145.5,77.5,2845.5,251.4,690,2095.7,2910.2,152.6,75.4,10.7
0.099891,764.0,104.1,2144.6,90.2,2858.7,260.9,685.9,2100,2912.4,152.6,75.3,10.9
