time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025531,220.5,62.5,1379.6,900.1,2291.0,292.7,363.8,1951.1,2378.2,175.1,72.2,22.4
0.027531,231.6,100.9,1430.3,670.7,2289.4,169.0,363.8,1951.2,2378.3,174.3,72.4,23.9
0.029531,261.3,165.4,1470.6,535.7,2288.5,114.5,363.9,1951.2,2378.5,173.5,72.3,18.7
0.031531,308.4,208.9,1505.4,470.6,2287.4,91.7,364.1,1951.3,2378.7,172.7,72,11.8
0.033531,330.2,204.7,1529.0,456.1,2284.0,83.9,364.2,1951.3,2379,171.9,71.6,8
0.035531,327.7,166.1,1533.0,483.7,2276.7,83.0,364.4,1951.4,2379.4,171.1,71.1,7.2
0.037531,326.9,119.3,1504.1,528.3,2267.1,83.8,364.7,1951.5,2379.8,170.3,70.8,6
0.039531,327.0,93.7,1463.2,543.3,2257.7,83.3,365,1951.7,2380.2,169.5,70.8,4.8
0.041531,321.4,87.0,1448.7,559.8,2249.8,83.4,365.3,1951.8,2380.8,168.8,71.1,4
0.043531,313.6,90.5,1462.5,593.4,2243.6,85.2,365.7,1952,2381.4,168.1,71.6,3.7
0.045531,307.6,99.4,1496.5,605.9,2239.1,84.9,366.1,1952.2,2382,167.4,72.2,4.3
0.047531,305.6,110.6,1533.8,570.8,2235.8,79.0,366.5,1952.4,2382.7,166.8,72.7,5.5
0.049531,308.0,120.5,1561.0,504.3,2231.4,68.8,367,1952.6,2383.5,166.2,73,7
0.051531,312.8,125.1,1575.6,444.5,2226.4,60.4,367.5,1952.8,2384.3,165.7,73.2,8.6
0.053531,317.5,124.8,1583.1,415.5,2223.7,58.3,368.1,1953,2385.2,165.2,73.2,9.8
0.055531,323.1,122.3,1588.3,414.3,2224.2,62.7,368.7,1953.3,2386.2,164.8,73.1,10.7
0.057531,329.5,117.3,1590.2,435.0,2226.8,70.1,369.3,1953.6,2387.2,164.4,72.8,11.6
0.059531,334.5,110.7,1588.3,466.0,2228.1,75.4,370,1953.9,2388.3,164.1,72.6,12.3
0.061531,336.8,106.6,1583.7,488.2,2225.5,75.4,370.7,1954.2,2389.4,163.8,72.5,12.9
0.063531,336.6,106.7,1574.9,492.3,2221.0,72.2,371.4,1954.5,2390.6,163.6,72.4,13.2
0.065531,333.8,108.4,1559.6,489.6,2219.4,70.6,372.2,1954.8,2391.8,163.5,72.5,13.2
0.067531,331.0,109.9,1543.6,483.8,2224.5,72.0,373,1955.1,2393.1,163.4,72.6,12.9
0.069531,331.8,110.8,1534.2,478.8,2234.6,73.4,373.9,1955.5,2394.5,163.3,72.8,12.4
0.071531,338.8,113.0,1536.9,480.7,2245.7,72.5,374.7,1955.8,2395.9,163.3,72.9,12
0.073531,351.4,116.8,1552.0,488.2,2255.3,70.3,375.6,1956.2,2397.4,163.3,72.9,11.8
0.075531,366.5,119.0,1570.7,504.4,2263.6,68.5,376.6,1956.6,2398.9,163.3,72.9,11.7
0.077531,378.0,119.4,1584.4,523.8,2269.9,68.0,377.6,1957,2400.4,163.4,73,11.7
0.079531,384.9,123.2,1595.2,522.9,2274.0,66.9,378.6,1957.4,2402.1,163.5,73,11.8
