time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025188,505.6,129.6,859.8,34.8,1612.6,597.4,616.7,1442,1738.1,0,68.1,-187.5
0.027188,500.7,134.9,871.7,68.8,1599.0,642.6,616.6,1441.8,1738.1,0,71,-149.7
0.029188,511.5,113.6,906.6,147.8,1574.4,714.2,616.5,1441.4,1738,0,73.7,-102.5
0.031188,522.6,86.6,964.1,217.9,1545.8,823.9,616.3,1440.8,1737.9,0,76.1,-55.2
0.033188,532.3,72.8,1013.8,232.5,1517.3,942.9,616,1440.2,1737.7,0,78.1,-17.1
0.035188,543.2,68.8,1053.5,220.5,1467.9,1069.0,615.6,1439.3,1737.6,0,79.8,3.8
0.037188,557.0,70.5,1087.9,197.2,1388.0,1183.9,615.2,1438.4,1737.4,0,81.1,11.1
0.039188,575.6,75.1,1114.1,173.0,1304.1,1229.0,614.7,1437.2,1737.2,0,82.2,10
0.041188,599.7,77.0,1130.4,159.1,1273.7,1191.7,614.2,1436,1736.9,0,83.1,5.1
0.043188,625.7,69.6,1139.3,153.8,1328.6,1137.2,613.6,1434.5,1736.7,0,83.8,0.8
0.045188,646.2,57.0,1148.2,150.4,1424.0,1091.8,613,1433,1736.4,127.4,84.3,0.8
0.047188,658.0,49.0,1165.2,154.0,1487.3,1053.8,612.2,1431.3,1736.1,130,84.8,1.6
0.049188,663.4,47.4,1192.0,166.5,1507.3,1017.8,611.5,1429.4,1735.7,132.9,85,2.4
0.051188,666.2,50.2,1225.0,179.7,1517.3,983.6,610.6,1427.4,1735.3,135.9,85.2,3.1
0.053188,669.9,55.5,1257.6,185.6,1535.4,979.7,609.7,1425.3,1734.9,139.2,85.2,3.7
0.055188,677.2,61.6,1285.9,185.7,1550.3,1026.5,608.8,1423,1734.5,142.8,85.1,4.2
0.057188,688.4,68.2,1312.5,183.1,1548.8,1135.7,607.8,1420.6,1734.1,146.5,84.9,4.6
0.059188,702.3,74.9,1343.3,172.4,1535.9,1339.7,606.7,1418.1,1733.6,150.4,84.7,4.8
0.061188,715.3,78.8,1375.3,146.9,1546.9,1664.9,605.6,1415.5,1733.1,154.5,84.5,5.1
0.063188,720.9,78.7,1395.5,119.2,1639.1,1955.1,604.4,1412.7,1732.6,158.7,84.3,5.3
0.065188,720.8,78.8,1399.8,104.4,1780.2,1959.4,603.2,1409.8,1732.1,163.1,84.2,5.6
0.067188,723.7,81.7,1396.0,103.5,1861.7,1869.5,601.9,1406.7,1731.5,167.6,84.2,5.7
0.069188,730.6,84.0,1391.6,110.3,1889.0,1885.0,600.5,1403.6,1731,0,84.2,5.8
0.071188,735.0,82.5,1391.6,112.6,1928.2,2037.9,599.1,1400.3,1730.4,176.6,84.3,6
0.073188,733.1,78.4,1397.1,102.3,2047.0,2312.8,597.7,1397,1729.8,181.1,84.5,6.5
0.075188,725.8,74.0,1403.0,87.9,2223.3,2320.9,596.2,1393.5,1729.2,185.6,84.6,7.4
0.077188,716.8,68.9,1405.5,80.2,2251.7,1801.3,594.7,1389.9,1728.6,190.1,84.7,8.8
0.079188,710.0,62.5,1405.3,80.0,2179.7,1301.9,593.1,1386.2,1728,194.4,84.9,10.5
0.081188,705.8,55.6,1405.5,83.7,2129.2,993.1,591.5,1382.4,1727.3,198.6,85.1,12.1
0.083188,702.8,50.2,1409.5,89.2,2101.0,828.7,589.8,1378.5,1726.7,202.7,85.3,13.3
0.085188,700.3,46.6,1418.4,95.7,2080.9,760.0,588.1,1374.6,1726,206.6,85.5,13.7
0.087188,698.0,44.4,1431.3,101.6,2060.6,756.0,586.3,1370.5,1725.3,210.4,85.7,13.4
0.089188,696.1,43.1,1445.8,104.1,2035.3,803.3,584.5,1366.4,1724.7,213.9,85.7,12.7
0.091188,695.1,42.7,1459.6,102.3,2003.3,898.6,582.7,1362.1,1724,217.3,85.8,11.7
0.093188,694.8,43.7,1472.7,98.4,1963.6,1047.2,580.8,1357.9,1723.3,220.4,85.7,10.8
0.095188,694.3,47.3,1486.6,93.5,1907.7,1268.9,578.9,1353.5,1722.7,223.4,85.5,10.1
0.097188,692.4,55.1,1501.0,87.3,1820.0,1563.9,576.9,1349.1,1722,226.2,85.1,9.3
0.099188,687.6,68.4,1514.0,82.1,1696.1,1827.0,574.9,1344.6,1721.3,228.7,84.7,8.5
0.101188,676.8,88.5,1524.3,83.3,1578.2,1852.3,572.9,1340,1720.7,231.1,84,7.7
0.103188,656.2,115.4,1519.0,1626.1,1530.7,93.6,570.9,1335.4,1720,233.3,83.3,7.1
0.105188,625.5,146.6,1507.1,1377.9,1531.7,110.2,568.8,1330.7,1719.4,235.4,82.6,6.6
0.107188,591.5,183.1,1509.4,1289.4,1528.2,123.3,566.7,1326,1718.7,237.2,81.8,6.3
0.109188,559.2,227.9,1517.1,1366.5,1525.0,129.8,564.6,1321.3,1718.1,238.9,81.2,6
0.111188,520.4,261.8,1524.8,145.0,1549.5,1343.7,562.4,1316.5,1717.5,240.5,80.7,6
0.113188,470.7,249.3,1519.9,180.8,1617.5,1034.7,560.2,1311.7,1716.9,241.9,80.3,6.1
0.115188,427.4,204.9,1492.2,201.6,1722.5,727.3,558,1306.9,1716.3,243.2,80.2,6.6
0.117188,398.1,166.7,1471.2,177.7,1805.9,576.7,555.8,1302,1715.7,244.4,80.1,7.4
0.119188,379.7,147.9,1467.6,175.1,1852.5,528.9,553.6,1297.2,1715.2,245.5,80.2,8.5
0.121188,367.3,144.4,1473.7,210.3,1881.4,539.6,551.3,1292.3,1714.6,246.4,80.4,9.6
0.123188,357.5,147.9,1484.0,276.0,1898.8,561.0,549.1,1287.4,1714.1,247.3,80.7,10.8
0.125188,347.6,150.6,1481.3,328.4,1913.9,548.5,546.8,1282.5,1713.6,248,81,11.9
0.127188,336.9,150.8,1462.1,333.2,1931.7,513.9,544.5,1277.6,1713.2,248.7,81.4,13.1
0.129188,327.4,155.1,1447.5,341.2,1937.4,490.1,542.2,1272.7,1712.8,249.3,81.8,14.4
0.131188,321.0,166.3,1443.2,408.0,1917.5,475.8,539.9,1267.9,1712.4,249.8,82.2,15.5
0.133188,317.0,177.2,1444.0,565.3,1861.9,442.4,537.6,1263,1712,250.2,82.5,16.5
0.135188,312.5,173.1,1410.3,764.7,1800.4,349.1,535.3,1258.2,1711.7,250.5,82.8,17.2
0.137188,306.1,148.4,1344.2,814.2,1766.2,262.2,532.9,1253.4,1711.4,250.8,83,17.6
0.139188,299.1,115.6,1302.1,754.6,1744.5,204.9,530.6,1248.6,1711.1,250.9,83.1,17.8
0.141188,293.3,87.9,1283.6,703.4,1731.3,166.0,528.3,1243.9,1710.9,251,83.2,18
0.143188,289.4,69.6,1275.0,696.1,1727.7,138.5,526,1239.2,1710.7,251,83.1,18.2
0.145188,288.2,61.7,1268.8,729.2,1732.7,120.5,523.7,1234.6,1710.5,251,83,18.5
0.147188,289.5,62.6,1269.7,762.0,1739.6,114.9,521.4,1230,1710.4,250.9,82.8,18.9
