time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025734,541.7,25.1,816.1,46.2,2926.2,1250.1,630.7,1297.4,2918.2,0,58.6,-200.9
0.027734,540.4,28.8,819.4,43.3,2893.0,968.2,630.6,1297.6,2918.3,0,57.8,-206.4
0.029734,542.6,46.6,822.5,53.5,2843.8,786.3,630.4,1297.9,2918.4,0,57.6,-212.6
0.031734,541.9,103.2,826.0,86.1,2787.4,844.2,630.3,1298.3,2918.5,0,59,-214.8
0.033734,508.0,156.9,847.8,132.0,2687.0,1239.8,630,1298.9,2918.7,0,61.9,-208.2
0.035734,490.5,109.6,898.8,163.6,2438.0,1984.8,629.7,1299.6,2919,243.7,65.2,-187.1
0.037734,498.3,86.5,931.6,170.8,1993.7,2616.5,629.4,1300.4,2919.2,244,68.1,-148.1
0.039734,508.0,74.1,959.3,163.8,1597.4,2752.5,629,1301.3,2919.6,244.3,70.5,-99.4
0.041734,514.3,65.8,985.0,150.6,1415.8,2715.3,628.5,1302.3,2919.9,244.7,72.4,-50.6
0.043734,518.2,60.8,1011.4,136.4,1359.9,2696.7,628,1303.5,2920.4,245.1,73.9,-11.4
0.045734,521.4,59.8,1039.6,123.5,1397.3,2691.0,627.5,1304.8,2920.8,245.5,75,9.9
0.047734,525.9,63.5,1064.0,115.2,1562.3,2658.6,626.9,1306.2,2921.3,246,75.7,17
0.049734,535.8,73.4,1083.0,112.1,2056.5,2626.4,626.3,1307.8,2921.8,246.5,76.2,15.3
0.051734,554.0,90.0,1099.3,115.9,2570.2,1448.9,625.6,1309.4,2922.4,247,76.4,9.6
0.053734,578.9,110.4,1120.8,129.7,2613.7,761.1,624.8,1311.2,2923.1,247.6,76.6,4.8
0.055734,604.9,126.9,1155.8,146.0,2632.0,460.1,624,1313.1,2923.7,248.2,76.7,4.5
0.057734,625.6,133.6,1198.6,143.4,2653.3,317.6,623.2,1315.1,2924.4,248.8,77,5.1
0.059734,643.6,133.9,1235.9,121.0,2676.9,237.2,622.3,1317.2,2925.2,249.5,77.3,5.8
0.061734,659.1,130.9,1258.6,98.8,2699.4,199.3,621.4,1319.4,2925.9,250.2,77.8,6.5
0.063734,672.2,126.6,1272.7,82.9,2719.9,188.1,620.4,1321.7,2926.8,250.9,78.4,7.2
0.065734,684.0,125.9,1283.7,72.7,2736.6,198.7,619.4,1324.2,2927.6,251.6,78.9,7.9
0.067734,697.0,134.7,1294.0,68.8,2747.9,228.4,618.3,1326.7,2928.5,252.4,79.5,8.8
0.069734,714.0,155.6,1305.3,70.6,2755.4,279.5,617.2,1329.4,2929.4,253.2,79.9,9.8
0.071734,733.3,184.2,1316.4,77.1,2759.1,343.5,616.1,1332.1,2930.4,254,80.2,10.6
0.073734,754.5,218.4,1327.9,89.5,2761.8,407.9,614.9,1335,2931.4,254.8,80.4,11.3
0.075734,779.0,259.9,1341.9,113.5,2767.5,457.8,613.7,1338,2932.4,255.7,80.5,11.5
0.077734,806.5,299.1,1359.8,154.6,2777.5,485.7,612.5,1341,2933.5,256.5,80.5,11.4
0.079734,834.7,316.6,1384.2,215.6,2792.5,503.0,611.2,1344.2,2934.6,257.4,80.5,11
0.081734,849.4,297.0,1411.0,272.0,2811.1,518.5,609.9,1347.4,2935.8,258.3,80.6,10.5
0.083734,848.0,257.9,1435.6,303.0,2838.2,538.1,608.5,1350.8,2936.9,259.2,80.6,10.3
0.085734,838.5,216.7,1460.1,302.7,2885.4,557.0,607.1,1354.2,2938.1,260.1,80.7,10.3
0.087734,828.6,184.1,1485.6,277.2,2950.1,557.8,605.7,1357.7,2939.4,261,80.9,10.6
0.089734,820.1,159.1,1512.3,243.0,3020.9,530.0,604.3,1361.3,2940.6,261.8,81,11
0.091734,813.9,142.8,1535.8,218.5,3078.1,486.1,602.8,1365,2941.9,262.7,81.2,11.5
0.093734,809.3,131.6,1555.0,204.3,3123.6,436.8,601.3,1368.8,2943.2,263.6,81.3,11.9
0.095734,806.3,123.5,1566.1,195.5,3162.4,383.0,599.8,1372.6,2944.6,264.4,81.4,12.3
