time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025844,469.2,74.2,940.8,248.6,1519.0,1070.3,517.4,1190.4,2699.1,172.7,74.5,5.4
0.027844,478.8,58.7,967.6,211.4,1614.0,1107.8,517.4,1190.5,2699.1,172.4,75.5,4.9
0.029844,486.2,45.4,989.8,175.5,1757.8,1130.8,517.4,1190.8,2699.1,172.2,76.3,5.2
0.031844,490.9,35.7,1005.5,148.0,1939.7,1111.8,517.5,1191.3,2699.1,171.9,76.9,5.7
0.033844,492.9,29.7,1013.1,131.7,2142.6,1027.1,517.5,1191.8,2699.1,171.6,77.4,6.4
0.035844,493.2,26.1,1014.1,124.4,2322.1,852.2,517.6,1192.5,2699.1,171.4,77.6,7.3
0.037844,492.4,24.7,1010.9,124.3,2429.8,672.6,517.6,1193.3,2699.1,171.1,77.8,8.4
0.039844,490.5,25.3,1007.9,127.3,2475.5,569.5,517.7,1194.2,2699.1,170.8,77.8,9.7
0.041844,487.6,27.8,1008.7,129.9,2486.5,536.0,517.8,1195.3,2699.1,170.6,77.7,11.3
0.043844,483.8,32.2,1013.4,132.2,2473.5,555.8,517.9,1196.4,2699.1,170.3,77.5,13
0.045844,479.4,37.7,1019.4,135.4,2445.4,596.8,518,1197.7,2699.1,170,77.3,14.6
0.047844,474.7,42.6,1023.4,138.5,2410.0,621.4,518.2,1199.1,2699.1,169.8,77.2,15.8
0.049844,471.0,45.0,1023.4,138.7,2383.9,610.4,518.3,1200.7,2699.1,169.6,77.1,16.5
0.051844,468.4,45.4,1020.8,133.9,2386.0,568.2,518.4,1202.3,2699.1,169.4,77,17
0.053844,467.0,45.4,1018.0,125.8,2417.9,509.1,518.6,1204.1,2699.1,169.1,76.9,17.3
0.055844,465.7,46.1,1016.3,118.4,2459.6,448.4,518.8,1206,2699.1,169,76.9,17.5
0.057844,463.1,47.5,1015.6,113.5,2496.9,397.0,518.9,1208,2699.1,168.8,76.8,17.7
0.059844,459.5,49.6,1015.3,111.4,2524.8,360.8,519.1,1210.1,2699.1,168.6,76.7,18.1
0.061844,454.7,52.9,1015.8,111.9,2548.3,334.7,519.3,1212.4,2699.2,168.5,76.5,18.6
0.063844,449.2,57.2,1018.0,113.4,2571.2,311.7,519.5,1214.8,2699.2,168.4,76.3,19
0.065844,443.0,61.2,1021.4,112.7,2592.8,288.1,519.7,1217.3,2699.2,168.3,75.9,19.1
0.067844,435.8,63.5,1024.6,108.1,2608.6,268.5,520,1219.9,2699.2,168.2,75.5,18.8
0.069844,427.5,63.0,1027.3,101.5,2617.7,253.3,520.2,1222.6,2699.3,168.1,75,21.2
0.071844,417.8,61.6,1029.8,97.0,2625.1,238.3,520.5,1225.4,2699.3,168.1,74.4,26.5
0.073844,407.6,61.6,1031.2,99.6,2633.0,227.6,520.7,1228.4,2699.3,168.1,73.6,29.8
0.075844,398.1,62.6,1030.6,109.6,2640.0,225.6,521,1231.5,2699.4,168.1,72.6,26.5
0.077844,389.9,61.5,1026.7,120.8,2642.6,234.7,521.3,1234.7,2699.4,168.2,71.4,11.9
0.079844,382.7,59.1,1019.9,125.9,2640.4,252.0,521.5,1238,2699.5,168.3,70,-20.7
0.081844,374.4,60.9,1011.7,127.4,2639.4,276.2,521.8,1241.4,2699.6,168.4,68.4,-68.3
0.083844,363.6,71.7,1004.1,132.4,2643.7,301.7,522.1,1244.9,2699.7,168.6,66.7,-120.7
0.085844,348.9,91.3,996.7,142.9,2647.4,301.8,522.5,1248.6,2699.7,168.8,64.9,-167.9
0.087844,335.2,113.2,988.4,152.9,2644.2,280.0,522.8,1252.3,2699.8,169,63.3,-200
