time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025500,453.7,43.6,1935.5,18.8,3072.1,424.7,549.8,1789.6,3051.4,166.6,66.3,-186.6
0.027500,453.3,52.6,1929.4,26.6,3168.2,499.6,549.8,1789.7,3051.3,166.8,67.4,-146
0.029500,452.2,63.6,1921.5,37.7,3239.3,501.4,549.8,1789.9,3051.1,166.9,68.4,-95.3
0.031500,451.5,72.1,1914.5,48.1,3256.8,463.0,549.8,1790.2,3051,167.1,69.2,-44.6
0.033500,450.3,74.0,1912.5,53.9,3249.3,436.3,549.9,1790.5,3050.7,167.3,70,-3.8
0.035500,448.0,70.5,1916.1,56.5,3232.7,423.4,549.9,1791,3050.5,167.5,70.7,18.5
0.037500,445.2,65.4,1921.5,57.7,3198.4,400.1,549.9,1791.5,3050.1,167.7,71.2,26
0.039500,443.0,62.0,1924.4,57.9,3141.5,351.8,550,1792.1,3049.7,167.9,71.6,24.5
0.041500,442.4,62.5,1923.7,57.8,3086.5,304.7,550.1,1792.8,3049.3,168.1,72,18.8
0.043500,443.0,65.6,1921.1,59.4,3059.1,286.9,550.1,1793.6,3048.8,168.3,72.2,14
0.045500,444.0,69.4,1918.6,62.1,3059.2,294.1,550.2,1794.5,3048.3,168.5,72.4,13.9
0.047500,444.7,73.5,1918.6,62.6,3085.8,314.8,550.3,1795.4,3047.7,168.7,72.5,14.9
0.049500,445.9,79.0,1920.8,59.4,3138.9,336.7,550.4,1796.4,3047.1,168.9,72.7,15.9
0.051500,448.6,86.1,1922.6,53.9,3205.3,334.5,550.5,1797.5,3046.4,169.1,72.8,16.8
0.053500,452.4,91.4,1920.7,50.3,3244.9,309.0,550.6,1798.7,3045.6,169.3,73,17.6
0.055500,456.6,92.9,1915.2,50.8,3258.0,289.4,550.7,1799.9,3044.9,169.5,73.2,18.2
0.057500,459.6,91.2,1909.9,55.7,3256.1,290.8,550.8,1801.3,3044,169.6,73.4,18.4
0.059500,461.4,88.9,1908.2,64.0,3249.7,308.9,551,1802.7,3043.1,169.8,73.6,18.6
0.061500,462.3,87.5,1908.5,74.5,3249.6,332.4,551.1,1804.2,3042.2,169.9,73.8,18.6
0.063500,462.6,86.4,1905.5,84.0,3261.3,343.3,551.2,1805.7,3041.2,170.1,73.9,18.7
0.065500,462.7,84.7,1899.8,91.4,3276.2,334.9,551.4,1807.4,3040.2,170.2,74.1,18.9
0.067500,463.6,82.4,1897.2,94.9,3282.3,318.8,551.5,1809.1,3039.1,170.3,74.2,19.1
0.069500,465.1,79.7,1898.0,94.8,3280.1,306.6,551.7,1810.9,3038,170.5,74.2,19.4
0.071500,466.4,77.5,1898.0,93.2,3268.4,299.0,551.9,1812.8,3036.9,170.6,74.3,19.6
0.073500,466.6,75.9,1893.9,92.5,3243.3,283.8,552,1814.7,3035.6,170.7,74.4,19.9
0.075500,465.8,74.0,1887.7,90.7,3207.6,248.9,552.2,1816.8,3034.4,170.8,74.5,20.1
0.077500,465.2,71.8,1884.0,85.3,3180.3,215.7,552.4,1818.9,3033.1,170.8,74.6,20.2
0.079500,466.0,69.6,1883.3,79.3,3165.1,197.6,552.6,1821.1,3031.7,170.9,74.7,20.4
0.081500,468.0,67.5,1884.0,76.1,3159.7,191.8,552.8,1823.3,3030.4,171,74.8,20.5
0.083500,470.2,65.7,1884.1,77.6,3159.6,191.4,552.9,1825.7,3028.9,171.1,74.9,20.6
0.085500,472.3,63.9,1882.5,83.4,3158.6,190.6,553.1,1828.1,3027.5,171.2,75,20.7
0.087500,474.0,61.9,1879.9,89.4,3152.8,186.5,553.4,1830.5,3025.9,171.2,75.1,20.9
0.089500,476.2,59.6,1878.6,92.2,3143.3,179.9,553.6,1833.1,3024.4,171.3,75.2,21.2
0.091500,478.9,56.7,1879.6,91.5,3134.1,175.8,553.8,1835.7,3022.8,171.3,75.2,21.3
0.093500,481.3,53.6,1881.0,89.6,3129.7,179.1,554,1838.4,3021.2,171.4,75.3,21.1
0.095500,483.3,50.5,1880.5,88.3,3129.1,189.9,554.2,1841.2,3019.5,171.5,75.4,20.4
0.097500,485.4,48.0,1877.6,85.7,3127.3,199.5,554.4,1844,3017.8,171.5,75.6,19.2
0.099500,488.8,45.7,1874.5,78.5,3118.0,198.7,554.7,1846.9,3016,171.6,75.9,17.6
0.101500,494.1,42.9,1873.8,67.1,3101.4,187.9,554.9,1849.9,3014.2,171.6,76.3,16
0.103500,499.7,39.2,1874.8,57.7,3086.2,178.3,555.1,1852.9,3012.4,171.6,76.7,14.8
0.105500,504.6,34.0,1875.3,52.0,3074.3,175.8,555.4,1856.1,3010.6,171.7,77.2,14.3
0.107500,507.8,28.9,1873.5,49.8,3065.8,178.5,555.6,1859.2,3008.7,171.7,77.8,14.2
0.109500,509.9,24.6,1869.3,48.6,3060.1,179.4,555.8,1862.5,3006.7,171.8,78.3,14.5
0.111500,511.3,21.3,1863.9,46.6,3058.7,174.6,556.1,1865.8,3004.8,171.8,78.9,15
0.113500,512.4,19.6,1859.4,44.1,3062.0,168.3,556.3,1869.1,3002.8,171.8,79.3,15.4
