time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025047,689.5,145.2,1691.9,227.5,2050.5,260.0,627.3,1751.1,2159.3,0,69.9,-19.1
0.027047,683.1,121.2,1677.5,220.1,2028.9,212.2,627.3,1751.3,2159.5,0,72,9.3
0.029047,679.6,108.9,1679.9,216.3,2021.4,199.8,627.2,1751.6,2160,0,73.8,16.3
0.031047,678.6,107.1,1702.9,222.5,2025.6,229.0,627,1752,2160.6,0,75.2,14.5
0.033047,679.5,112.8,1741.9,227.0,2037.3,296.8,626.8,1752.5,2161.5,0,76.4,8.7
0.035047,682.1,122.6,1784.4,219.9,2049.8,391.5,626.5,1753.2,2162.5,0,77.4,3.6
0.037047,686.0,133.0,1822.5,206.1,2055.3,509.1,626.2,1754,2163.7,0,78.2,2.7
0.039047,688.7,140.8,1851.2,191.9,2054.0,635.0,625.9,1754.9,2165.1,0,78.8,2.4
0.041047,687.4,148.4,1871.4,182.3,2054.5,756.8,625.5,1755.9,2166.6,0,79.3,1.9
0.043047,680.8,156.2,1883.4,185.8,2057.0,832.1,625,1757,2168.4,212.7,79.9,1.5
0.045047,671.6,157.2,1889.2,201.3,2052.8,839.4,624.5,1758.3,2170.3,212.8,80.3,1.5
0.047047,664.7,144.2,1892.5,216.2,2039.2,818.1,624,1759.6,2172.4,212.9,80.8,2.1
0.049047,661.8,125.1,1896.9,218.8,2021.9,813.2,623.4,1761.1,2174.7,213,81.3,3.3
0.051047,659.7,108.4,1900.6,212.4,2010.7,829.6,622.8,1762.7,2177.1,213,81.7,4.7
0.053047,657.1,96.7,1900.2,203.2,2015.7,863.2,622.1,1764.4,2179.7,213.1,82.1,6.5
0.055047,654.7,88.6,1895.7,193.2,2037.2,913.1,621.4,1766.2,2182.5,213.2,82.4,8.3
0.057047,653.1,81.8,1890.4,180.6,2068.3,978.5,620.7,1768.1,2185.5,213.4,82.6,10.2
0.059047,652.6,75.7,1888.4,166.7,2096.7,1044.6,619.9,1770.2,2188.7,213.5,82.9,12.4
0.061047,652.6,69.8,1890.0,152.5,2120.5,1107.4,619,1772.3,2192,213.6,83.1,14.8
0.063047,652.7,64.6,1893.4,140.2,2141.6,1166.9,618.1,1774.5,2195.4,213.7,83.3,17.1
0.065047,652.7,60.4,1897.3,130.8,2161.5,1229.3,617.2,1776.9,2199.1,213.8,83.5,19.1
0.067047,652.6,56.9,1901.3,123.7,2181.0,1309.8,616.2,1779.3,2202.9,214,83.8,20.3
0.069047,652.5,54.2,1905.1,118.5,2196.6,1413.1,615.2,1781.9,2206.8,214.1,84,21
0.071047,652.5,51.6,1908.5,113.6,2207.1,1541.4,614.2,1784.5,2210.9,214.2,84.2,21.4
0.073047,652.3,48.8,1910.8,108.7,2219.1,1675.9,613.1,1787.3,2215.2,214.4,84.5,21.5
0.075047,651.7,45.8,1911.3,103.9,2252.2,1791.4,612,1790.1,2219.6,214.5,84.7,21.7
0.077047,650.8,42.7,1909.8,99.5,2326.2,1863.6,610.8,1793,2224.2,214.7,84.9,22.1
0.079047,649.9,39.9,1907.3,95.3,2426.5,1844.8,609.6,1796,2228.9,214.9,85.1,22.7
0.081047,649.0,37.5,1904.6,90.7,2510.9,1716.7,608.4,1799.1,2233.8,215,85.3,23.3
0.083047,648.1,35.6,1901.6,86.0,2541.0,1549.6,607.2,1802.3,2238.8,215.2,85.4,23.7
0.085047,646.9,34.1,1897.2,82.1,2537.3,1410.4,605.9,1805.6,2243.9,215.4,85.5,23.8
0.087047,645.3,33.1,1890.2,79.4,2531.3,1292.5,604.5,1809,2249.2,215.6,85.6,23.4
