time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025281,378.9,66.8,2826.5,1217.1,4333.6,963.4,463.5,1832.1,3067.6,0,60.4,-200.9
0.027281,366.3,79.7,2964.3,1188.1,4376.9,816.6,463.6,1832.2,3067.6,0,62.1,-206.5
0.029281,352.9,85.3,490.0,1255.1,3091.7,1040.1,463.6,1832.4,3067.6,0,63.8,-212.9
0.031281,347.4,85.1,557.9,845.7,3154.3,969.7,463.7,1832.6,3067.5,0,65.1,-215.1
0.033281,350.1,84.3,550.9,762.7,3153.8,998.9,463.9,1832.9,3067.4,106.9,66.2,-208.3
0.035281,360.1,81.9,504.7,972.5,3082.2,1145.8,464,1833.3,3067.4,107,66.8,-186.8
0.037281,372.4,78.2,2894.1,1576.7,4810.5,2630.2,464.2,1833.8,3067.3,107.2,67.3,-146.9
0.039281,383.0,87.0,2263.8,1658.0,3624.9,2736.3,464.4,1834.4,3067.2,107.4,67.6,-97.2
0.041281,393.9,111.3,2158.8,1204.8,3522.4,2363.4,464.6,1835,3067,107.7,67.9,-47.4
0.043281,400.3,132.5,2132.6,1085.2,3326.4,2137.2,464.9,1835.7,3066.9,108.2,68.4,-7.5
0.045281,400.0,139.1,2075.1,1007.7,3152.2,1611.2,465.2,1836.4,3066.7,108.7,68.9,14
0.047281,398.2,139.0,2001.5,821.3,3062.5,1058.0,465.5,1837.3,3066.6,109.3,69.5,20.8
0.049281,397.8,139.1,1950.5,607.7,3003.4,678.4,465.9,1838.2,3066.4,110.1,70,18.4
0.051281,397.0,141.1,1919.2,466.6,2963.4,474.6,466.2,1839.1,3066.2,111.1,70.4,12.1
0.053281,392.0,143.1,1896.7,391.7,2941.1,377.5,466.6,1840.2,3066,112.2,70.7,6.7
0.055281,383.2,143.8,1879.3,352.6,2928.8,335.7,467,1841.3,3065.8,113.5,70.8,6.3
0.057281,375.6,145.9,1870.9,325.7,2918.0,325.5,467.5,1842.5,3065.5,115,70.9,7.2
0.059281,377.0,151.4,1883.1,301.7,2904.4,338.7,468,1843.8,3065.3,116.7,70.9,8.3
0.061281,382.5,148.3,1907.9,279.6,2893.0,359.3,468.4,1845.2,3065,118.6,71,9.4
0.063281,378.7,133.8,1926.9,268.1,2892.2,385.5,469,1846.6,3064.7,120.7,71.2,10.2
0.065281,370.0,117.3,1940.3,267.6,2898.1,432.4,469.5,1848.1,3064.4,123,71.3,10.4
0.067281,363.7,105.8,1958.6,269.5,2903.1,516.4,470.1,1849.6,3064.1,125.6,71.4,9.9
0.069281,363.5,107.2,1985.9,265.0,2896.5,638.9,470.6,1851.3,3063.8,128.3,71.5,9
0.071281,368.3,119.9,2015.2,258.5,2869.4,796.9,471.3,1853,3063.5,131.3,71.6,8.3
0.073281,371.8,133.0,2038.1,260.6,2828.4,980.3,471.9,1854.8,3063.1,134.4,71.6,8.1
0.075281,369.5,139.4,2050.4,268.4,2803.7,1141.8,472.5,1856.7,3062.8,137.7,71.6,8.8
0.077281,362.7,139.8,2046.7,277.6,2818.3,1215.8,473.2,1858.6,3062.4,141.1,71.7,10.7
0.079281,354.9,135.6,2016.5,287.1,2839.0,1107.3,473.9,1860.6,3062,144.7,71.7,13.1
0.081281,349.2,129.1,1958.5,279.5,2830.2,865.6,474.6,1862.7,3061.6,148.3,71.7,15.4
0.083281,345.3,123.0,1902.8,244.6,2828.0,650.9,475.3,1864.9,3061.2,152,71.6,17.2
0.085281,340.3,118.0,1874.4,217.0,2839.3,536.2,476,1867.1,3060.7,155.7,71.5,18
0.087281,331.8,111.9,1867.2,215.0,2858.6,504.6,476.8,1869.4,3060.3,159.5,71.4,18
0.089281,322.5,104.5,1858.0,233.1,2885.8,530.4,477.6,1871.8,3059.8,163.2,71.3,17.5
0.091281,319.1,100.6,1814.1,223.7,2908.0,500.0,478.3,1874.3,3059.4,166.8,71.3,16.6
0.093281,329.1,104.6,1765.7,166.2,2934.5,328.5,479.1,1876.8,3058.9,170.3,71.5,15.5
0.095281,357.5,113.6,1746.2,125.1,2959.5,202.5,479.9,1879.4,3058.4,173.8,72,14.2
0.097281,401.6,124.5,1748.8,104.0,2975.1,144.6,480.8,1882.1,3057.9,177,72.9,12.2
0.099281,448.1,132.7,1762.0,94.0,2986.3,125.0,481.6,1884.9,3057.3,180.2,74.2,9.9
0.101281,490.9,136.9,1778.8,89.8,2997.5,122.9,482.5,1887.7,3056.8,183.1,75.6,7.7
0.103281,530.2,133.6,1795.7,88.4,3010.0,127.5,483.3,1890.7,3056.2,185.9,77.1,6
0.105281,564.4,118.9,1809.3,87.2,3021.6,131.3,484.2,1893.7,3055.7,188.4,78.6,5.2
0.107281,593.4,95.7,1820.8,85.5,3030.0,131.9,485.1,1896.7,3055.1,190.8,80.1,5
0.109281,613.8,74.0,1832.0,83.9,3033.5,129.6,485.9,1899.9,3054.5,192.9,81.3,5.2
0.111281,626.1,59.1,1845.0,84.0,3033.5,127.2,486.8,1903.1,3053.9,194.8,82.4,5.8
0.113281,633.0,50.5,1859.9,85.8,3031.6,127.8,487.7,1906.4,3053.3,196.6,83.2,6.4
0.115281,636.7,46.3,1875.6,88.4,3028.9,131.3,488.6,1909.7,3052.6,198.1,83.9,7.1
0.117281,639.3,45.1,1892.3,91.1,3026.8,135.6,489.5,1913.2,3052,199.5,84.3,8
0.119281,641.3,46.7,1907.6,93.6,3027.0,137.8,490.4,1916.7,3051.3,200.7,84.5,9.1
0.121281,643.2,51.0,1920.9,96.5,3029.4,137.9,491.3,1920.3,3050.6,201.7,84.5,10.2
0.123281,645.7,58.0,1934.1,99.6,3032.7,137.5,492.3,1924,3050,202.6,84.4,11.3
0.125281,649.2,67.0,1948.4,101.0,3035.7,137.1,493.2,1927.7,3049.3,203.3,84.2,12.3
0.127281,654.4,79.1,1963.4,99.6,3038.7,136.3,494.1,1931.5,3048.5,204,84,13.4
0.129281,661.3,94.1,1975.3,96.6,3042.1,136.0,495,1935.4,3047.8,204.5,83.6,14.4
0.131281,669.7,112.0,1983.5,93.8,3045.9,137.5,495.9,1939.4,3047.1,204.9,83.3,15.4
0.133281,679.4,132.1,1989.9,92.1,3049.7,140.7,496.8,1943.4,3046.3,205.3,83,16.2
0.135281,689.6,152.2,1996.6,91.1,3052.1,145.3,497.7,1947.5,3045.6,205.6,82.7,16.7
0.137281,700.4,171.4,2004.0,90.2,3052.0,152.7,498.6,1951.7,3044.8,205.8,82.4,17
0.139281,710.0,185.4,2010.9,88.4,3047.8,163.4,499.5,1956,3044,206,82.3,17.1
0.141281,716.7,192.2,2016.7,84.7,3038.9,176.0,500.4,1960.3,3043.2,206.2,82.1,17.1
0.143281,719.5,194.1,2022.1,78.7,3027.1,186.1,501.3,1964.7,3042.4,206.3,82,17.1
0.145281,718.4,194.7,2027.8,71.8,3016.5,191.2,502.1,1969.1,3041.6,206.4,82,17.3
0.147281,714.1,195.8,2034.1,64.8,3010.4,192.9,503,1973.7,3040.8,206.5,82,17.5
0.149281,707.8,195.9,2040.2,59.2,3010.4,192.9,503.8,1978.3,3039.9,206.6,82.1,17.8
0.151281,700.7,193.0,2045.1,54.8,3014.3,190.7,504.7,1983,3039.1,206.7,82.1,18
0.153281,693.5,186.8,2048.2,50.8,3018.1,184.7,505.5,1987.7,3038.2,206.8,82.2,18.1
0.155281,686.2,178.9,2049.6,46.9,3019.4,177.1,506.3,1992.5,3037.3,206.9,82.3,18.1
0.157281,678.4,170.7,2050.7,43.0,3017.9,172.2,507.1,1997.4,3036.4,206.9,82.4,18
0.159281,670.6,163.3,2052.6,39.6,3014.4,174.4,507.9,2002.3,3035.5,207,82.5,17.8
0.161281,663.2,156.0,2055.8,37.2,3010.6,182.4,508.7,2007.3,3034.6,207.1,82.6,17.6
0.163281,656.6,146.4,2060.0,35.7,3008.2,191.1,509.5,2012.4,3033.7,207.2,82.8,17.4
0.165281,650.7,132.3,2064.4,34.8,3006.7,195.8,510.2,2017.5,3032.7,207.3,82.9,17.2
0.167281,644.4,114.4,2068.4,34.3,3003.2,196.0,510.9,2022.7,3031.8,207.4,83.1,17.1
0.169281,638.1,96.9,2071.4,34.1,2996.5,192.7,511.6,2028,3030.8,207.6,83.3,17
0.171281,632.2,82.3,2073.4,34.4,2988.6,187.3,512.3,2033.3,3029.9,207.7,83.4,16.9
0.173281,627.5,70.4,2075.1,35.2,2981.7,182.2,513,2038.7,3028.9,207.9,83.6,16.7
