time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025375,302.5,34.3,1569.5,326.4,2133.6,272.4,483.3,1607.1,2495.9,240.3,66.3,-13.4
0.027375,309.7,45.1,1556.4,356.8,2133.5,208.5,483.3,1607.2,2495.9,238.9,67.7,15.7
0.029375,318.0,59.6,1544.3,340.5,2135.6,178.3,483.3,1607.4,2496,237.3,68.8,22.4
0.031375,323.1,71.9,1528.8,298.5,2133.0,165.1,483.3,1607.6,2496.1,235.8,69.8,20.1
0.033375,325.0,81.6,1512.9,261.8,2126.0,163.8,483.2,1607.8,2496.2,234.1,70.5,13.5
0.035375,325.0,89.1,1502.2,243.1,2120.9,174.1,483.2,1608.2,2496.4,232.4,71,7.8
0.037375,324.3,95.3,1498.9,243.2,2126.1,195.3,483.2,1608.6,2496.6,230.7,71.4,6.7
0.039375,323.9,101.4,1503.9,258.7,2150.8,226.3,483.2,1609,2496.9,229,71.9,6.4
0.041375,325.5,103.7,1509.9,276.1,2182.1,246.5,483.2,1609.6,2497.1,227.2,72.4,6
0.043375,328.8,101.4,1503.3,283.8,2192.3,246.9,483.2,1610.1,2497.4,225.5,73,5.8
0.045375,331.5,100.2,1483.8,283.7,2182.3,242.2,483.1,1610.8,2497.8,223.7,73.7,5.8
0.047375,333.3,102.5,1461.8,280.6,2170.7,247.6,483.1,1611.5,2498.1,222,74.4,6.1
0.049375,335.5,107.7,1444.7,275.0,2166.0,269.7,483.1,1612.2,2498.5,220.3,74.9,7
0.051375,338.3,113.8,1438.2,268.0,2168.4,296.7,483.1,1613.1,2499,218.6,75.4,8.1
0.053375,340.1,119.4,1440.6,261.5,2171.3,309.1,483,1613.9,2499.4,217,75.7,9.2
0.055375,339.3,124.6,1450.4,257.6,2172.1,296.3,483,1614.9,2499.9,215.5,76,10.1
0.057375,337.6,131.3,1464.6,259.7,2174.1,271.4,483,1615.8,2500.4,214,76.2,10.8
0.059375,340.5,139.9,1477.2,275.4,2175.3,248.4,482.9,1616.9,2501,212.6,76.4,11.4
0.061375,353.7,146.3,1482.4,306.7,2170.8,239.2,482.9,1618,2501.6,211.2,76.6,11.9
0.063375,381.3,148.5,1487.5,347.1,2158.9,260.4,482.9,1619.1,2502.2,210,76.9,12.1
0.065375,421.6,148.0,1511.1,377.2,2143.5,348.8,482.8,1620.3,2502.8,208.8,77.3,11.9
0.067375,467.1,145.7,1559.8,360.2,2140.7,552.2,482.8,1621.6,2503.5,207.7,77.8,11.1
0.069375,513.4,138.6,1601.6,265.7,2204.2,893.7,482.8,1622.9,2504.2,206.7,78.4,9.2
0.071375,550.8,125.5,1611.8,179.6,2358.9,1201.6,482.8,1624.2,2504.9,205.7,79,6.7
0.073375,578.1,107.4,1613.8,125.5,2640.1,1397.5,482.7,1625.7,2505.7,204.9,79.8,4.5
0.075375,593.5,89.7,1616.5,95.4,2790.9,791.8,482.7,1627.1,2506.4,204.1,80.5,3.1
0.077375,600.4,77.3,1621.3,80.0,2776.2,644.9,482.7,1628.6,2507.3,203.4,81.1,3.2
0.079375,603.3,70.9,1628.0,72.0,2771.6,575.0,482.7,1630.2,2508.1,202.7,81.7,4.6
0.081375,604.3,70.4,1634.8,68.6,2771.4,539.0,482.7,1631.8,2509,202.2,82.1,6.9
0.083375,604.3,74.3,1641.6,67.8,2778.2,526.2,482.6,1633.4,2509.8,201.7,82.4,9.5
0.085375,604.1,81.5,1649.0,68.9,2789.6,530.6,482.6,1635.1,2510.8,201.2,82.5,12.1
0.087375,604.5,91.1,1657.9,71.4,2800.3,536.4,482.6,1636.8,2511.7,200.9,82.5,14.2
0.089375,605.8,102.4,1668.7,75.1,2813.1,540.6,482.6,1638.6,2512.7,200.5,82.4,16.5
0.091375,607.4,112.5,1679.4,79.0,2833.2,536.6,482.6,1640.4,2513.7,200.2,82.3,18.9
0.093375,609.0,120.1,1689.2,82.7,2865.0,511.1,482.6,1642.2,2514.7,200,82.2,21
0.095375,610.3,123.8,1697.0,85.4,2897.0,461.1,482.6,1644.1,2515.7,199.8,82.2,22.6
0.097375,611.4,124.5,1703.0,86.2,2910.7,407.4,482.7,1646,2516.8,199.7,82.1,23.6
0.099375,612.8,125.1,1708.8,84.7,2904.2,363.3,482.7,1648,2517.9,199.6,82.1,23.7
0.101375,614.1,126.2,1713.9,81.9,2889.1,331.3,482.7,1650,2519,199.5,82,23.4
0.103375,614.7,126.7,1718.5,79.1,2874.8,313.1,482.8,1652,2520.1,199.4,82.1,22.8
0.105375,614.5,124.8,1722.2,76.8,2863.1,312.8,482.8,1654,2521.2,199.4,82.1,22.5
0.107375,613.6,120.8,1725.7,74.5,2852.6,324.3,482.9,1656.1,2522.4,199.4,82.1,22.5
0.109375,611.9,114.7,1730.0,71.7,2841.3,341.0,482.9,1658.2,2523.6,199.4,82.2,22.9
0.111375,609.3,107.1,1734.9,68.8,2829.7,359.4,483,1660.3,2524.8,199.4,82.3,23.3
0.113375,605.7,98.0,1740.2,65.8,2816.4,381.5,483.1,1662.5,2526.1,199.5,82.4,23.7
0.115375,602.0,89.1,1744.4,62.9,2801.9,405.2,483.2,1664.7,2527.3,199.5,82.5,24.1
0.117375,599.1,82.0,1747.1,60.3,2789.8,425.5,483.3,1666.9,2528.6,199.6,82.6,24.3
0.119375,597.2,76.4,1748.8,58.1,2783.4,441.5,483.4,1669.1,2529.9,199.7,82.7,24.6
0.121375,596.5,71.9,1750.2,56.7,2783.8,451.5,483.5,1671.3,2531.2,199.8,82.8,24.8
0.123375,596.4,67.2,1752.3,56.0,2785.7,459.6,483.6,1673.6,2532.5,199.9,83,24.9
0.125375,596.1,61.6,1755.0,56.0,2781.5,473.1,483.8,1675.9,2533.8,200.1,83.2,24.6
0.127375,595.0,55.5,1758.0,56.6,2768.1,495.8,483.9,1678.2,2535.2,200.2,83.3,23.8
0.129375,593.0,49.1,1762.2,57.9,2746.4,527.1,484.1,1680.5,2536.6,200.4,83.5,22.4
0.131375,590.4,43.4,1767.6,59.7,2723.8,560.8,484.3,1682.8,2538,200.6,83.6,20.7
0.133375,587.2,38.4,1773.9,62.1,2698.5,600.5,484.5,1685.1,2539.4,200.8,83.7,18.9
0.135375,583.8,34.9,1778.4,65.6,2663.5,647.3,484.7,1687.4,2540.8,201,83.7,17.3
0.137375,580.6,33.4,1779.2,70.9,2615.4,699.4,484.9,1689.8,2542.2,201.2,83.6,16
0.139375,576.9,34.0,1776.6,78.8,2549.9,758.5,485.1,1692.1,2543.6,201.4,83.4,15
0.141375,572.3,36.7,1772.4,88.2,2478.0,811.7,485.4,1694.5,2545.1,201.7,83,14.1
0.143375,565.2,42.8,1769.2,99.4,2417.2,872.0,485.7,1696.8,2546.6,202,82.6,13.3
0.145375,553.7,54.8,1769.2,111.5,2388.6,973.1,485.9,1699.2,2548,202.3,82,12.5
0.147375,536.2,75.0,1773.6,122.5,2401.0,1154.5,486.2,1701.5,2549.5,202.6,81.4,11.8
0.149375,508.6,107.4,1783.3,130.6,2483.5,1496.9,486.6,1703.9,2551,203,80.9,10.9
0.151375,472.7,141.5,1795.4,135.0,2678.2,2070.3,486.9,1706.2,2552.5,203.3,80.5,10.1
0.153375,434.4,152.8,1808.1,139.8,2775.1,673.1,487.2,1708.6,2554,203.7,80.3,9.5
0.155375,411.1,132.6,1819.7,148.5,2753.2,658.8,487.6,1710.9,2555.6,204.1,80.4,9.3
0.157375,405.5,109.5,1829.5,161.0,2811.1,583.2,488,1713.2,2557.1,204.6,80.7,9.7
0.159375,409.0,95.4,1836.3,178.6,2892.3,450.1,488.4,1715.5,2558.6,205,81,10.7
0.161375,416.1,90.7,1840.8,196.3,2948.1,340.8,488.8,1717.8,2560.2,205.5,81.3,12.1
0.163375,425.6,92.2,1847.1,201.2,2979.7,272.7,489.2,1720.1,2561.8,206,81.6,13.8
0.165375,435.4,96.1,1852.6,185.6,2986.6,242.6,489.7,1722.4,2563.3,206.4,81.8,15.4
0.167375,442.8,99.3,1851.4,163.1,2973.8,239.3,490.2,1724.6,2564.9,207,82,16.8
0.169375,446.0,101.4,1842.5,144.5,2948.1,260.1,490.6,1726.9,2566.5,207.5,82,18.3
0.171375,442.9,101.9,1830.0,137.7,2918.8,314.1,491.2,1729.1,2568,208,82.1,19.8
0.173375,433.2,98.1,1815.1,145.3,2887.6,424.1,491.7,1731.3,2569.6,208.5,82.1,21.3
0.175375,421.4,88.1,1797.4,163.5,2856.6,579.4,492.2,1733.5,2571.2,209,82.1,22.5
0.177375,412.8,77.6,1778.4,176.5,2830.1,687.1,492.8,1735.7,2572.8,209.5,82.1,23.5
0.179375,408.2,71.3,1763.7,172.7,2819.2,660.6,493.4,1737.8,2574.4,210.1,82.1,24.5
0.181375,407.1,70.0,1759.9,160.0,2823.9,555.1,494,1739.9,2576,210.6,82,25.3
0.183375,408.5,72.0,1763.7,148.4,2827.1,463.5,494.6,1742,2577.6,211.1,82,25.7
0.185375,412.7,77.1,1768.7,136.7,2818.2,415.7,495.3,1744.1,2579.2,211.6,82,25.4
0.187375,421.5,85.7,1772.8,120.0,2795.7,403.8,495.9,1746.1,2580.8,212.1,82.1,23.9
0.189375,436.5,97.4,1778.2,100.0,2752.8,429.1,496.6,1748.1,2582.4,212.5,82.2,20.9
0.191375,451.9,104.6,1782.3,89.3,2685.2,500.6,497.3,1750.1,2584,213,82.4,17.1
0.193375,463.2,102.9,1780.2,91.6,2590.3,629.1,498,1752,2585.6,213.4,82.6,13.3
0.195375,470.7,96.3,1770.1,103.1,2465.2,811.0,498.8,1753.9,2587.2,213.9,82.9,10.2
0.197375,477.2,91.2,1755.8,116.3,2290.3,892.7,499.5,1755.8,2588.8,214.3,83.1,8.6
0.199375,484.7,89.9,1740.2,127.6,2190.1,799.4,500.3,1757.6,2590.4,214.7,83.2,7.8
0.201375,493.2,91.9,1727.9,134.9,2166.7,714.2,501.1,1759.4,2592,215.1,83.3,7.7
0.203375,503.0,94.7,1719.2,139.9,2166.3,649.5,502,1761.2,2593.6,215.5,83.4,8.2
0.205375,513.5,96.5,1715.2,143.1,2170.2,623.7,502.8,1762.9,2595.1,215.8,83.4,9
0.207375,522.9,96.6,1714.5,145.0,2174.7,642.2,503.7,1764.6,2596.7,216.2,83.3,10.1
0.209375,531.0,94.9,1714.6,146.8,2180.0,694.2,504.5,1766.3,2598.3,216.6,83.3,12
0.211375,537.3,91.8,1713.7,149.0,2186.7,750.4,505.4,1767.9,2599.9,216.9,83.3,14.3
0.213375,543.4,87.8,1711.5,151.5,2200.9,792.2,506.3,1769.5,2601.5,217.3,83.3,16.7
0.215375,549.8,84.0,1709.2,152.3,2228.0,813.5,507.3,1771,2603.1,217.7,83.4,18.7
0.217375,556.1,80.3,1707.8,151.3,2263.9,817.3,508.2,1772.5,2604.6,218,83.4,19.9
0.219375,562.8,76.7,1707.0,150.5,2303.8,805.3,509.2,1773.9,2606.2,218.4,83.5,20.6
0.221375,568.8,73.9,1705.9,152.9,2336.1,779.2,510.2,1775.3,2607.8,218.7,83.5,21
0.223375,574.3,71.5,1702.7,160.5,2348.3,742.2,511.2,1776.7,2609.3,219.1,83.5,21.2
0.225375,578.6,69.0,1695.1,172.7,2331.2,699.2,512.2,1778,2610.9,219.5,83.5,21.3
