time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025922,330.8,75.1,1758.5,594.7,2116.1,215.3,462,1714.1,2264.2,117.1,67,-200
0.027922,332.3,76.7,1761.3,608.6,2117.0,194.3,462,1714.4,2264.5,116.9,67.3,-200
0.029922,330.4,75.7,1755.7,731.5,2110.2,183.5,462.1,1714.8,2265,116.7,67.1,-169
0.031922,324.5,73.2,1694.6,985.3,2102.6,174.4,462.1,1715.3,2265.7,116.6,66.9,-123.3
0.033922,316.8,70.1,1562.6,1035.2,2106.5,181.7,462.2,1716,2266.7,116.4,66.8,-72.8
0.035922,317.5,65.4,1571.5,861.6,2115.5,243.0,462.3,1716.9,2267.9,116.3,67.1,-27
0.037922,332.6,63.9,1686.6,732.7,2126.2,338.6,462.5,1717.9,2269.2,116.3,68,4.1
0.039922,347.9,66.3,1746.9,547.8,2160.0,364.2,462.6,1719.1,2270.8,116.3,69.1,17.4
0.041922,358.6,68.1,1754.5,484.0,2170.3,345.8,462.8,1720.4,2272.6,116.4,70.2,19.4
0.043922,363.6,68.9,1762.3,517.1,2157.2,361.0,463,1721.8,2274.6,116.6,71.2,15
0.045922,362.6,70.3,1771.3,615.8,2122.6,408.5,463.2,1723.5,2276.7,116.9,71.9,8.8
0.047922,356.1,72.4,1750.4,682.5,2086.2,449.5,463.4,1725.2,2279.1,117.4,72.6,5.9
0.049922,349.5,73.5,1706.9,641.8,2076.5,466.4,463.6,1727.2,2281.7,118,73.2,6.2
0.051922,347.4,74.4,1681.8,603.0,2078.5,468.0,463.9,1729.2,2284.5,118.7,73.7,6.5
0.053922,348.5,77.2,1677.4,619.0,2081.0,467.1,464.2,1731.4,2287.5,119.6,74.2,6.8
0.055922,351.9,83.0,1689.1,688.3,2091.7,445.1,464.5,1733.8,2290.7,120.7,74.7,7
0.057922,359.1,87.5,1708.8,735.0,2120.6,387.6,464.8,1736.3,2294.1,122,75.1,7.1
0.059922,365.7,84.7,1693.8,696.1,2146.2,327.6,465.1,1738.9,2297.6,123.4,75.5,7.2
0.061922,367.1,77.2,1632.5,623.4,2150.4,293.7,465.5,1741.7,2301.4,125,75.7,7.2
0.063922,365.1,71.7,1566.9,499.9,2138.3,267.5,465.8,1744.6,2305.3,126.9,75.9,7.2
0.065922,362.2,75.2,1540.4,359.2,2127.5,213.6,466.2,1747.6,2309.4,128.9,76,7
0.067922,359.8,88.9,1543.0,284.6,2127.6,162.5,466.6,1750.8,2313.7,131,76.2,6.6
0.069922,359.9,96.0,1548.4,261.4,2128.9,133.6,467.1,1754.1,2318.2,133.4,76.3,5.9
0.071922,362.6,91.9,1549.3,255.5,2127.8,119.1,467.5,1757.5,2322.9,135.8,76.5,4.9
0.073922,369.3,88.2,1542.2,253.6,2122.4,114.7,468,1761,2327.7,138.5,76.8,3.8
