time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025391,289.6,50.8,1619.3,142.2,2308.0,801.6,434.4,1576.9,2194.3,81.6,64.8,-30.8
0.027391,289.2,50.9,1620.9,112.7,2296.1,755.2,434.5,1576.9,2194.6,82,66.8,11.5
0.029391,287.4,50.0,1622.5,103.4,2249.4,711.3,434.5,1577.1,2195.2,82.4,68.4,25
0.031391,285.2,49.3,1624.1,104.0,2205.2,645.7,434.7,1577.2,2196,82.9,69.6,26.6
0.033391,282.6,49.5,1627.5,111.5,2192.3,607.0,434.8,1577.5,2197,83.6,70.5,21.5
0.035391,280.7,52.0,1634.5,125.4,2217.2,612.7,435,1577.7,2198.2,84.3,71.2,14.9
0.037391,283.7,61.1,1640.3,146.3,2261.6,595.3,435.3,1578.1,2199.7,85.1,71.8,12.1
0.039391,293.4,75.2,1635.0,181.3,2283.0,524.8,435.5,1578.4,2201.3,86.1,72.4,13.3
0.041391,301.4,84.5,1618.5,236.4,2281.3,463.0,435.8,1578.9,2203.2,87.3,73,15
0.043391,302.1,86.1,1601.3,325.6,2276.7,446.4,436.2,1579.3,2205.3,88.6,73.4,16.9
0.045391,297.9,80.8,1592.3,479.7,2264.8,482.8,436.5,1579.9,2207.6,90,73.7,18.5
0.047391,292.6,72.9,1249.7,5459.8,1597.7,704.6,436.9,1580.4,2210.2,91.7,74,19.4
0.049391,288.0,65.8,1599.1,764.5,2147.6,564.2,437.4,1581.1,2212.9,93.6,74.2,19.7
0.051391,286.4,61.3,1575.3,615.6,2118.6,467.4,437.9,1581.7,2215.9,95.6,74.4,19.6
0.053391,289.8,63.2,1536.6,544.3,2106.6,402.3,438.4,1582.5,2219.1,97.9,74.6,19.1
0.055391,294.7,68.4,1488.2,539.8,2099.9,383.3,438.9,1583.2,2222.4,100.4,74.9,18.3
0.057391,297.8,72.6,1442.2,547.7,2099.4,391.7,439.5,1584,2226,103,75.1,17.2
0.059391,298.7,75.1,1424.8,565.7,2102.5,424.9,440.1,1584.9,2229.8,105.9,75.3,15.5
0.061391,297.6,76.3,1472.7,612.6,2101.7,477.8,440.8,1585.8,2233.8,109,75.4,13.2
0.063391,296.5,74.2,1594.4,618.3,2111.0,549.4,441.4,1586.7,2238,112.3,75.5,10.8
0.065391,298.5,73.2,1680.9,537.4,2157.9,606.4,442.2,1587.7,2242.3,115.8,75.5,8.5
0.067391,304.2,79.1,1698.9,512.8,2199.0,623.4,442.9,1588.8,2246.9,0,75.6,6.7
0.069391,310.9,88.8,1683.0,527.1,2229.4,636.7,443.7,1589.9,2251.7,0,75.6,5.7
0.071391,317.2,99.1,1645.0,521.9,2264.6,641.3,444.5,1591,2256.6,0,75.6,5
0.073391,322.4,109.8,1601.0,471.1,2289.6,614.5,445.4,1592.1,2261.7,0,75.7,4.6
0.075391,324.1,119.0,1566.6,409.1,2276.1,563.9,446.3,1593.4,2267,0,75.8,4.3
0.077391,322.3,119.5,1544.7,369.5,2252.9,523.6,447.2,1594.6,2272.5,0,76.1,3.9
0.079391,322.6,117.1,1535.6,349.7,2247.9,494.5,448.2,1595.9,2278.2,0,76.5,3.5
0.081391,330.0,126.2,1534.7,343.8,2246.4,470.1,449.1,1597.2,2284,0,76.9,3.1
0.083391,354.2,158.4,1545.2,351.4,2228.0,437.3,450.2,1598.6,2289.9,0,77.2,2.8
0.085391,409.2,193.0,1563.3,349.1,2194.6,375.2,451.2,1600,2296.1,0,77.5,2.5
0.087391,470.7,165.6,1566.9,329.6,2165.3,317.4,452.3,1601.4,2302.4,0,77.8,2.2
0.089391,508.2,115.5,1557.3,323.9,2144.0,306.1,453.4,1602.9,2308.8,0,78.1,1.8
0.091391,532.7,81.5,1544.4,347.2,2123.0,361.0,454.6,1604.4,2315.4,167.2,78.4,1.2
0.093391,555.5,62.4,1536.8,389.4,2082.0,490.7,455.8,1606,2322.2,170.8,78.8,0.8
0.095391,578.8,52.9,1552.4,411.3,2012.4,673.4,457,1607.6,2329,174.2,79.2,0.7
0.097391,598.9,48.2,1576.6,364.4,1956.1,863.5,458.3,1609.2,2336,177.5,79.6,1.1
0.099391,612.0,45.5,1578.5,297.0,1945.0,956.6,459.5,1610.9,2343.2,180.5,80,2.3
