time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025719,546.9,18.8,2386.6,156.6,2911.6,147.4,463.9,1955.6,2593,0,71.2,6
0.027719,543.5,28.5,2374.1,94.3,2901.8,95.3,463.9,1955.7,2593,0,71.3,5.5
0.029719,546.8,44.0,2366.5,72.2,2899.6,74.6,463.9,1955.9,2593,0,71.6,4.5
0.031719,551.5,48.5,2361.6,61.8,2902.2,65.2,463.9,1956.2,2593.1,0,72.2,3.4
0.033719,553.1,44.8,2357.4,55.9,2907.1,60.3,463.9,1956.5,2593.2,0,72.8,2.4
0.035719,553.3,40.8,2353.9,53.4,2914.0,58.3,463.8,1957,2593.2,0,73.5,1.7
0.037719,554.4,39.1,2351.7,56.0,2921.7,60.5,463.8,1957.5,2593.4,0,74.2,1.5
0.039719,556.8,36.0,2351.2,70.0,2928.8,71.0,463.8,1958.1,2593.5,0,74.9,1.6
0.041719,557.1,31.1,2353.7,95.8,2932.9,91.8,463.7,1958.8,2593.6,189.6,75.5,1.9
0.043719,554.7,28.0,2356.8,106.1,2938.2,116.1,463.7,1959.6,2593.8,189.9,76,2.5
0.045719,551.4,27.4,2356.4,95.2,2945.0,137.5,463.6,1960.4,2594,190.2,76.4,3.3
0.047719,549.8,30.1,2355.7,88.3,2943.5,149.0,463.6,1961.3,2594.1,190.5,76.6,4.3
0.049719,551.6,36.3,2356.7,89.0,2931.7,146.2,463.5,1962.3,2594.3,190.8,76.8,5.8
0.051719,555.6,42.3,2357.6,92.0,2915.8,135.2,463.5,1963.4,2594.6,191.2,77,7.6
0.053719,558.8,44.1,2356.4,93.2,2898.7,123.0,463.4,1964.5,2594.8,191.5,77.1,9.4
0.055719,559.5,42.2,2353.1,92.0,2882.2,112.8,463.3,1965.7,2595.1,191.8,77.3,10.9
0.057719,558.8,41.0,2349.4,91.1,2871.9,108.8,463.3,1967,2595.3,192.1,77.4,12
0.059719,558.1,42.7,2346.4,94.1,2870.2,112.9,463.2,1968.3,2595.6,192.4,77.6,12.7
0.061719,558.2,46.2,2343.3,102.3,2876.3,123.8,463.1,1969.8,2595.9,192.7,77.7,13.1
0.063719,558.3,49.7,2338.8,116.5,2885.0,137.5,463,1971.2,2596.2,193,77.9,13.5
0.065719,557.2,52.3,2332.3,140.6,2888.6,152.3,463,1972.8,2596.5,193.3,78,13.8
0.067719,554.6,54.7,2323.8,176.2,2880.6,166.9,462.9,1974.4,2596.9,193.6,78.1,14.2
0.069719,551.0,58.0,2305.2,220.9,2860.4,177.2,462.8,1976.1,2597.2,193.9,78.1,14.6
0.071719,547.1,62.4,2270.1,254.5,2837.5,177.4,462.7,1977.9,2597.6,194.2,78.1,14.9
0.073719,542.7,67.7,2224.4,273.7,2820.1,179.0,462.6,1979.7,2598,194.5,78,15.1
0.075719,536.4,73.9,2173.8,295.6,2809.7,198.7,462.5,1981.5,2598.3,194.8,77.9,15.2
0.077719,527.5,80.1,2119.8,333.6,2806.3,247.9,462.4,1983.5,2598.7,195.1,77.8,15
0.079719,514.6,86.8,2052.1,394.5,2808.9,348.7,462.3,1985.4,2599.2,195.3,77.6,14.5
