time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025813,405.2,29.0,2270.6,993.9,3707.4,600.2,450.3,1756,2830.5,0,56.9,-200.9
0.027813,393.3,39.7,2362.8,1172.0,3776.7,615.9,450.4,1756.2,2830.5,0,58.1,-206.5
0.029813,365.1,62.8,2432.6,1246.7,3834.8,626.7,450.5,1756.6,2830.6,124.1,59.8,-213
0.031813,334.8,81.3,2405.6,1240.5,3844.8,649.6,450.6,1757.2,2830.7,125.6,61.6,-215.2
0.033813,327.1,89.4,2335.2,1180.7,3786.2,669.1,450.8,1757.9,2830.9,127.1,63.4,-208.4
0.035813,335.1,83.8,2282.9,1197.2,3704.4,636.2,451,1758.8,2831.1,128.8,65,-186.7
0.037813,348.0,70.9,2238.8,1403.0,3660.4,602.5,451.2,1759.8,2831.3,130.6,66.5,-146.3
0.039813,360.1,62.6,2196.3,1868.5,3660.4,619.3,451.5,1761,2831.5,132.6,67.6,-96
0.041813,369.6,59.5,2247.2,2693.3,3693.9,686.2,451.8,1762.3,2831.8,134.6,68.5,-45.8
0.043813,376.1,59.6,2797.8,2837.9,3764.1,808.7,452.2,1763.8,2832.1,136.8,69.3,-5.8
0.045813,380.0,63.7,2868.7,1851.8,3919.1,907.6,452.6,1765.5,2832.4,139,70,15.2
0.047813,382.1,77.5,2772.3,1262.4,4075.1,789.0,453.1,1767.3,2832.8,141.4,70.7,20.7
0.049813,195.8,969.5,384.2,100.1,2691.9,1025.8,453.5,1769.2,2833.2,0,71.4,16.8
0.051813,318.3,810.2,387.7,116.4,2593.3,993.1,454.1,1771.3,2833.6,0,72.1,8.9
0.053813,343.4,805.3,389.6,115.0,2469.2,1041.2,454.6,1773.6,2834.1,0,72.7,2.3
0.055813,361.8,875.9,387.3,106.6,2358.8,1063.1,455.2,1775.9,2834.6,0,73.1,1.2
0.057813,381.7,99.3,418.1,1016.0,2288.8,1092.3,455.8,1778.5,2835.1,0,73.3,1.8
0.059813,377.5,94.2,577.6,1348.0,2191.7,1161.1,456.5,1781.2,2835.6,0,73.3,3
0.061813,385.8,95.7,1138.3,2329.8,1998.0,1548.2,457.2,1784,2836.2,0,73.4,4.2
0.063813,414.6,106.9,1600.0,636.4,2798.3,992.9,457.9,1786.9,2836.8,0,73.6,5.1
0.065813,454.7,121.3,1618.4,344.8,2767.2,513.3,458.7,1790,2837.4,163,74,5.4
0.067813,498.3,127.0,1633.1,238.9,2748.5,364.2,459.5,1793.3,2838,165.1,74.7,5
0.069813,534.4,112.7,1642.2,191.9,2741.8,320.2,460.3,1796.6,2838.7,167.2,75.6,4.2
0.071813,560.1,87.9,1647.0,158.8,2736.8,316.5,461.2,1800.1,2839.4,169.1,76.5,3.5
0.073813,574.4,70.9,1650.2,131.5,2733.2,325.6,462.1,1803.7,2840.1,171,77.3,3.2
0.075813,580.5,63.4,1653.3,110.4,2416.0,5738.0,463,1807.4,2840.9,172.6,78,3.4
0.077813,582.0,61.9,1656.7,93.5,2525.6,5113.0,464,1811.3,2841.6,174.2,78.6,4
0.079813,581.0,64.7,1661.0,79.5,2486.7,5537.3,465,1815.3,2842.4,175.6,79,4.9
0.081813,578.8,71.0,1667.3,68.5,2337.7,6958.9,466,1819.3,2843.2,176.9,79.3,6.1
0.083813,577.8,78.8,1425.9,10772.1,1675.9,62.3,467.1,1823.5,2844,178.1,79.4,7.4
0.085813,579.8,84.5,1686.4,60.2,2755.7,213.7,468.1,1827.8,2844.9,179.2,79.5,8.8
0.087813,583.6,85.9,1696.6,60.1,2750.0,218.0,469.3,1832.2,2845.8,180.1,79.5,10.7
0.089813,587.1,85.1,1704.2,60.8,2739.2,219.2,470.4,1836.7,2846.6,181,79.6,12.7
0.091813,589.3,85.1,1709.0,62.6,2727.2,213.0,471.6,1841.3,2847.5,181.7,79.6,14.7
0.093813,590.6,87.1,1713.1,66.3,2718.5,203.2,472.8,1846,2848.4,182.3,79.6,16.3
0.095813,591.8,90.4,1718.3,72.2,2716.4,196.7,474,1850.8,2849.4,182.9,79.6,17.3
0.097813,593.3,94.4,1725.6,81.1,2720.0,196.3,475.3,1855.7,2850.3,183.4,79.6,17.7
0.099813,594.7,97.9,1734.7,92.4,2725.0,202.4,476.5,1860.7,2851.3,183.8,79.6,17.7
0.101813,595.7,100.1,1745.8,105.8,2726.7,216.5,477.8,1865.7,2852.2,184.2,79.6,17.6
0.103813,595.9,100.8,1758.3,118.1,2723.5,235.6,479.2,1870.8,2853.2,184.5,79.7,17.5
0.105813,596.2,100.8,1772.3,126.0,2717.5,252.2,480.5,1876,2854.2,184.8,79.7,17.7
0.107813,597.0,100.5,1787.4,128.5,2711.4,261.3,481.9,1881.2,2855.2,185.1,79.8,18
0.109813,597.9,99.3,1802.3,127.2,2706.5,262.6,483.3,1886.6,2856.2,185.3,79.9,18.3
0.111813,598.7,96.4,1816.4,124.5,2702.3,259.1,484.7,1891.9,2857.2,185.5,80.1,18.7
0.113813,598.8,91.8,1831.4,121.7,2697.3,254.1,486.2,1897.4,2858.2,185.7,80.2,19.1
0.115813,598.3,86.2,1846.8,118.8,2689.8,249.3,487.6,1902.8,2859.2,185.9,80.3,19.5
0.117813,597.0,80.4,1861.1,116.2,2679.4,245.9,489.1,1908.4,2860.2,186.1,80.5,20
0.119813,595.1,74.4,1874.0,114.5,2667.5,242.6,490.6,1913.9,2861.2,186.2,80.6,20.5
0.121813,592.6,68.2,1886.0,114.7,2657.9,237.9,492.1,1919.5,2862.2,186.4,80.7,20.9
0.123813,589.5,61.2,1899.6,118.0,2651.5,232.0,493.6,1925.2,2863.3,186.6,80.8,21.2
0.125813,586.1,54.5,1916.1,124.5,2648.8,228.0,495.2,1930.9,2864.3,186.8,80.9,21.3
0.127813,583.0,49.1,1934.8,131.8,2648.0,229.4,496.7,1936.6,2865.3,186.9,81.1,21.1
0.129813,580.4,45.1,1952.9,138.1,2645.7,240.8,498.3,1942.3,2866.3,187.1,81.2,20.8
0.131812,578.2,41.8,1969.9,143.3,2642.1,262.2,499.9,1948,2867.3,187.3,81.3,20.5
0.133813,576.5,39.0,1990.5,145.4,2644.8,286.8,501.5,1953.7,2868.3,187.5,81.5,20.1
0.135813,574.8,36.7,2014.9,141.2,2660.2,304.0,503.1,1959.5,2869.3,187.8,81.6,19.7
0.137813,572.9,34.2,2038.0,132.6,2683.1,312.2,504.7,1965.3,2870.3,188,81.7,19.5
0.139813,570.3,31.3,2055.0,124.6,2701.7,317.1,506.4,1971,2871.3,188.2,81.7,19.2
0.141813,567.1,28.2,2066.4,117.6,2711.0,319.3,508,1976.8,2872.2,188.5,81.8,18.8
0.143813,564.0,25.5,2073.0,111.5,2710.7,313.7,509.7,1982.5,2873.2,188.8,81.9,18.3
0.145813,561.0,23.3,2077.0,106.4,2705.6,299.9,511.3,1988.2,2874.1,189.1,81.9,17.6
0.147813,558.2,21.6,2080.0,101.0,2701.2,279.4,513,1993.9,2875,189.4,82,16.6
0.149813,555.6,20.4,2083.3,93.8,2703.0,254.5,514.7,1999.6,2876,189.7,82,15.4
0.151813,553.3,20.0,2088.0,85.8,2714.8,229.1,516.4,2005.3,2876.9,190,81.9,14.2
0.153813,551.5,20.7,2096.3,78.3,2740.4,200.7,518,2010.9,2877.7,190.4,81.7,13.1
0.155813,550.3,22.3,2108.9,72.9,2774.8,168.5,519.7,2016.5,2878.6,190.8,81.4,12.2
