time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025172,399.7,52.5,2287.9,957.1,4044.4,824.4,474,1532.6,2681.3,206.8,72.8,-31.9
0.027172,396.7,44.2,2174.1,556.8,4077.8,737.7,474,1532.7,2681.4,206.6,73.8,10.1
0.029172,393.4,39.8,2131.4,308.1,4092.6,710.4,474.1,1532.8,2681.7,206.4,74.6,24
0.031172,391.5,39.1,2121.2,188.2,4113.9,719.5,474.2,1533,2682.1,206.2,75.2,26.2
0.033172,391.3,42.7,2122.4,133.5,4128.7,744.7,474.4,1533.3,2682.5,206,75.6,21.9
0.035172,390.6,53.7,2127.0,112.6,4112.5,797.8,474.6,1533.6,2683.1,205.8,76,16
0.037172,383.4,75.5,2130.9,113.6,4058.0,873.4,474.8,1533.9,2683.8,205.7,76.3,13.5
0.039172,364.6,87.5,510.5,954.8,2130.7,132.3,475,1534.3,2684.6,205.5,76.6,14.6
0.041172,352.7,75.0,700.8,804.2,2125.1,163.3,475.3,1534.8,2685.5,205.3,76.7,15.9
0.043172,351.6,63.6,822.8,737.4,2116.2,198.1,475.6,1535.3,2686.5,205.2,76.9,17.2
0.045172,354.8,56.1,915.0,691.2,2110.7,228.2,476,1535.9,2687.6,205,77,18.5
0.047172,358.6,50.4,985.7,629.9,2114.6,245.6,476.4,1536.6,2688.8,204.9,77,19.6
0.049172,361.0,46.0,1032.7,552.5,2125.5,244.5,476.8,1537.2,2690.1,204.8,77.2,20.5
0.051172,361.4,43.0,1058.9,480.2,2136.6,229.5,477.3,1538,2691.5,204.7,77.3,21.3
0.053172,360.3,41.8,1073.7,428.1,2145.4,211.6,477.7,1538.8,2693,204.6,77.5,22
0.055172,358.9,42.2,1086.1,401.9,2154.4,196.7,478.3,1539.6,2694.6,204.5,77.6,22.7
0.057172,358.3,44.5,1101.5,401.3,2164.5,184.6,478.8,1540.5,2696.3,204.4,77.8,23.5
