time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025359,595.9,143.3,1069.1,350.2,1999.2,672.3,574.7,1486.7,2503.2,280.8,64,-169.3
0.027359,598.6,150.2,1111.2,383.2,2124.5,832.8,574.7,1486.7,2503.1,280,63.9,-124.1
0.029359,605.7,192.1,1277.6,443.1,2502.9,1065.6,574.6,1486.6,2503,279.2,65,-74.1
0.031359,566.6,208.1,1395.7,311.6,2710.5,735.2,574.4,1486.5,2502.8,278.3,67.1,-28.8
0.033359,546.4,140.3,1430.9,271.6,2758.4,602.4,574.3,1486.4,2502.5,277.4,69.7,1.9
0.035359,550.7,97.6,1421.5,314.5,2766.5,591.3,574.1,1486.3,2502.2,276.5,72.1,14.9
0.037359,552.6,80.6,1368.2,372.5,2758.5,572.5,573.8,1486.1,2501.9,275.6,74.2,16.5
0.039359,551.5,70.0,1310.8,333.6,2744.9,461.3,573.6,1485.9,2501.5,274.7,76.1,11.7
0.041359,549.6,60.6,1286.7,257.4,2736.8,340.3,573.3,1485.7,2501.1,273.9,77.6,5.4
0.043359,548.7,53.2,1278.3,203.5,2730.1,260.0,572.9,1485.5,2500.5,273,78.9,2.6
0.045359,549.6,46.6,1274.4,161.8,2723.2,213.1,572.6,1485.3,2500,272.3,80,3.3
0.047359,551.6,41.4,1275.8,118.8,2718.7,183.4,572.2,1485,2499.4,271.5,80.9,4.3
0.049359,552.8,39.5,1282.3,84.0,2720.9,168.8,571.7,1484.7,2498.8,270.8,81.5,5.3
0.051359,553.2,41.4,1290.4,61.9,2728.2,164.5,571.2,1484.4,2498.1,270.2,82,6.4
0.053359,555.7,47.3,1297.9,50.3,2734.8,164.6,570.7,1484.1,2497.3,269.6,82.2,7.6
0.055359,562.7,56.9,1303.8,45.9,2735.9,166.3,570.2,1483.8,2496.5,269.1,82.3,8.8
0.057359,575.1,70.6,1309.4,46.8,2731.6,171.3,569.6,1483.4,2495.7,268.7,82.3,10.1
0.059359,590.6,88.4,1316.4,53.2,2723.8,182.7,569,1483,2494.8,268.4,82.1,11.5
0.061359,609.0,111.0,1328.1,65.8,2713.7,200.8,568.4,1482.7,2493.9,268.1,81.8,12.7
0.063359,631.5,135.5,1349.8,85.4,2701.1,221.0,567.7,1482.3,2493,267.9,81.5,13.6
0.065359,654.4,152.6,1384.6,107.3,2687.4,235.8,567,1481.9,2492,267.8,81.2,14.2
0.067359,672.2,157.8,1433.3,122.8,2672.0,238.1,566.2,1481.5,2490.9,267.8,80.9,14.5
0.069359,679.1,156.5,1481.5,124.1,2655.2,223.4,565.5,1481.1,2489.9,267.9,80.7,14.7
0.071359,678.0,157.7,1519.1,115.7,2638.7,199.0,564.7,1480.6,2488.8,268.1,80.6,14.9
0.073359,673.1,162.8,1544.9,102.6,2626.0,175.7,563.9,1480.2,2487.6,268.3,80.5,15.1
0.075359,667.8,168.1,1561.0,87.3,2618.5,158.2,563,1479.8,2486.5,268.6,80.6,15.5
0.077359,663.0,170.7,1572.8,70.7,2614.6,143.6,562.1,1479.4,2485.3,269,80.7,16
0.079359,659.3,169.5,1582.9,55.7,2613.4,131.2,561.2,1479,2484.1,269.4,80.9,16.4
0.081359,657.0,164.6,1592.7,44.0,2613.8,120.4,560.3,1478.5,2482.8,269.9,81.1,16.8
0.083359,655.3,156.6,1602.6,36.5,2615.8,111.9,559.3,1478.1,2481.6,270.5,81.3,16.9
0.085359,652.6,148.4,1611.8,33.5,2620.2,106.9,558.3,1477.7,2480.3,271.1,81.5,16.8
0.087359,647.2,142.1,1621.1,34.3,2627.1,105.9,557.3,1477.3,2479,271.7,81.7,16.3
0.089359,640.0,137.4,1629.6,38.2,2634.0,109.2,556.3,1476.9,2477.6,272.4,81.9,15.8
0.091359,633.1,132.9,1637.1,43.5,2641.2,116.8,555.2,1476.6,2476.3,273.1,82,15.4
0.093359,628.4,129.2,1643.9,48.8,2653.3,129.1,554.1,1476.2,2475,273.9,82.1,15.3
0.095359,627.0,127.8,1650.2,52.3,2675.0,142.0,553,1475.9,2473.6,274.6,82.3,15.5
0.097359,629.2,128.6,1656.9,52.5,2706.1,148.5,551.9,1475.5,2472.2,275.4,82.3,16
0.099359,634.0,128.7,1663.1,49.1,2733.6,146.4,550.8,1475.2,2470.8,276.3,82.4,16.6
0.101359,637.8,125.4,1668.9,45.0,2749.6,144.6,549.6,1475,2469.5,277.1,82.5,17.2
0.103359,638.8,119.8,1674.6,42.1,2755.2,150.8,548.4,1474.7,2468.1,277.9,82.5,17.6
0.105359,637.7,114.2,1680.3,41.1,2754.0,168.9,547.2,1474.5,2466.7,278.8,82.5,17.7
0.107359,635.4,108.2,1686.6,41.9,2747.8,205.9,546,1474.3,2465.3,279.6,82.4,17.8
0.109359,632.7,101.5,1692.8,44.3,2736.7,269.0,544.8,1474.2,2463.9,280.5,82.4,17.7
0.111359,629.4,94.6,1698.3,48.8,2723.6,364.9,543.5,1474,2462.6,281.3,82.4,17.7
0.113359,624.8,88.9,1703.1,56.7,2717.6,495.4,542.2,1474,2461.2,282.2,82.4,17.7
0.115359,618.3,85.2,1706.8,68.4,2723.2,649.9,541,1473.9,2459.9,283,82.4,17.8
0.117359,608.0,80.6,1710.0,84.7,2738.7,851.4,539.7,1473.9,2458.6,283.9,82.5,17.9
0.119359,595.7,72.9,1713.3,105.0,2758.7,1127.7,538.3,1474,2457.2,284.8,82.6,18.1
0.121359,584.1,63.1,1716.6,132.4,2027.2,4711.0,537,1474.1,2455.9,285.6,82.7,18.1
0.123359,574.7,55.2,1718.4,177.4,2131.6,1602.6,535.7,1474.2,2454.7,286.5,82.7,17.9
0.125359,567.2,51.9,1713.8,251.1,2053.5,1016.4,534.4,1474.4,2453.4,287.3,82.7,17.4
0.127359,559.6,54.2,1691.6,358.2,2064.7,640.3,533,1474.6,2452.2,288.2,82.5,16.6
0.129359,550.9,63.7,1662.7,463.5,2089.9,426.5,531.6,1474.9,2451,289,82.3,15.7
0.131359,539.1,82.6,1647.3,549.8,2106.4,317.0,530.3,1475.3,2449.9,289.9,82.1,14.8
0.133359,519.3,112.6,1642.3,567.4,2117.0,264.4,528.9,1475.7,2448.7,290.7,82,14.1
0.135359,481.3,146.4,1634.3,544.5,2118.9,242.1,527.5,1476.2,2447.7,291.6,82,13.3
0.137359,415.2,152.1,1620.7,541.5,2110.2,239.0,526.1,1476.8,2446.6,292.4,82.1,12.3
0.139359,361.0,113.1,1604.8,580.0,2092.9,257.0,524.7,1477.4,2445.6,293.2,82.4,11.5
0.141359,336.5,84.0,1583.7,675.3,2065.4,293.5,523.4,1478.1,2444.6,294,82.6,11.2
0.143359,327.4,72.5,1542.6,806.0,2027.6,325.5,522,1478.8,2443.7,294.7,82.9,11.7
0.145359,323.9,66.6,1496.0,880.9,1992.9,339.0,520.6,1479.7,2442.9,295.5,83,13.4
0.147359,321.5,59.6,1471.4,870.5,1967.3,346.8,519.2,1480.6,2442,296.2,83.1,16.2
0.149359,319.1,50.9,1459.1,782.7,1959.5,352.0,517.8,1481.6,2441.3,296.9,83.1,19.3
0.151359,316.9,43.0,1450.2,656.8,1973.2,352.1,516.4,1482.7,2440.5,297.6,83.1,22.1
0.153359,315.8,38.0,1451.6,547.1,2004.4,345.0,515,1483.8,2439.9,298.3,83,24
0.155359,316.5,37.1,1465.1,479.6,2042.1,326.3,513.6,1485.1,2439.3,298.9,82.9,24.8
