time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025937,794.7,245.9,1737.6,608.6,2584.1,1062.5,638.4,1456.7,2556.3,0,55.1,-200
0.027937,858.8,280.7,1708.0,628.6,2536.7,1049.6,638.3,1456.9,2556.6,0,57.5,-200
0.029937,914.5,356.8,1653.2,816.6,2415.2,1038.9,638.2,1457.1,2557,0,60.6,-170.2
0.031937,963.9,644.9,1337.0,1097.1,2296.3,797.4,638,1457.5,2557.6,0,64,-126.3
0.033937,656.2,799.0,1314.1,626.7,2327.4,613.1,637.7,1458,2558.4,0,67.1,-77.6
0.035937,536.6,353.0,1405.7,527.4,2363.5,514.4,637.4,1458.6,2559.3,0,69.9,-33.4
0.037937,502.7,159.2,1471.6,586.8,2366.1,519.5,637.1,1459.3,2560.5,253.7,72.4,-2.9
0.039937,496.7,89.2,1543.5,806.6,2343.2,613.9,636.7,1460.1,2561.7,253.5,74.5,10.8
0.041937,501.4,65.6,1502.0,922.6,2357.0,624.8,636.2,1461,2563.2,253.3,76.4,14.1
0.043937,509.4,56.9,1342.3,588.0,2472.8,504.7,635.7,1462,2564.8,253.1,78.2,11.2
0.045937,516.7,46.1,1257.3,288.8,2568.2,378.1,635.2,1463.1,2566.6,253,79.7,6.7
0.047937,521.9,35.8,1231.5,151.8,2619.7,295.3,634.6,1464.3,2568.6,252.8,81.2,5
0.049937,522.9,31.1,1231.5,98.9,2639.6,252.7,633.9,1465.6,2570.7,252.6,82.4,5.9
0.051937,521.6,31.5,1240.6,78.7,2645.5,229.1,633.2,1467.1,2573,252.5,83.4,6.5
0.053937,521.0,36.4,1253.2,72.6,2649.5,206.3,632.5,1468.6,2575.5,252.3,84.1,7
0.055937,523.3,46.0,1266.4,75.0,2654.9,183.5,631.6,1470.3,2578.1,252.2,84.6,7.6
0.057937,529.0,61.3,1280.7,84.1,2660.7,164.6,630.8,1472,2580.9,252.1,84.9,8.3
0.059937,539.0,83.1,1297.9,100.5,2667.5,151.5,629.9,1473.8,2583.8,252,85,9.3
0.061937,554.1,109.0,1320.1,123.1,2675.3,144.3,628.9,1475.8,2586.9,251.9,84.8,10.4
0.063937,574.6,132.8,1349.8,147.5,2682.9,138.4,627.9,1477.8,2590.1,251.9,84.6,11.6
0.065937,596.2,146.5,1383.8,163.8,2689.5,129.5,626.8,1480,2593.5,251.9,84.4,12.8
0.067937,614.9,151.7,1417.9,167.5,2696.2,119.3,625.7,1482.2,2597.1,251.9,84.2,13.8
0.069937,628.3,152.9,1447.0,159.9,2704.1,111.9,624.6,1484.6,2600.8,251.9,84.2,14.6
0.071937,637.5,152.1,1470.2,145.5,2713.6,108.1,623.4,1487,2604.7,252,84.3,15.4
0.073937,644.9,150.0,1489.5,127.5,2724.8,105.2,622.1,1489.6,2608.7,252,84.4,16.1
0.075937,652.1,148.0,1504.4,111.1,2734.7,101.0,620.9,1492.2,2612.8,252.1,84.7,16.6
0.077937,661.0,146.9,1516.5,98.5,2742.0,96.6,619.5,1494.9,2617.1,252.3,84.9,17.1
