time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025031,497.9,44.8,828.2,146.6,2608.9,333.2,558.2,1481.8,2584.2,165,74.6,-16.4
0.027031,506.4,38.3,868.2,132.9,2639.4,246.9,558.2,1481.9,2584.3,167.2,75.9,12.8
0.029031,515.2,36.8,905.1,132.8,2654.3,216.2,558.2,1481.9,2584.5,169.6,77.1,21.5
0.031031,524.6,37.2,944.8,146.3,2661.7,223.3,558.2,1482.1,2584.6,172.2,78.1,21.7
0.033031,535.0,37.7,994.7,167.0,2663.3,257.2,558.2,1482.2,2584.9,174.8,78.9,17.6
0.035031,546.7,38.2,1049.5,182.9,2658.2,296.5,558.2,1482.4,2585.2,0,79.7,13.4
0.037031,559.0,38.8,1104.3,192.6,2644.9,322.3,558.3,1482.6,2585.5,0,80.3,12.2
0.039031,569.8,39.2,1163.5,193.8,2625.8,325.4,558.3,1482.9,2585.9,0,80.9,10.3
0.041031,580.5,39.1,1227.9,173.0,2608.4,296.8,558.3,1483.1,2586.3,0,81.4,7.5
0.043031,593.7,38.4,1276.8,137.3,2598.3,246.1,558.4,1483.5,2586.8,0,81.8,4.6
0.045031,608.2,36.0,1305.7,110.8,2594.9,201.8,558.4,1483.8,2587.3,0,82.3,2.3
0.047031,619.7,33.5,1327.5,99.9,2596.0,176.2,558.4,1484.2,2587.9,0,82.6,1.2
0.049031,627.1,34.4,1352.7,103.7,2599.8,170.7,558.5,1484.6,2588.6,0,82.8,0.8
0.051031,632.4,40.3,1386.4,116.0,2605.3,177.4,558.5,1485.1,2589.2,0,82.8,1
0.053031,636.3,51.7,1421.3,125.8,2610.3,184.9,558.6,1485.6,2590,0,82.7,1.5
0.055031,641.0,66.7,1446.3,126.5,2612.6,184.5,558.6,1486.1,2590.8,0,82.6,2.2
0.057031,650.3,78.5,1461.6,120.2,2612.5,174.5,558.6,1486.6,2591.6,0,82.4,3
0.059031,662.5,80.7,1472.2,110.4,2611.8,160.4,558.7,1487.2,2592.5,214.5,82.4,4.2
0.061031,673.8,78.3,1481.8,100.5,2611.6,147.4,558.7,1487.9,2593.4,217.3,82.5,5.6
0.063031,683.3,76.5,1491.1,94.7,2612.8,137.9,558.8,1488.5,2594.3,219.9,82.7,7.1
0.065031,691.7,76.6,1501.7,95.7,2617.0,132.0,558.8,1489.2,2595.4,222.5,82.8,8.5
0.067031,699.5,78.6,1516.7,104.3,2625.1,129.4,558.9,1490,2596.4,224.9,82.9,9.6
0.069031,705.5,81.6,1537.0,117.9,2635.4,130.0,558.9,1490.7,2597.5,227.2,83,10.7
0.071031,709.5,84.2,1562.2,131.9,2646.5,133.1,559,1491.6,2598.7,229.3,83,11.7
0.073031,711.6,85.3,1589.4,142.0,2657.5,138.5,559,1492.4,2599.8,231.3,83,12.5
0.075031,712.4,85.8,1614.4,146.0,2668.1,146.4,559.1,1493.3,2601.1,233.2,83,13.1
0.077031,712.8,87.6,1633.9,143.3,2677.9,158.2,559.1,1494.2,2602.3,234.9,82.9,13.5
0.079031,712.7,91.1,1645.8,136.1,2686.5,173.7,559.2,1495.2,2603.6,236.5,82.8,13.4
0.081031,711.3,94.6,1653.0,127.5,2696.7,195.0,559.2,1496.1,2605,238,82.7,13.2
0.083031,707.5,97.5,1657.5,120.8,2710.4,224.9,559.2,1497.2,2606.3,239.4,82.6,12.9
0.085031,701.9,102.2,1659.9,118.3,2726.9,268.3,559.2,1498.2,2607.7,240.7,82.4,12.6
0.087031,695.0,112.5,1660.8,121.3,2746.4,332.1,559.3,1499.4,2609.2,241.9,82.2,12.6
0.089031,687.5,128.5,1662.1,128.7,2772.6,407.5,559.3,1500.5,2610.7,243,81.9,12.6
0.091031,678.1,146.7,1663.9,138.0,2810.5,476.8,559.3,1501.7,2612.2,244.1,81.6,12.7
0.093031,665.7,161.7,1664.1,147.1,2852.8,513.7,559.3,1502.9,2613.7,245.1,81.3,12.9
0.095031,650.5,171.5,1660.8,155.3,2885.7,514.9,559.3,1504.2,2615.3,246,81,13
0.097031,632.5,176.5,1655.3,162.2,2905.7,503.8,559.3,1505.5,2616.9,246.9,80.8,13.3
0.099031,613.9,176.7,1651.8,168.4,2916.0,508.3,559.3,1506.8,2618.6,247.8,80.6,13.8
