time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025156,539.0,297.5,1658.8,315.7,2685.8,416.2,449.5,1327,2337.5,211.1,66.5,-59.1
0.027156,541.2,224.5,1596.5,366.1,2667.9,522.6,449.5,1327.4,2337.6,211.1,68.8,-18.9
0.029156,539.0,174.0,1470.2,408.9,2611.6,720.7,449.6,1328,2337.9,211.1,70.9,9.6
0.031156,535.4,132.2,1334.0,312.0,2460.3,683.3,449.8,1328.8,2338.3,211.1,72.7,16.6
0.033156,537.3,104.2,1274.8,204.8,2443.9,447.8,449.9,1329.9,2338.8,211.2,74.2,14.9
0.035156,545.6,94.9,1263.8,151.6,2444.2,281.1,450.1,1331.3,2339.4,211.2,75.6,9.4
0.037156,556.7,94.7,1268.9,127.1,2443.7,192.8,450.4,1332.9,2340.2,211.2,76.8,5.1
0.039156,566.1,93.9,1275.6,117.5,2449.5,153.1,450.7,1334.7,2341,211.2,77.9,5.9
0.041156,572.5,90.4,1282.0,117.0,2457.0,135.3,451,1336.8,2342,211.2,78.8,8.5
0.043156,576.9,85.6,1289.1,119.6,2459.6,128.3,451.3,1339.1,2343,211.3,79.5,11.6
0.045156,580.9,80.7,1297.4,119.8,2454.9,126.8,451.7,1341.7,2344.2,211.3,80.2,14.6
0.047156,584.6,76.8,1305.7,116.0,2445.7,127.0,452.2,1344.5,2345.5,211.3,80.8,17.1
0.049156,588.3,74.3,1313.2,110.8,2435.7,128.0,452.6,1347.5,2346.9,211.3,81.2,18.7
0.051156,592.4,73.5,1321.0,106.9,2427.2,129.3,453.1,1350.7,2348.4,211.3,81.6,19.5
0.053156,596.9,74.1,1331.1,105.4,2420.3,129.4,453.7,1354.2,2350,211.4,81.9,19.9
0.055156,601.2,75.6,1344.4,105.8,2414.7,127.4,454.3,1357.9,2351.7,211.4,82.1,20
0.057156,604.5,77.0,1360.9,107.9,2410.3,124.0,454.9,1361.9,2353.5,211.4,82.3,20.1
0.059156,606.7,77.5,1381.0,111.3,2406.8,121.0,455.5,1366,2355.4,211.4,82.5,20.5
0.061156,608.1,76.5,1404.9,114.5,2403.9,120.6,456.2,1370.4,2357.4,211.4,82.6,21
0.063156,608.8,74.2,1431.4,114.9,2401.0,124.0,456.9,1375,2359.5,211.4,82.8,21.5
0.065156,608.4,71.4,1456.7,111.1,2397.8,130.1,457.7,1379.8,2361.7,211.4,82.9,21.9
0.067156,607.1,68.9,1476.7,103.6,2394.4,135.5,458.5,1384.8,2364,211.3,83,22.1
0.069156,605.3,67.5,1489.8,94.2,2392.5,138.2,459.3,1390,2366.4,211.3,83.1,22
0.071156,602.8,67.2,1497.4,84.5,2393.1,141.5,460.2,1395.5,2368.9,211.3,83.2,21.7
0.073156,599.3,68.0,1501.7,75.4,2394.8,149.0,461.1,1401.1,2371.4,211.2,83.2,21.2
0.075156,594.5,69.9,1505.0,67.1,2394.9,161.0,462,1406.9,2374.1,211.1,83.2,20.6
0.077156,589.0,72.7,1507.9,60.4,2391.4,175.3,463,1412.9,2376.8,211,83.2,19.9
0.079156,582.8,76.1,1510.7,56.4,2383.6,190.9,464,1419.1,2379.7,210.9,83.1,19.1
0.081156,575.4,78.8,1513.0,56.5,2371.5,211.9,465,1425.5,2382.6,210.8,83,18.2
0.083156,566.3,79.3,1514.8,60.7,2355.1,247.4,466.1,1432,2385.6,210.7,82.7,17.1
0.085156,555.6,77.7,1515.8,68.7,2331.5,306.8,467.2,1438.8,2388.6,210.5,82.4,16
0.087156,544.4,75.9,1516.0,79.5,2290.8,386.0,468.3,1445.7,2391.8,210.4,81.9,14.7
0.089156,532.8,75.8,1516.4,92.5,2225.4,435.7,469.5,1452.7,2395,210.2,81.2,13.3
0.091156,520.3,77.6,1518.5,107.9,2161.5,427.4,470.7,1459.9,2398.3,210,80.4,11.4
0.093156,506.1,81.6,1523.9,127.7,2116.3,400.1,471.9,1467.3,2401.7,209.8,79.3,9.4
0.095156,489.3,89.6,1533.9,157.7,2089.4,376.3,473.2,1474.8,2405.1,209.6,78.1,7.5
0.097156,470.3,104.4,1548.8,210.6,2074.0,368.3,474.5,1482.5,2408.6,209.4,76.7,5.9
0.099156,451.4,128.2,1565.7,317.8,2051.5,392.9,475.8,1490.3,2412.1,209.2,75.3,4.9
0.101156,435.2,159.1,1569.4,522.0,1996.7,422.7,477.1,1498.2,2415.7,209,74.3,4.2
0.103156,421.6,184.0,1538.6,734.8,1951.4,413.4,478.5,1506.3,2419.4,208.8,73.7,3.8
