time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025172,625.0,159.2,1854.4,131.2,2774.1,775.3,578.3,1854.2,2856.8,218.3,76.2,-0.7
0.027172,637.6,165.7,1870.6,125.3,2760.8,742.1,578.3,1854.4,2857,218.6,77.7,-0.4
0.029172,652.3,159.6,1899.8,109.1,2812.4,663.9,578.2,1854.6,2857.3,218.9,79.1,0.7
0.031172,662.2,147.6,1923.0,90.1,2865.1,546.3,578.1,1855,2857.8,219.3,80.3,2.2
0.033172,667.1,133.9,1934.9,75.1,2890.6,452.1,578,1855.5,2858.4,219.7,81.3,3.9
0.035172,668.2,120.4,1938.5,65.3,2901.0,394.9,577.9,1856,2859.1,220.2,82.2,5.7
0.037172,667.4,108.5,1937.9,59.8,2905.7,361.0,577.7,1856.7,2860,220.7,82.9,7.4
0.039172,666.3,99.4,1936.3,57.3,2909.8,341.7,577.5,1857.5,2861,221.2,83.4,9.2
0.041172,665.7,94.4,1936.2,56.8,2916.5,336.5,577.3,1858.4,2862.1,221.7,83.7,11.2
0.043172,665.5,92.4,1939.0,56.9,2928.3,343.7,577,1859.4,2863.4,222.3,84,13.1
0.045172,665.6,92.5,1945.0,57.3,2945.6,360.2,576.7,1860.5,2864.8,222.9,84.1,14.6
0.047172,666.2,94.2,1952.7,58.4,2964.4,379.8,576.4,1861.6,2866.3,223.6,84.1,15.3
0.049172,667.2,98.0,1959.8,61.2,2976.6,401.9,576.1,1862.9,2867.9,224.2,84.1,14.9
0.051172,668.7,104.1,1963.1,66.7,2976.9,431.5,575.7,1864.3,2869.7,225,84,13.6
0.053172,669.9,112.8,1960.8,75.3,2972.0,471.8,575.4,1865.8,2871.6,225.7,83.8,11.9
0.055172,670.5,123.4,1952.7,86.6,2976.9,512.9,574.9,1867.4,2873.6,226.5,83.6,10.4
0.057172,669.9,135.1,1940.6,97.7,3008.0,533.0,574.5,1869.1,2875.7,227.2,83.3,9.5
0.059172,667.8,146.3,1926.4,104.4,3062.2,501.0,574.1,1870.8,2878,228.1,83,9.4
0.061172,664.2,155.3,1913.1,104.4,3099.8,427.8,573.6,1872.7,2880.4,228.9,82.7,9.6
0.063172,659.7,163.6,1900.7,102.1,3108.7,367.0,573.1,1874.6,2882.8,229.8,82.5,10.1
0.065172,655.3,171.3,1889.2,101.9,3104.1,332.0,572.5,1876.7,2885.4,230.7,82.3,10.7
0.067172,651.9,176.3,1878.7,103.9,3099.0,312.5,572,1878.8,2888.2,231.6,82.1,11.4
0.069172,648.6,177.1,1869.1,104.8,3100.9,293.9,571.4,1881,2891,232.5,81.9,12.3
0.071172,643.9,175.3,1861.1,101.9,3113.2,265.3,570.8,1883.3,2893.9,233.4,81.7,13.5
0.073172,635.9,173.7,1852.9,96.0,3132.7,225.7,570.2,1885.7,2896.9,234.4,81.5,14.8
0.075172,624.0,175.3,1843.1,90.2,3151.0,190.0,569.5,1888.1,2900,235.4,81.2,15.6
0.077172,607.3,182.1,1830.0,87.4,3164.9,173.3,568.9,1890.7,2903.3,236.4,80.9,15.7
0.079172,581.4,194.2,1811.4,88.9,3178.8,177.0,568.2,1893.3,2906.6,237.4,80.7,14.7
0.081172,544.4,206.0,1789.1,92.0,3194.8,195.2,567.5,1896,2910,238.4,80.5,12.7
0.083172,500.1,198.7,1768.6,92.1,3216.6,227.7,566.7,1898.7,2913.5,239.5,80.4,10.4
0.085172,467.4,164.6,1760.6,91.3,3248.5,265.8,566,1901.6,2917.1,240.5,80.4,8.5
0.087172,455.2,130.6,1770.7,95.9,3228.4,2110.5,565.2,1904.5,2920.8,241.6,80.5,7.6
0.089172,455.5,111.9,1794.1,102.4,3097.2,2881.6,564.4,1907.4,2924.5,242.7,80.5,8
