time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025750,429.0,116.7,1820.4,986.0,3030.7,791.1,446.2,1800.8,3073.1,236.4,66.1,-32.8
0.027750,426.1,113.4,1837.4,1119.6,3094.4,939.1,446.3,1800.9,3073,235.1,66.8,9.1
0.029750,417.2,119.6,1879.0,1306.5,3205.4,1143.8,446.3,1801,3073,233.7,67,-12.6
0.031750,403.8,128.2,1951.2,1336.8,3395.3,1339.5,446.4,1801.2,3073,232.1,66.9,-64.2
0.033750,387.8,135.2,1967.1,1063.8,3632.2,1272.5,446.4,1801.5,3072.9,230.5,66.4,-126
0.035750,371.3,146.1,1946.3,769.1,3770.6,1044.1,446.5,1801.9,3072.8,228.7,65.9,-177.9
0.037750,366.3,171.9,1938.0,622.8,3832.9,861.0,446.6,1802.3,3072.7,226.9,65.8,-200
0.039750,394.4,190.8,1948.8,634.8,3850.2,763.5,446.7,1802.8,3072.6,0,66.2,-182.5
0.041750,410.9,166.8,1996.8,827.9,3841.6,775.8,446.9,1803.4,3072.5,0,67.2,-138.7
0.043750,411.2,150.5,2159.6,1119.3,3820.1,913.0,447,1804,3072.3,0,68.3,-83.3
0.045750,301.1,1537.9,409.2,141.6,2424.4,1210.5,447.2,1804.7,3072.2,0,69.2,-31.2
0.047750,408.2,133.2,448.4,1222.6,2619.6,1048.0,447.4,1805.4,3072,0,69.8,2.9
0.049750,410.8,119.4,431.1,1320.3,2654.9,978.7,447.6,1806.2,3071.8,0,70,15.7
0.051750,414.7,105.5,2478.7,1232.9,4162.6,1376.8,447.8,1807.1,3071.6,0,70,16.8
0.053750,415.7,104.3,2151.5,1005.4,4115.0,1431.5,448,1808,3071.4,0,70,11.5
0.055750,419.7,103.2,895.4,1971.7,2109.8,755.1,448.2,1809,3071.2,0,70.1,4.8
0.057750,424.3,101.2,1625.8,3386.2,2114.0,831.4,448.5,1810.1,3070.9,0,70.5,1.8
0.059750,425.1,99.1,1876.1,963.6,2475.3,1094.3,448.8,1811.2,3070.7,203.4,71.1,2.6
0.061750,422.1,96.6,1852.3,733.9,2588.5,810.2,449,1812.4,3070.4,201.4,71.7,3.7
0.063750,419.8,95.0,1868.7,620.2,2636.2,683.4,449.3,1813.7,3070.1,199.5,72.2,5.1
0.065750,422.1,95.5,1885.8,562.8,2666.3,617.6,449.6,1815,3069.8,197.6,72.6,6.8
0.067750,428.4,97.0,1895.8,539.1,2686.5,574.6,450,1816.4,3069.5,195.9,72.9,8.5
0.069750,431.9,97.4,1895.8,527.3,2700.4,532.0,450.3,1817.9,3069.1,194.2,73.1,10.7
0.071750,428.8,95.9,1892.1,510.5,2716.1,485.4,450.7,1819.4,3068.8,192.7,73.3,13.3
0.073750,421.7,93.3,1893.1,490.1,2737.5,450.0,451,1821,3068.4,191.3,73.5,16
0.075750,415.6,90.5,1896.4,469.3,2761.4,430.0,451.4,1822.6,3068,190.1,73.7,18.2
0.077750,412.6,88.7,1892.9,450.9,2780.5,427.7,451.8,1824.3,3067.6,188.9,73.8,19.5
0.079750,409.8,88.1,1884.5,455.0,2794.7,456.1,452.2,1826.1,3067.2,187.9,73.9,19.5
0.081750,403.2,87.4,1871.6,494.8,2807.1,504.7,452.6,1827.9,3066.8,187,74,18.6
0.083750,393.4,85.5,1844.6,558.9,2815.2,528.3,453,1829.8,3066.3,186.3,74,17.2
0.085750,384.5,83.6,1803.3,598.7,2821.1,483.9,453.4,1831.8,3065.8,185.7,74.1,15.8
0.087750,380.1,83.7,1776.8,575.8,2825.7,390.1,453.9,1833.8,3065.4,185.1,74,15
0.089750,380.4,86.0,1789.7,538.1,2825.3,319.3,454.3,1835.9,3064.9,184.7,74,14.8
0.091750,379.2,87.7,1837.0,575.2,2824.0,315.0,454.8,1838,3064.3,184.4,73.8,14.8
0.093750,374.4,89.1,1911.0,701.2,2812.2,373.7,455.3,1840.3,3063.8,184.2,73.7,14.9
0.095750,367.9,92.6,2024.4,912.9,2771.5,492.4,455.7,1842.5,3063.2,184.1,73.6,15.2
0.097750,362.1,98.8,2241.8,1236.7,2652.3,672.2,456.2,1844.9,3062.7,184.1,73.5,15.4
0.099750,357.9,104.8,2470.3,581.4,2576.4,2075.1,456.7,1847.2,3062.1,184.1,73.4,15.6
0.101750,352.6,107.7,2388.2,485.4,4249.2,2545.0,457.2,1849.7,3061.5,184.2,73.3,15.8
0.103750,349.7,111.5,2288.8,526.5,4196.8,1051.7,457.8,1852.2,3060.9,184.4,73.1,16.1
0.105750,339.1,104.6,2227.1,681.0,4102.9,784.1,458.3,1854.8,3060.2,184.6,72.9,16.2
0.107750,320.6,86.0,2320.8,1177.2,4127.9,800.7,458.8,1857.4,3059.6,184.9,72.8,16.3
0.109750,307.8,81.4,2515.5,1346.0,4190.3,874.6,459.3,1860.1,3058.9,185.2,72.6,16.4
0.111750,298.0,82.8,2607.9,1147.6,4210.3,881.5,459.9,1862.9,3058.2,185.6,72.5,16.4
0.113750,292.9,92.8,2633.6,1035.7,4211.7,877.8,460.4,1865.7,3057.5,186,72.3,16.3
0.115750,293.7,114.9,2660.6,1054.8,4210.7,821.8,461,1868.6,3056.7,186.4,72.2,16.1
0.117750,300.8,156.3,2616.6,1267.2,4217.8,821.0,461.5,1871.5,3056,186.8,72,15.6
0.119750,311.7,209.1,2174.0,1396.3,3883.5,2348.5,462.1,1874.5,3055.2,187.2,71.9,14.7
0.121750,331.2,263.9,1933.3,970.7,3794.5,2003.5,462.7,1877.5,3054.4,187.6,72,13.4
0.123750,363.9,312.0,1888.1,791.9,3618.8,1591.5,463.2,1880.6,3053.6,188,72.3,12.1
0.125750,399.2,288.8,1842.9,667.7,3345.6,1305.8,463.8,1883.8,3052.8,188.4,72.9,10.8
0.127750,425.6,200.1,1780.9,508.2,3097.8,976.2,464.4,1887,3052,188.8,73.8,9.8
0.129750,447.4,119.2,1749.7,344.8,2961.5,616.5,465,1890.3,3051.1,189.2,75,9.2
0.131750,473.3,75.7,1761.1,238.9,2903.6,408.8,465.5,1893.6,3050.2,189.5,76.2,8.8
0.133750,502.8,63.9,1803.5,194.6,2901.6,322.9,466.1,1897,3049.3,189.8,77.6,8.5
0.135750,532.5,62.9,1850.3,161.6,2912.2,265.7,466.7,1900.4,3048.4,190.1,78.9,8.3
0.137750,556.0,55.2,1875.5,137.4,2908.4,258.6,467.3,1903.9,3047.5,190.4,80.2,8.1
0.139750,572.7,44.4,1888.9,123.4,2901.9,282.8,467.9,1907.4,3046.5,190.6,81.3,8
0.141750,583.8,37.3,1899.7,112.3,2899.6,303.7,468.4,1911,3045.5,190.8,82.2,7.9
0.143750,591.5,33.9,1909.7,102.9,2902.2,317.8,469,1914.7,3044.5,190.9,82.9,7.9
0.145750,596.7,33.5,1917.0,96.6,2906.6,330.5,469.6,1918.4,3043.5,191,83.3,8
0.147750,600.0,35.8,1920.8,94.5,2907.9,351.5,470.2,1922.1,3042.5,191.1,83.5,8.2
0.149750,602.1,40.8,1922.5,97.3,2900.6,392.6,470.8,1925.9,3041.4,191.2,83.5,8.4
0.151750,605.1,48.4,1924.7,104.9,2879.0,465.4,471.3,1929.8,3040.3,191.2,83.4,8.6
0.153750,610.0,58.3,1928.1,116.3,2838.0,566.3,471.9,1933.7,3039.2,191.2,83.1,8.9
0.155750,616.2,68.6,1931.5,129.1,2783.7,664.1,472.5,1937.6,3038.1,191.2,82.8,9.6
0.157750,622.3,76.4,1934.0,139.9,2741.3,725.0,473,1941.6,3037,191.1,82.5,10.9
0.159750,626.9,80.1,1936.1,145.8,2733.1,743.4,473.6,1945.7,3035.8,191.1,82.4,13.1
0.161750,630.5,81.1,1939.3,147.4,2747.5,736.9,474.1,1949.8,3034.6,191,82.3,16.1
0.163750,633.4,81.5,1944.5,145.8,2766.4,722.3,474.7,1953.9,3033.4,190.9,82.3,19.3
0.165750,635.5,81.8,1951.8,143.1,2780.1,720.5,475.2,1958.1,3032.2,190.8,82.4,22.2
0.167750,636.8,81.2,1960.6,141.2,2787.4,742.8,475.8,1962.3,3030.9,190.7,82.5,24.1
0.169750,637.4,79.3,1968.8,140.6,2786.2,772.1,476.3,1966.6,3029.7,190.6,82.5,24.7
0.171750,637.4,76.6,1974.6,141.1,2776.9,775.1,476.8,1970.9,3028.4,190.5,82.6,24.4
0.173750,637.3,74.5,1977.8,142.3,2767.2,734.8,477.3,1975.2,3027.1,190.3,82.6,23.6
0.175750,637.3,74.3,1980.3,143.3,2765.5,670.3,477.9,1979.6,3025.7,190.2,82.6,22.9
0.177750,638.7,76.7,1984.5,143.5,2773.0,608.9,478.4,1984.1,3024.4,190.1,82.6,22.6
0.179750,641.9,81.1,1991.3,142.0,2786.2,565.1,478.8,1988.5,3023,190,82.6,22.9
0.181750,646.2,86.1,2000.0,138.0,2801.4,529.6,479.3,1993,3021.6,189.8,82.6,23.6
0.183750,650.2,90.1,2009.3,131.2,2814.6,495.4,479.8,1997.6,3020.2,189.7,82.6,24.3
0.185750,652.6,92.7,2017.4,123.8,2822.8,465.5,480.3,2002.2,3018.8,189.6,82.6,24.7
0.187750,652.4,93.3,2023.3,118.8,2824.5,452.8,480.7,2006.8,3017.3,189.5,82.6,24.7
0.189750,649.5,91.4,2026.3,117.7,2818.7,465.7,481.2,2011.4,3015.9,189.4,82.5,24
0.191750,644.5,88.1,2028.3,117.6,2809.2,482.5,481.6,2016.1,3014.4,189.2,82.5,22.7
0.193750,638.5,84.9,2031.3,114.8,2808.8,471.7,482,2020.8,3012.8,189.1,82.5,21.2
0.195750,632.6,82.1,2036.2,109.2,2823.5,429.1,482.4,2025.6,3011.3,189,82.5,19.9
0.197750,627.1,79.3,2042.6,102.9,2843.2,374.1,482.8,2030.3,3009.7,188.9,82.5,19.1
0.199750,622.7,76.0,2047.9,96.8,2855.9,332.8,483.2,2035.1,3008.2,188.8,82.5,19
0.201750,618.6,72.0,2051.2,90.8,2861.9,309.0,483.6,2039.9,3006.6,188.7,82.6,19.3
0.203750,614.8,67.8,2053.0,85.8,2865.9,297.3,484,2044.8,3004.9,188.6,82.7,19.8
0.205750,610.7,63.7,2054.4,83.0,2871.3,292.9,484.3,2049.7,3003.3,188.6,82.8,20.1
0.207750,605.2,59.4,2055.5,82.5,2879.0,294.3,484.7,2054.6,3001.6,188.5,83,20
