time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025609,306.4,127.5,423.4,554.3,2070.6,103.6,489.2,1157.5,1922.2,229.8,69.7,20.5
0.027609,285.0,120.5,476.3,362.9,2098.5,81.1,489.2,1157.8,1922.4,228.7,71.1,22.3
0.029609,274.5,108.3,492.5,281.5,2111.6,67.1,489.1,1158.3,1922.8,227.6,72.2,17.6
0.031609,269.0,102.7,495.5,246.7,2115.8,61.8,489,1159,1923.4,226.4,72.9,11.2
0.033609,264.6,100.5,495.5,235.5,2115.4,63.2,488.9,1159.9,1924.1,225.2,73.5,8
0.035609,260.3,95.5,499.6,234.0,2113.1,70.4,488.8,1161,1925,224,73.9,7.9
0.037609,257.1,85.3,510.1,223.3,2111.2,82.9,488.6,1162.2,1926.1,222.7,74.3,7.6
0.039609,256.2,78.2,518.0,202.5,2112.2,96.9,488.4,1163.7,1927.3,221.4,74.7,7.3
0.041609,255.3,77.4,521.6,188.1,2114.5,111.2,488.2,1165.3,1928.7,220.1,75.1,7.2
0.043609,253.0,79.1,525.3,183.4,2115.1,128.8,487.9,1167.2,1930.2,218.8,75.4,7.4
0.045609,249.9,79.4,531.1,185.1,2111.6,145.5,487.7,1169.2,1931.9,217.5,75.5,8.1
0.047609,246.4,76.5,541.3,191.2,2100.0,149.4,487.4,1171.5,1933.8,216.2,75.6,9.2
0.049609,243.4,71.1,559.1,200.9,2082.3,135.0,487,1173.9,1935.8,214.9,75.4,10.4
0.051609,241.5,68.0,583.4,219.4,2068.7,126.8,486.7,1176.5,1937.9,213.6,75.1,11.4
0.053609,241.6,71.7,605.0,256.7,2061.0,149.1,486.3,1179.3,1940.3,212.4,74.7,11.7
0.055609,244.1,83.1,618.7,323.1,2056.2,199.8,485.9,1182.3,1942.7,211.2,74.1,11.2
0.057609,253.5,114.6,622.8,503.3,2072.5,268.8,485.5,1185.4,1945.4,210.1,73.4,10.1
0.059609,279.8,172.1,547.3,1024.3,2095.4,339.0,485.1,1188.8,1948.2,209,72.7,8.7
0.061609,301.7,208.7,2080.1,379.3,2952.8,320.8,484.6,1192.3,1951.1,207.9,72.1,7.3
0.063609,278.5,188.0,1027.4,3030.8,2080.3,398.0,484.1,1196,1954.2,206.9,71.9,6.3
0.065609,262.4,177.1,1640.4,1182.0,2148.7,441.2,483.6,1199.9,1957.4,205.9,72.3,5.6
0.067609,256.4,222.7,1647.4,758.6,2190.8,379.0,483,1203.9,1960.8,205,73.2,5
0.069609,272.2,262.1,1641.1,713.4,2178.4,350.5,482.5,1208.2,1964.4,204.2,74.5,4.5
