time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025172,289.9,55.3,1460.4,952.9,2034.6,230.7,458.3,1676.4,2302.2,221.4,72.3,-11.3
0.027172,286.5,56.0,1423.6,895.9,2048.0,187.0,458.3,1676.7,2302.6,220.6,73.4,18.3
0.029172,283.1,56.3,1423.4,784.9,2060.3,150.8,458.4,1677.2,2303.2,219.9,74.2,25.8
0.031172,282.7,60.0,1437.8,714.7,2062.5,134.6,458.4,1677.8,2304,219.1,74.9,24.2
0.033172,288.2,66.8,1440.0,735.8,2053.8,137.2,458.5,1678.7,2305.1,218.3,75.4,18.4
0.035172,297.0,73.3,1433.4,823.2,2036.7,153.2,458.6,1679.7,2306.4,217.4,75.9,13.3
0.037172,303.9,78.5,1440.4,905.4,2017.9,182.2,458.7,1681,2307.9,216.6,76.2,12.7
0.039172,306.8,82.8,1479.2,875.1,2016.1,224.7,458.8,1682.4,2309.7,215.8,76.5,12.8
0.041172,307.5,85.8,1516.4,727.0,2051.4,248.8,458.9,1684,2311.7,215,76.7,12.8
0.043172,310.5,87.1,1534.7,626.1,2091.7,228.1,459.1,1685.7,2314,214.3,76.9,12.8
0.045172,316.7,85.0,1553.7,598.2,2112.1,205.3,459.2,1687.7,2316.5,213.5,77,12.8
0.047172,323.1,82.5,1575.5,585.6,2120.4,200.1,459.4,1689.9,2319.2,212.8,77.1,12.9
0.049172,328.4,84.1,1592.3,557.1,2124.8,212.3,459.6,1692.2,2322.1,212.1,77.2,12.9
0.051172,334.3,92.7,1600.2,534.3,2128.8,236.6,459.8,1694.7,2325.3,211.4,77.2,13
0.053172,343.0,107.5,1604.0,551.2,2131.9,259.9,460,1697.4,2328.7,210.8,77.2,13.1
0.055172,353.3,121.5,1608.2,603.9,2132.7,265.5,460.3,1700.2,2332.3,210.2,77.2,13.6
0.057172,361.6,128.0,1615.3,651.5,2132.1,254.6,460.5,1703.3,2336.1,209.6,77.3,14.5
0.059172,366.2,130.7,1632.8,674.4,2130.6,245.3,460.8,1706.5,2340.2,209.1,77.4,16.1
0.061172,368.3,140.7,1671.7,703.8,2125.5,253.5,461.1,1709.8,2344.4,208.6,77.5,18
0.063172,369.4,160.3,1722.5,744.6,2115.7,273.5,461.4,1713.4,2348.9,208.1,77.7,19.9
0.065172,370.2,181.6,1765.7,774.8,2104.2,292.2,461.7,1717.1,2353.6,207.7,77.9,21.2
0.067172,370.9,194.5,1792.9,774.4,2096.0,309.2,462,1720.9,2358.5,207.3,78.2,21.9
0.069172,371.8,196.0,1805.2,739.5,2093.6,330.0,462.3,1725,2363.6,206.9,78.4,22
0.071172,374.2,192.5,1801.5,692.8,2096.9,351.5,462.7,1729.1,2368.9,206.6,78.7,21.8
0.073172,382.1,190.5,1775.9,666.8,2101.7,362.1,463,1733.5,2374.4,206.3,79,21.2
0.075172,400.3,187.1,1730.1,656.8,2103.4,366.3,463.4,1737.9,2380.1,206,79.3,20.1
0.077172,427.3,175.5,1688.0,622.2,2104.9,391.5,463.8,1742.6,2385.9,205.8,79.7,18.5
0.079172,455.8,160.8,1682.0,548.1,2117.3,478.0,464.2,1747.3,2392,205.5,80,15.8
0.081172,483.0,153.0,1706.5,423.2,2185.3,677.9,464.6,1752.3,2398.2,205.3,80.3,12.6
0.083172,510.9,150.9,1714.4,291.9,2369.1,880.6,465.1,1757.3,2404.7,205.1,80.6,9.5
0.085172,540.2,143.8,1706.5,204.5,2577.7,899.5,465.5,1762.5,2411.3,204.9,80.9,7.2
0.087172,567.6,127.2,1695.1,147.8,2705.2,821.1,466,1767.8,2418,204.8,81.2,6.5
0.089172,588.1,108.1,1686.0,110.9,2767.6,748.8,466.5,1773.2,2425,204.6,81.6,7
0.091172,600.3,92.1,1680.9,88.3,2795.5,706.1,467,1778.8,2432,204.5,82.1,8.3
0.093172,606.0,80.5,1679.9,75.6,2797.6,687.0,467.5,1784.4,2439.3,204.4,82.5,10
0.095172,608.3,73.6,1683.0,70.2,2781.2,661.8,468,1790.2,2446.7,204.2,82.9,11.7
0.097172,608.9,71.7,1689.8,70.8,2765.2,619.1,468.5,1796.1,2454.2,204.1,83.2,12.9
0.099172,608.9,74.2,1700.3,76.2,2763.9,573.5,469,1802.1,2461.9,204.1,83.4,14.1
0.101172,608.7,79.9,1713.7,83.9,2778.5,529.6,469.6,1808.2,2469.7,204,83.5,15.2
0.103172,608.6,86.4,1728.2,90.6,2802.2,479.2,470.2,1814.4,2477.7,203.9,83.5,16.4
0.105172,608.7,91.9,1741.9,94.3,2826.2,420.8,470.7,1820.7,2485.8,203.9,83.5,17.5
0.107172,609.0,94.5,1753.8,96.0,2844.2,363.6,471.3,1827.1,2494,203.8,83.5,18.6
0.109172,609.2,93.7,1764.1,97.3,2851.8,317.4,471.9,1833.6,2502.3,203.8,83.6,19.8
0.111172,609.1,90.1,1773.4,98.6,2847.3,286.6,472.5,1840.1,2510.7,203.8,83.6,20.9
0.113172,608.4,84.6,1782.4,99.6,2833.7,270.7,473.2,1846.8,2519.3,203.8,83.7,21.9
0.115172,607.6,78.4,1791.7,100.2,2817.7,266.8,473.8,1853.5,2527.9,203.9,83.8,22.7
0.117172,607.1,72.6,1802.0,100.9,2805.8,270.2,474.5,1860.2,2536.7,203.9,83.9,23.2
0.119172,607.0,68.2,1814.2,101.8,2801.4,273.6,475.1,1867.1,2545.5,203.9,84,23.5
0.121172,607.1,65.6,1829.5,102.6,2803.1,271.6,475.8,1873.9,2554.4,204,84.1,23.5
0.123172,607.1,64.1,1848.5,103.3,2806.3,269.6,476.5,1880.9,2563.4,204.1,84.2,23.4
0.125172,607.3,63.0,1870.6,104.0,2807.6,273.0,477.1,1887.8,2572.5,204.2,84.2,23.2
0.127172,607.8,62.2,1893.1,104.7,2805.7,280.5,477.8,1894.9,2581.6,204.3,84.2,23.1
0.129172,608.3,61.1,1912.8,105.3,2801.5,291.4,478.6,1901.9,2590.8,204.4,84.3,22.9
0.131172,608.3,59.4,1928.4,105.8,2796.4,308.1,479.3,1909,2600.1,204.5,84.3,22.6
0.133172,607.7,56.4,1940.0,106.7,2789.9,332.0,480,1916.1,2609.4,204.6,84.4,22.3
0.135172,606.9,52.3,1948.6,108.9,2778.8,362.2,480.7,1923.2,2618.7,204.8,84.6,22
0.137172,606.2,47.6,1955.3,113.0,2758.8,391.7,481.5,1930.4,2628.1,204.9,84.7,21.8
0.139172,606.0,43.0,1962.4,117.6,2731.8,405.9,482.2,1937.6,2637.5,205.1,84.8,21.5
0.141172,605.9,38.9,1971.7,120.8,2706.0,399.6,483,1944.7,2647,205.2,85,21.3
0.143172,606.1,35.5,1983.1,121.5,2689.0,379.4,483.8,1951.9,2656.4,205.4,85.1,21.1
0.145172,606.2,32.5,1994.7,119.9,2683.2,352.6,484.6,1959.1,2665.9,205.6,85.2,20.9
0.147172,606.4,29.9,2004.9,116.6,2685.4,323.7,485.4,1966.2,2675.4,205.8,85.2,20.8
0.149172,606.4,27.6,2012.9,113.2,2689.2,297.9,486.2,1973.4,2684.9,205.9,85.2,20.8
0.151172,606.0,25.4,2019.3,110.9,2690.4,280.3,487,1980.5,2694.4,206.1,85.2,20.8
