time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025828,570.1,23.3,1693.8,971.8,2868.6,448.2,510.8,1999.9,2788.2,0,60.5,-200
0.027828,568.1,22.0,1655.0,926.2,2859.9,398.8,510.8,1999.8,2788.1,0,59.5,-203.2
0.029828,566.2,26.2,1649.0,825.0,2852.5,406.0,510.7,1999.7,2787.9,0,58.4,-209.7
0.031828,567.7,41.7,1714.1,770.9,2848.6,466.8,510.6,1999.6,2787.7,0,58.1,-214.5
0.033828,575.3,70.1,1867.1,886.7,2823.7,481.0,510.4,1999.3,2787.4,0,59.7,-212.9
0.035828,574.6,69.9,2057.0,965.7,2793.6,448.6,510.2,1999.1,2787,0,62.5,-200
0.037828,568.6,49.8,2145.9,872.1,2797.3,408.7,510,1998.8,2786.6,0,65.3,-169.3
0.039828,566.5,39.3,2174.1,772.3,2819.3,380.8,509.8,1998.4,2786.1,0,67.7,-124
0.041828,565.6,33.0,2173.3,697.4,2838.6,351.1,509.5,1998,2785.5,0,69.6,-73.8
0.043828,564.8,27.9,2150.9,644.5,2847.4,320.9,509.2,1997.5,2784.9,0,71.2,-28.6
0.045828,563.6,24.2,2122.9,596.5,2849.2,297.1,508.8,1997,2784.2,0,72.4,2
0.047828,562.0,23.7,2109.6,539.9,2849.1,287.0,508.5,1996.5,2783.4,0,73.4,14.7
0.049828,560.9,28.2,2118.4,478.5,2850.9,295.0,508,1995.8,2782.6,0,74.1,16
0.051828,561.6,37.5,2131.4,416.6,2855.9,306.5,507.6,1995.2,2781.7,0,74.6,10.9
0.053828,564.5,48.4,2137.2,363.1,2861.5,308.1,507.1,1994.5,2780.8,0,75,4.1
0.055828,568.6,57.2,2136.1,322.6,2864.6,299.6,506.6,1993.8,2779.7,0,75.4,0.6
0.057828,572.1,60.8,2130.4,297.6,2864.3,285.4,506.1,1993,2778.7,0,76,0.3
0.059828,572.7,57.3,2123.6,299.8,2859.4,274.6,505.5,1992.1,2777.5,0,76.8,0.1
0.061828,570.0,49.7,2124.5,340.1,2849.1,277.6,504.9,1991.2,2776.3,0,77.7,-0.2
0.063828,566.6,43.8,2146.1,391.0,2841.5,300.0,504.3,1990.3,2775,0,78.7,-0.3
0.065828,563.3,39.5,2174.7,407.4,2840.7,332.9,503.7,1989.3,2773.7,0,79.5,-0.4
0.067828,559.5,35.9,2188.5,391.0,2840.2,358.9,503,1988.3,2772.3,0,80.2,-0.5
0.069828,556.4,34.3,2189.8,351.2,2845.8,361.3,502.3,1987.3,2770.8,0,80.6,-0.7
0.071828,556.4,35.9,2188.0,302.5,2864.3,351.2,501.5,1986.2,2769.3,0,80.9,-0.8
0.073828,561.4,39.7,2182.8,257.7,2889.9,339.7,500.8,1985,2767.8,0,81.1,-0.5
0.075828,569.8,42.7,2170.8,217.4,2910.4,327.6,500,1983.8,2766.1,0,81.2,0.3
0.077828,577.9,42.9,2152.9,179.6,2917.6,317.4,499.2,1982.6,2764.4,202.1,81.3,1.9
0.079828,581.8,41.7,2136.3,148.2,2915.1,306.8,498.4,1981.3,2762.7,202.2,81.4,4.1
0.081828,581.7,40.8,2123.9,124.6,2910.6,294.4,497.5,1980,2760.8,202.2,81.5,6.5
0.083828,579.2,40.9,2114.9,109.4,2905.2,283.9,496.6,1978.6,2759,202.2,81.7,9
0.085828,575.9,41.7,2108.2,101.3,2896.8,279.6,495.7,1977.2,2757.1,202.3,81.9,11
0.087828,573.2,43.1,2102.6,99.0,2882.3,285.8,494.8,1975.8,2755.1,202.3,82,12.9
0.089828,571.8,44.8,2098.2,100.9,2859.4,303.4,493.8,1974.3,2753,202.4,82.1,14.9
0.091828,570.1,46.4,2094.5,105.0,2825.7,329.9,492.9,1972.8,2750.9,202.4,82.2,16.6
0.093828,566.7,47.5,2090.5,110.6,2782.4,360.6,491.9,1971.3,2748.8,202.5,82.1,17.7
0.095828,560.3,48.7,2084.9,118.1,2737.6,390.9,490.9,1969.7,2746.6,202.6,82,18
0.097828,550.5,51.0,2075.7,127.9,2703.9,419.3,489.9,1968,2744.3,202.7,81.8,17.2
0.099828,538.3,54.3,2063.2,137.5,2693.7,442.3,488.8,1966.4,2742,202.7,81.5,15.3
0.101828,523.7,58.5,2048.4,145.4,2706.0,460.7,487.8,1964.7,2739.7,202.8,81.2,12.9
0.103828,505.8,63.3,2033.2,151.0,2737.7,479.3,486.7,1962.9,2737.3,203,80.9,10.7
0.105828,481.9,67.3,2018.1,155.3,2783.3,498.4,485.6,1961.2,2734.8,203.1,80.6,9.1
0.107828,449.6,65.2,2002.1,157.7,2831.1,503.1,484.5,1959.4,2732.3,203.2,80.4,8.2
