time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025156,550.4,17.3,2457.7,237.4,2960.8,722.9,513.3,2480,3139.3,0,67.2,-158
0.027156,548.6,18.7,2494.1,296.1,2886.6,767.7,513.3,2480,3139.2,0,68,-200
0.029156,547.6,26.6,2469.6,304.8,2875.8,584.6,513.2,2479.9,3139,0,69.5,-181.9
0.031156,543.8,31.9,2445.2,280.3,2896.4,475.0,513,2479.8,3138.7,0,71.2,-137.1
0.033156,539.9,32.6,2424.9,262.3,2911.4,408.5,512.9,2479.7,3138.4,0,72.8,-80.6
0.035156,538.0,30.9,2406.4,248.1,2925.7,364.2,512.6,2479.6,3137.9,0,74.2,-27.5
0.037156,538.2,28.4,2391.7,233.9,2943.0,336.4,512.4,2479.5,3137.4,0,75.1,7
0.039156,540.2,27.1,2383.1,219.8,2965.6,326.8,512.1,2479.3,3136.8,0,75.9,19.7
0.041156,543.6,30.2,2378.2,207.6,2999.2,338.4,511.8,2479.2,3136.1,0,76.4,20.5
0.043156,549.6,42.2,2368.6,196.8,3046.9,362.9,511.4,2479,3135.4,0,76.9,14.5
0.045156,556.9,60.5,2357.1,184.7,3088.6,371.7,511,2478.7,3134.5,0,77.5,6.9
0.047156,558.2,70.1,2356.4,176.1,3098.8,360.7,510.6,2478.5,3133.6,0,78.1,2.8
0.049156,552.9,64.3,2361.6,173.7,3084.7,339.0,510.1,2478.2,3132.6,0,78.8,1.9
0.051156,547.9,52.8,2363.3,173.2,3065.4,310.4,509.6,2477.9,3131.5,0,79.5,1
0.053156,545.3,45.8,2359.1,169.9,3055.9,283.2,509.1,2477.6,3130.4,0,80,0.2
0.055156,544.7,46.1,2353.5,164.6,3061.1,266.3,508.5,2477.3,3129.2,201.9,80.4,-0.1
0.057156,545.7,52.4,2349.7,161.4,3075.9,262.0,507.9,2476.9,3127.8,202.2,80.6,0.5
0.059156,548.5,61.9,2348.6,163.9,3092.9,269.0,507.3,2476.5,3126.4,202.6,80.8,2.3
0.061156,551.7,70.6,2350.5,174.4,3108.2,286.6,506.6,2476,3125,202.9,81,5.1
0.063156,552.3,75.5,2355.6,190.1,3123.8,315.0,505.9,2475.6,3123.4,203.3,81.1,8.3
0.065156,549.4,77.5,2362.4,200.9,3144.6,352.7,505.2,2475.1,3121.8,203.7,81.3,11.4
0.067156,544.7,78.7,2366.4,198.3,3169.3,391.0,504.4,2474.6,3120.1,204.1,81.5,13.9
0.069156,540.6,79.7,2363.1,184.5,3185.3,414.0,503.6,2474,3118.3,204.5,81.7,15.9
0.071156,538.3,81.1,2352.0,165.7,3178.0,408.1,502.8,2473.4,3116.4,204.9,81.9,17.9
0.073156,537.7,83.1,2336.4,144.7,3150.5,372.2,501.9,2472.8,3114.4,205.3,81.9,19.4
0.075156,537.5,85.6,2320.9,124.1,3121.2,327.5,501.1,2472.1,3112.4,205.7,81.9,20.4
0.077156,535.6,88.1,2307.3,108.3,3100.6,300.6,500.2,2471.5,3110.3,206.2,81.8,20.5
0.079156,529.6,90.6,2295.4,101.6,3089.0,308.5,499.2,2470.7,3108.1,206.6,81.7,19.3
0.081156,516.3,94.0,2285.8,109.7,3086.4,367.7,498.3,2469.9,3105.8,207.1,81.6,16.9
0.083156,492.8,95.8,2280.6,144.4,3094.7,480.2,497.3,2469.1,3103.5,207.5,81.6,14.1
0.085156,462.6,87.1,2283.3,231.8,3096.9,579.3,496.3,2468.3,3101,208,81.6,11.5
0.087156,437.5,67.3,2303.6,419.4,3065.3,627.3,495.2,2467.4,3098.5,208.4,81.9,10
0.089156,423.9,49.1,2374.0,735.4,2997.6,658.4,494.2,2466.4,3095.9,208.9,82.2,9.7
0.091156,418.5,37.8,2557.9,1037.4,2913.6,690.0,493.1,2465.4,3093.3,209.4,82.6,9.9
0.093156,417.3,31.7,2728.8,728.2,2927.6,1006.8,492,2464.4,3090.5,209.9,82.9,10.7
