time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025937,406.6,51.3,1940.5,306.0,3046.9,1542.1,474.1,1685,2688,0,65.2,-203.2
0.027937,403.9,38.4,1927.7,240.9,3091.1,1412.3,474.1,1685,2688,0,66.6,-209.5
0.029937,397.8,29.8,1902.4,215.3,3108.3,1123.9,474.2,1685.1,2687.9,0,68,-214.2
0.031937,397.3,25.9,1877.3,213.4,3131.5,884.7,474.3,1685.1,2687.8,0,69.1,-212.7
0.033937,407.6,25.6,1867.9,202.1,3198.6,737.9,474.4,1685.1,2687.6,0,70.2,-200
0.035937,427.9,26.8,1878.7,157.9,3292.5,598.7,474.6,1685.1,2687.4,0,71.1,-170.1
0.037937,450.4,27.9,1891.4,115.9,3356.9,451.6,474.8,1685.2,2687.1,0,71.9,-126.2
0.039937,465.8,28.3,1897.4,94.7,3389.2,337.4,475,1685.2,2686.9,204,72.8,-77.4
0.041937,468.3,28.5,1896.3,94.9,3407.8,274.4,475.2,1685.3,2686.6,204.1,73.7,-33
0.043937,463.3,29.1,1888.4,115.5,3424.6,249.4,475.5,1685.3,2686.2,204.2,74.5,-2.2
0.045937,457.4,31.6,1871.5,158.7,3444.9,247.1,475.8,1685.4,2685.8,204.3,75.3,12.1
0.047937,452.4,36.1,1848.4,207.7,3465.6,254.4,476.2,1685.5,2685.4,204.4,75.9,15.9
0.049937,448.1,41.1,1826.3,238.5,3481.3,264.5,476.5,1685.6,2685,204.5,76.5,13.8
0.051937,444.5,45.1,1810.6,251.8,3483.0,282.0,476.9,1685.7,2684.5,204.7,76.9,10.3
0.053937,440.8,47.3,1800.1,265.4,3459.4,317.3,477.3,1685.8,2684,204.8,77.3,9.9
0.055937,436.0,47.1,1789.9,280.5,3393.9,370.8,477.8,1685.9,2683.4,205,77.6,12.9
0.057937,431.7,45.1,1776.4,275.6,3297.1,395.6,478.3,1686,2682.8,205.1,78,16.4
0.059937,429.5,43.4,1762.4,248.6,3211.1,369.8,478.8,1686.1,2682.2,205.3,78.3,19.9
0.061937,430.1,43.3,1751.8,222.1,3168.0,338.3,479.3,1686.2,2681.6,205.5,78.6,22.7
0.063937,433.0,44.9,1743.9,209.8,3158.2,330.8,479.8,1686.4,2680.9,205.6,78.9,24.3
0.065937,436.7,47.5,1737.8,212.0,3159.4,344.1,480.4,1686.5,2680.2,205.8,79.2,24.7
0.067937,438.6,49.5,1734.9,223.6,3160.8,367.2,481,1686.7,2679.5,205.9,79.6,24.1
