time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025734,408.3,78.9,1751.0,329.4,2299.2,222.4,373.2,1919.3,2356.7,221.3,71.4,-33.3
0.027734,402.9,80.5,1731.8,351.9,2308.5,199.3,373.3,1919.3,2356.9,220.6,72.7,8.4
0.029734,394.5,87.0,1716.3,390.5,2310.3,202.7,373.5,1919.3,2357.1,220,73.7,21.6
0.031734,387.9,96.1,1712.2,437.4,2294.5,240.0,373.7,1919.3,2357.5,219.3,74.6,23.1
0.033734,389.6,103.1,1721.4,489.3,2254.3,293.5,374,1919.3,2358,218.6,75.3,17.9
0.035734,398.1,105.0,1722.8,526.4,2220.3,297.0,374.3,1919.3,2358.6,217.9,75.9,11
0.037734,408.3,103.8,1710.9,515.4,2228.0,251.9,374.8,1919.4,2359.3,217.3,76.4,7.4
0.039734,417.4,103.5,1706.0,481.2,2262.7,195.6,375.2,1919.4,2360,216.6,76.8,7.1
0.041734,422.9,103.7,1721.5,463.4,2296.2,147.0,375.8,1919.4,2360.9,216,77.2,6.6
0.043734,423.1,100.8,1763.0,470.7,2314.2,120.7,376.4,1919.5,2361.9,215.4,77.5,6.2
0.045734,420.1,95.8,1820.4,486.3,2321.1,115.4,377,1919.5,2363,214.9,77.8,6.1
0.047734,416.8,92.9,1874.9,497.6,2323.8,123.9,377.8,1919.5,2364.3,214.4,78.1,6.5
0.049734,414.4,92.8,1914.4,503.4,2325.4,142.5,378.5,1919.6,2365.6,213.9,78.3,7.6
0.051734,413.8,93.2,1922.7,504.9,2323.4,165.0,379.4,1919.6,2367,213.5,78.5,9.3
0.053734,414.5,91.9,1892.0,488.4,2314.6,184.3,380.3,1919.7,2368.5,213.1,78.7,11.3
0.055734,415.5,86.5,1851.4,451.7,2302.0,217.1,381.3,1919.8,2370.1,212.8,78.9,13.1
0.057734,420.5,78.1,1822.5,413.4,2288.0,277.5,382.3,1919.8,2371.8,212.5,79.2,14.3
