time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025937,314.0,64.4,2072.5,270.9,3287.8,3097.4,412.8,1927.5,2560.5,230.9,64.5,-200
0.027937,317.2,70.7,2089.8,194.9,2793.1,4218.6,412.8,1927.4,2560.6,230.2,66.8,-169.2
0.029937,322.4,81.0,2101.3,152.3,2399.4,4381.5,412.9,1927.4,2560.7,229.5,68.7,-124
0.031937,331.4,96.7,2109.8,133.4,2444.8,3838.6,412.9,1927.3,2560.8,228.8,70.4,-73.8
0.033937,345.5,114.5,2119.6,134.5,2515.4,3346.6,413,1927.3,2561.1,228.1,71.8,-28.1
0.035937,365.0,127.4,2137.6,158.0,2526.6,2912.4,413.1,1927.2,2561.3,227.4,73,3.4
0.037937,385.1,128.1,2174.8,210.5,2455.4,2470.4,413.2,1927.1,2561.6,226.7,74.1,17.7
0.039937,400.3,120.4,2233.7,265.3,2327.9,2045.5,413.3,1927,2562,226,75,21.2
0.041937,410.4,108.0,2262.6,1618.8,2276.3,278.0,413.4,1926.9,2562.4,225.4,75.8,18.4
0.043937,415.1,96.2,2276.4,276.3,2291.7,1265.5,413.6,1926.8,2562.9,224.7,76.5,14.2
0.045937,416.9,88.1,2252.5,272.8,2360.0,1037.7,413.8,1926.6,2563.3,224.1,77.2,13
0.047937,418.5,84.0,2226.8,252.8,2433.3,949.9,413.9,1926.4,2563.9,223.5,77.7,15.1
0.049937,420.7,83.4,2214.7,233.2,2482.6,964.5,414.1,1926.3,2564.5,223,78.3,17.4
0.051937,423.2,85.8,2215.0,226.9,2489.2,1069.4,414.3,1926.1,2565.1,222.4,78.7,19.6
0.053937,425.5,89.2,2224.4,229.9,2428.5,1239.5,414.6,1925.9,2565.8,222,79.2,21.5
0.055937,428.0,90.9,2240.5,237.4,2283.5,1348.5,414.8,1925.7,2566.5,221.5,79.6,22.8
0.057937,431.4,88.8,2109.2,1231.9,2266.6,251.5,415.1,1925.4,2567.3,221.1,79.9,23.5
0.059937,435.2,84.6,1980.3,999.5,2305.4,260.4,415.4,1925.2,2568.1,220.7,80.3,23.6
0.061937,437.8,83.8,1915.9,856.7,2336.0,267.7,415.6,1924.9,2568.9,220.4,80.6,23.4
0.063937,438.1,89.1,1911.7,890.2,2335.6,317.5,416,1924.7,2569.8,220,81,22.8
0.065937,435.1,92.0,1972.2,1247.8,2274.2,404.9,416.3,1924.4,2570.8,219.8,81.4,22
0.067937,433.1,81.1,1825.8,2637.1,2207.5,390.1,416.6,1924.1,2571.7,219.5,81.8,20.4
0.069937,434.4,64.6,1193.1,1729.8,2228.2,401.0,417,1923.8,2572.7,219.3,82.2,18.2
0.071937,435.0,50.6,1257.9,1282.5,2333.6,384.5,417.3,1923.5,2573.8,219.1,82.7,15.8
0.073937,434.4,42.7,1256.8,1092.5,2435.2,285.2,417.7,1923.2,2574.9,219,83,14
0.075937,434.5,40.5,1222.4,1114.4,2492.1,199.0,418.1,1922.8,2576,218.8,83.4,13.4
0.077937,435.9,41.8,1174.7,1297.8,2520.3,154.2,418.5,1922.5,2577.1,218.7,83.7,14.6
0.079937,437.7,42.9,1141.3,1558.9,2540.1,137.6,419,1922.1,2578.3,218.7,83.9,17
0.081937,438.3,41.9,1160.9,1766.2,2566.4,134.8,419.4,1921.8,2579.5,218.6,84.1,20
0.083937,437.7,39.4,1225.7,1840.4,2599.4,135.1,419.9,1921.4,2580.8,218.6,84.3,22.8
0.085937,437.1,36.7,1290.9,1862.3,2631.2,135.3,420.3,1921,2582.1,218.6,84.5,24.8
0.087937,436.6,34.0,1344.8,1892.9,2654.1,138.9,420.8,1920.6,2583.4,218.6,84.6,25.8
0.089937,436.2,31.1,1400.9,1913.8,2668.8,146.7,421.3,1920.2,2584.7,218.7,84.8,26.4
0.091937,436.0,28.1,1471.7,1875.2,2682.2,152.9,421.8,1919.8,2586.1,218.7,85,26.7
0.093937,435.9,26.0,1545.9,1801.6,2694.9,154.7,422.4,1919.4,2587.5,218.8,85.1,26.8
