time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025719,436.6,74.8,1943.2,307.8,2523.2,382.2,364.3,2010.1,2669.5,223.8,73.5,-9.9
0.027719,432.9,70.0,1916.3,325.2,2516.5,376.9,364.3,2010.3,2669.6,223.9,74.4,20.3
0.029719,428.4,65.2,1897.2,352.6,2499.6,394.9,364.4,2010.6,2669.9,224,75.1,28.7
0.031719,423.4,62.9,1897.8,398.0,2464.1,448.6,364.4,2011.1,2670.2,224.1,75.7,28.3
0.033719,418.9,65.1,1929.6,466.6,2400.1,538.4,364.5,2011.7,2670.6,224.2,76.2,23.8
0.035719,415.9,70.8,2000.1,556.6,2297.5,633.6,364.6,2012.5,2671.1,224.3,76.7,19.9
0.037719,414.7,79.4,2135.2,882.6,2141.2,478.4,364.7,2013.3,2671.7,224.4,77.1,20.3
0.039719,414.5,89.1,2124.3,1066.3,2151.1,393.7,364.9,2014.4,2672.4,224.5,77.4,21.6
0.041719,413.7,98.6,2103.9,1167.7,2158.3,369.7,365,2015.5,2673.2,224.6,77.8,22.6
0.043719,410.9,105.0,2026.1,1393.0,2161.7,331.6,365.2,2016.8,2674.1,224.7,78.1,23.6
0.045719,406.3,106.4,1764.8,1799.8,2157.5,273.8,365.4,2018.2,2675.1,224.7,78.4,24.4
0.047719,400.7,104.1,1313.8,1587.1,2147.6,217.6,365.6,2019.7,2676.2,224.8,78.8,25.2
0.049719,396.3,101.7,1150.4,1241.3,2136.7,183.7,365.8,2021.4,2677.3,224.8,79.1,26.1
0.051719,393.8,102.1,1072.6,1072.4,2128.9,171.5,366.1,2023.2,2678.6,224.9,79.4,27
0.053719,393.1,106.2,1034.9,1029.6,2129.5,177.6,366.4,2025.1,2679.9,224.9,79.7,27.6
0.055719,394.0,112.9,1031.9,1096.2,2142.4,204.0,366.6,2027.1,2681.3,224.9,79.9,27.5
0.057719,396.9,121.0,1088.5,1330.8,2167.7,274.8,366.9,2029.3,2682.8,224.9,80.2,26.5
0.059719,401.5,125.1,1322.1,1749.6,2197.1,435.9,367.3,2031.5,2684.4,224.8,80.6,24.3
0.061719,407.7,119.4,1825.1,1302.5,2295.9,877.7,367.6,2033.9,2686.1,224.8,80.9,21.4
0.063719,416.3,103.6,1756.9,782.4,2639.0,895.8,368,2036.4,2687.8,224.7,81.3,18.5
0.065719,424.9,84.3,1713.0,699.1,2783.8,668.9,368.4,2039,2689.7,224.7,81.8,16.3
0.067719,431.9,67.7,1695.9,826.7,2812.0,500.5,368.8,2041.8,2691.6,224.6,82.2,15.2
0.069719,437.8,59.5,1791.5,1203.4,2782.6,430.9,369.2,2044.6,2693.6,224.5,82.7,14.8
