time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025719,576.1,39.3,1035.1,1416.0,2892.2,34.8,452.9,2232.7,2898.7,0,70.2,-11.2
0.027719,572.5,40.6,772.0,1311.8,2879.1,50.2,452.9,2232.4,2898.5,0,72.2,18
0.029719,567.6,35.1,622.9,1590.6,2848.2,86.8,452.9,2232,2898,0,73.9,24.3
0.031719,562.6,24.6,1889.3,2545.3,2786.1,155.4,452.8,2231.3,2897.4,0,75.2,21.1
0.033719,556.9,17.4,2378.7,1020.2,2757.6,251.8,452.7,2230.5,2896.6,0,76.1,13.7
0.035719,551.3,15.4,2401.3,348.2,2834.7,233.2,452.6,2229.6,2895.6,0,76.9,7
0.037719,547.2,18.2,2403.8,179.9,2866.7,153.1,452.5,2228.4,2894.4,0,77.4,5.1
0.039719,546.6,24.2,2402.4,128.2,2879.6,118.6,452.4,2227.1,2893.1,0,77.8,3.8
0.041719,549.4,30.0,2397.0,107.2,2888.9,104.0,452.3,2225.6,2891.5,197.8,78.1,2.4
0.043719,552.9,34.3,2392.6,95.3,2897.0,96.7,452.1,2224,2889.8,197.9,78.3,1.3
0.045719,554.8,37.8,2392.4,87.8,2903.2,93.6,452,2222.1,2888,198,78.4,0.7
0.047719,553.1,41.6,2395.1,83.8,2906.9,93.5,451.8,2220.1,2885.9,198.1,78.6,0.9
0.049719,546.1,46.4,2394.6,81.3,2907.6,93.8,451.6,2218,2883.7,198.2,78.8,2.1
0.051719,533.5,53.4,2386.7,77.8,2905.6,91.8,451.4,2215.6,2881.3,198.4,79.1,3.7
0.053719,518.3,61.5,2374.2,72.4,2903.2,88.6,451.1,2213.1,2878.7,198.5,79.4,5.6
0.055719,505.7,66.9,2362.8,67.6,2903.7,89.6,450.9,2210.5,2876,198.6,79.9,7.3
0.057719,497.7,69.5,2355.2,66.9,2908.4,100.3,450.6,2207.6,2873.1,198.8,80.3,8.7
0.059719,491.6,71.2,2349.1,73.1,2914.4,126.5,450.4,2204.7,2870.1,198.9,80.7,9.9
0.061719,484.7,72.7,2339.9,90.0,2915.9,175.9,450.1,2201.5,2866.9,199.1,81.1,11
0.063719,475.7,73.2,2324.0,125.0,2904.5,259.6,449.8,2198.2,2863.5,199.2,81.3,12
0.065719,465.3,71.1,2299.9,189.1,2872.1,384.4,449.5,2194.8,2860,199.4,81.5,12.9
0.067719,455.2,66.5,2269.3,286.2,2823.9,524.8,449.2,2191.2,2856.3,199.5,81.5,13.7
0.069719,446.4,61.5,2230.1,385.6,2806.9,591.9,448.8,2187.4,2852.4,199.7,81.5,14.6
0.071719,438.5,57.2,2185.1,451.5,2839.5,545.3,448.5,2183.5,2848.5,199.9,81.3,15.3
0.073719,430.0,53.2,2156.1,507.0,2867.3,488.4,448.1,2179.5,2844.3,200,80.9,15.8
0.075719,420.8,49.7,2151.8,572.9,2873.6,484.5,447.8,2175.3,2840.1,200.2,80.5,15.7
0.077719,411.7,48.0,2187.1,657.0,2853.7,543.9,447.4,2171,2835.7,200.4,79.9,14.7
0.079719,401.7,49.4,2287.5,793.5,2784.1,631.0,447,2166.5,2831.1,200.6,79.3,12.5
0.081719,389.4,55.4,2391.4,991.6,2693.1,522.9,446.6,2161.9,2826.4,200.8,78.8,9.5
0.083719,378.3,62.4,2370.3,938.9,2702.2,358.7,446.2,2157.2,2821.6,201,78.6,6.8
0.085719,377.0,61.7,2380.9,817.5,2719.2,294.5,445.8,2152.4,2816.7,201.2,78.7,5
0.087719,382.4,55.0,2441.6,746.3,2736.0,295.9,445.3,2147.4,2811.6,201.4,79.1,4.8
0.089719,388.9,48.9,2519.1,659.2,2767.7,330.7,444.9,2142.3,2806.5,201.6,79.6,6.1
0.091719,395.8,44.1,2560.3,603.5,2813.7,322.3,444.5,2137.1,2801.2,201.8,80.1,8.3
0.093719,401.9,38.5,2569.1,659.3,2837.2,246.0,444,2131.8,2795.8,202,80.5,10.9
0.095719,405.4,33.6,2552.3,729.2,2845.0,173.2,443.6,2126.4,2790.2,202.2,80.9,13.4
