time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025031,575.7,21.8,1659.9,1209.6,3018.8,74.5,507.9,2688.2,3206.3,183.4,63.5,-200
0.027031,571.2,21.5,1618.0,1715.4,3007.2,64.4,507.9,2687.7,3206,184.1,65.8,-168.4
0.029031,565.0,22.0,1527.3,2279.0,2998.3,58.4,508,2686.9,3205.6,184.8,67.9,-121.9
0.031031,560.1,22.7,1430.3,3307.6,2991.5,61.8,508,2685.8,3204.9,185.5,69.8,-70.4
0.033031,558.3,22.7,2181.5,3733.0,2984.0,83.0,508,2684.4,3204.1,186.3,71.4,-24
0.035031,557.0,22.4,2652.7,2507.0,2969.3,143.9,508.1,2682.7,3203.1,187.1,72.9,7.5
0.037031,554.5,22.8,2772.3,1661.0,2943.6,268.7,508.1,2680.7,3201.9,188,74.1,20.8
0.039031,552.0,23.6,2838.0,1162.8,2909.3,451.0,508.2,2678.3,3200.6,188.9,75.1,22.3
0.041031,552.7,23.4,2823.4,650.9,2950.0,809.8,508.3,2675.7,3199,189.8,75.9,17.2
0.043031,558.4,22.3,2807.0,576.3,3010.7,815.6,508.3,2672.7,3197.3,190.7,76.6,10.4
0.045031,566.5,21.2,2818.9,465.1,3069.0,870.9,508.4,2669.5,3195.3,191.7,77.1,6.8
0.047031,573.7,21.4,2792.3,396.2,3139.2,835.7,508.5,2665.9,3193.3,192.6,77.4,6.1
0.049031,578.8,23.7,2734.2,364.1,3184.1,754.3,508.6,2662.1,3191,193.6,77.5,5.1
0.051031,582.1,28.4,2664.0,338.4,3213.0,706.7,508.7,2657.9,3188.5,194.5,77.6,4.1
0.053031,583.0,34.9,2597.0,316.0,3233.0,688.1,508.8,2653.4,3185.9,195.4,77.5,3.6
0.055031,581.1,41.8,2528.3,280.0,3248.4,649.3,508.9,2648.7,3183.1,196.3,77.6,4.1
0.057031,577.7,46.3,2475.1,228.2,3252.5,583.4,509.1,2643.7,3180.1,197.1,77.7,6
0.059031,574.9,47.5,2448.3,187.0,3244.4,527.8,509.2,2638.4,3177,198,78,8.9
0.061031,573.3,47.1,2439.2,164.8,3230.8,493.2,509.3,2632.8,3173.7,198.7,78.4,12.3
0.063031,573.4,46.6,2439.2,159.4,3215.5,470.2,509.5,2626.9,3170.2,199.4,78.9,15.5
0.065031,575.1,47.0,2441.5,164.0,3195.7,441.6,509.6,2620.7,3166.5,200.1,79.2,17.9
0.067031,577.7,48.1,2440.1,171.7,3169.0,401.6,509.8,2614.3,3162.7,200.7,79.6,19.3
0.069031,580.1,49.7,2431.8,174.0,3139.5,354.7,509.9,2607.6,3158.7,201.3,79.8,20.1
0.071031,581.8,51.4,2417.7,167.8,3111.4,306.2,510.1,2600.6,3154.5,201.7,80,20.6
0.073031,583.0,52.5,2402.5,156.6,3088.4,265.9,510.3,2593.4,3150.2,202.2,80.2,20.9
0.075031,584.1,52.8,2387.5,144.1,3066.4,231.0,510.4,2585.9,3145.7,202.5,80.4,21.3
0.077031,584.7,52.3,2376.3,134.3,3045.3,202.7,510.6,2578.2,3141,202.8,80.6,21.8
0.079031,583.8,52.3,2370.7,130.3,3028.9,186.0,510.8,2570.2,3136.2,203.1,80.7,22.4
0.081031,580.1,54.3,2368.3,132.1,3016.9,182.6,510.9,2562,3131.3,203.3,80.8,22.8
0.083031,573.9,58.1,2365.9,137.5,3006.6,188.7,511.1,2553.5,3126.2,203.4,80.9,23
0.085031,565.7,62.4,2362.9,145.8,2991.4,194.0,511.3,2544.8,3120.9,203.5,81,22.9
0.087031,557.4,64.8,2360.8,156.0,2972.1,189.0,511.4,2535.9,3115.5,203.6,81.1,22.3
0.089031,550.5,64.6,2358.3,163.8,2956.6,176.9,511.6,2526.7,3109.9,203.6,81.2,21.4
0.091031,544.8,62.6,2352.0,164.1,2946.9,162.1,511.8,2517.4,3104.2,203.5,81.2,20.3
0.093031,540.4,61.1,2342.2,155.6,2941.8,146.2,512,2507.8,3098.3,203.5,81.3,19.1
0.095031,535.7,61.6,2331.5,143.0,2937.7,127.8,512.1,2498,3092.3,203.4,81.2,17.9
0.097031,530.0,63.7,2323.2,133.6,2931.9,109.5,512.3,2488.1,3086.2,203.3,81.2,16.6
0.099031,522.7,66.0,2318.8,134.1,2924.9,96.1,512.4,2477.9,3079.9,203.2,81,15.1
0.101031,511.8,68.0,2317.7,150.0,2918.8,91.6,512.6,2467.5,3073.5,203.1,80.8,13.6
0.103031,497.2,70.0,2317.4,179.7,2915.6,96.8,512.8,2457,3066.9,202.9,80.6,12.2
0.105031,476.9,72.0,2316.1,224.7,2915.9,114.5,512.9,2446.3,3060.3,202.8,80.3,11.1
0.107031,450.0,70.5,2321.5,303.6,2922.3,162.6,513.1,2435.4,3053.5,202.6,80.1,10.2
0.109031,423.5,62.3,2359.0,446.6,2934.4,280.1,513.2,2424.3,3046.5,202.5,79.9,9.4
0.111031,408.7,54.2,2512.7,609.8,2938.2,584.8,513.3,2413.1,3039.5,202.3,79.8,8.8
0.113031,410.8,52.9,2650.8,391.0,3104.5,1143.5,513.5,2401.7,3032.3,202.2,79.8,8.7
0.115031,421.3,51.8,2667.8,267.6,3319.2,1176.0,513.6,2390.2,3025.1,202,79.8,9.3
0.117031,431.1,50.4,2676.0,208.8,3385.3,1047.4,513.7,2378.6,3017.7,201.9,79.8,11
0.119031,438.7,50.4,2689.3,177.6,3397.4,970.2,513.8,2366.8,3010.2,201.8,79.8,13.7
0.121031,445.1,50.1,2707.1,167.2,3371.7,995.6,513.9,2354.9,3002.5,201.7,79.8,16.7
0.123031,448.6,49.2,2725.6,175.3,3303.6,1113.9,514,2342.9,2994.8,201.6,79.7,19.5
0.125031,448.4,48.8,2743.9,193.0,3193.3,1277.2,514.1,2330.8,2987,201.4,79.7,21.5
0.127031,444.6,48.8,2755.6,207.9,3071.0,1426.1,514.1,2318.6,2979.1,201.3,79.7,22.6
0.129031,438.6,48.4,2758.4,219.8,2977.8,1519.4,514.2,2306.3,2971.1,201.2,79.7,23.1
0.131031,431.0,47.4,2764.6,251.4,2912.0,1512.0,514.2,2293.9,2963,201.1,79.7,23.3
0.133031,423.7,46.0,2795.6,321.7,2850.0,1408.3,514.2,2281.4,2954.8,201,79.8,23.4
