time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025172,371.4,2838.0,409.5,51.1,2133.4,149.9,394.7,1184.1,2326.3,209.1,71.5,6.8
0.027172,406.4,51.4,795.4,2137.0,2124.5,144.6,394.7,1184.6,2326.5,209.4,72.8,20.6
0.029172,404.8,51.4,881.6,1757.4,2118.8,138.9,394.7,1185.4,2326.9,209.8,74,23
0.031172,404.4,52.3,915.9,1463.1,2116.4,141.5,394.7,1186.5,2327.4,210.1,74.9,19
0.033172,405.4,54.9,931.7,1243.1,2117.9,159.2,394.7,1188,2328.1,210.4,75.7,13.6
0.035172,407.5,59.4,931.2,1093.0,2126.1,201.9,394.7,1189.8,2328.9,210.8,76.3,11.9
0.037172,410.8,65.7,909.4,1048.9,2157.1,261.9,394.7,1191.9,2329.8,211.2,76.8,14.1
0.039172,415.2,73.3,868.4,1129.8,2061.7,715.3,394.7,1194.3,2330.9,211.5,77.3,16.8
0.041172,421.4,80.6,804.1,1394.5,1967.7,971.5,394.7,1197.1,2332.2,211.9,77.7,19.7
0.043172,426.4,84.5,701.2,1824.2,1850.6,1263.9,394.7,1200.2,2333.5,212.2,78.1,22.4
0.045172,428.8,87.3,571.9,2095.9,1786.7,1443.0,394.7,1203.6,2335,212.6,78.5,24.3
0.047172,430.0,89.9,440.0,2229.5,1743.2,1551.2,394.6,1207.3,2336.7,212.9,78.8,25.5
0.049172,431.0,91.9,1565.6,1668.5,2199.5,282.2,394.6,1211.3,2338.5,213.3,79.1,26.1
0.051172,431.8,93.1,1345.7,1488.5,2198.6,232.1,394.6,1215.6,2340.5,213.6,79.4,26.4
0.053172,432.5,94.1,1274.6,1322.0,2201.6,213.0,394.6,1220.3,2342.5,213.9,79.6,26.5
0.055172,433.5,96.1,1281.8,1284.6,2216.1,239.1,394.6,1225.2,2344.8,214.2,79.9,26.6
0.057172,435.2,98.2,1339.4,1275.5,2242.0,302.0,394.6,1230.5,2347.1,214.4,80.1,26.5
0.059172,436.9,100.0,1402.2,1232.5,2273.8,377.8,394.6,1236,2349.6,214.7,80.2,26.2
0.061172,437.8,102.5,1450.6,1192.5,2307.6,450.0,394.6,1241.8,2352.2,214.9,80.3,25.7
0.063172,437.0,107.4,1487.9,1236.8,2321.8,485.3,394.6,1248,2355,215.1,80.4,25.4
0.065172,435.2,114.2,1507.4,1401.6,2296.3,460.2,394.6,1254.4,2357.9,215.3,80.5,25.3
0.067172,435.3,118.2,1399.3,1455.9,2249.3,371.3,394.6,1261.1,2360.9,215.4,80.5,25.6
0.069172,438.0,117.0,1315.2,1232.1,2215.6,284.7,394.6,1268,2364,215.5,80.6,26.2
0.071172,440.7,113.1,1294.1,1056.1,2191.3,230.4,394.6,1275.3,2367.3,215.6,80.7,26.9
0.073172,441.2,110.6,1287.0,963.1,2173.1,208.6,394.6,1282.8,2370.7,215.6,80.8,27.6
0.075172,440.0,110.0,1286.5,898.8,2159.2,205.6,394.6,1290.6,2374.2,215.6,80.8,28
0.077172,438.4,109.4,1293.6,851.3,2150.4,208.4,394.6,1298.6,2377.8,215.6,80.9,28.3
0.079172,437.4,108.7,1299.8,843.0,2144.3,206.1,394.6,1306.9,2381.6,215.6,81,28.6
0.081172,436.7,110.5,1298.5,920.3,2140.6,203.0,394.6,1315.5,2385.4,215.5,81.1,28.7
0.083172,434.5,119.3,1292.9,1224.5,2145.3,224.4,394.7,1324.3,2389.4,215.4,81.1,28.5
0.085172,427.8,136.0,526.0,1393.5,2062.7,2132.7,394.7,1333.3,2393.5,215.3,81.2,28
0.087172,421.1,144.8,599.2,913.1,2081.9,429.6,394.7,1342.6,2397.7,215.1,81.3,27
0.089172,422.3,141.9,619.1,874.5,2031.2,354.9,394.7,1352.1,2402,214.9,81.4,25.5
0.091172,428.3,132.9,632.3,926.2,2012.6,291.1,394.8,1361.8,2406.4,214.7,81.6,23.8
0.093172,435.8,120.7,633.4,993.4,2005.2,259.8,394.8,1371.7,2410.9,214.4,81.8,22.1
0.095172,444.9,104.4,601.4,1119.6,2005.3,261.0,394.9,1381.8,2415.5,214.2,82.1,20.8
0.097172,452.4,85.5,506.6,1374.6,2015.6,307.4,394.9,1392.2,2420.3,213.9,82.4,19.5
0.099172,216.4,1813.1,455.4,69.0,2040.4,427.8,395,1402.7,2425.1,213.6,82.8,18.2
0.101172,454.1,57.8,2100.6,742.0,2657.8,486.6,395.1,1413.4,2430,213.3,83.1,17.1
0.103172,449.7,53.3,2287.4,1529.5,2581.9,367.6,395.2,1424.3,2435,212.9,83.5,16.5
0.105172,444.0,51.3,692.7,1426.2,2572.1,227.6,395.2,1435.4,2440,212.6,83.7,16.7
0.107172,440.5,49.1,725.9,1117.3,2580.4,169.4,395.3,1446.7,2445.2,212.2,83.9,18
0.109172,440.3,47.0,712.6,1160.8,2586.5,159.9,395.4,1458.1,2450.4,211.8,84.1,20.2
0.111172,441.7,44.6,654.2,1422.4,2590.5,177.3,395.6,1469.7,2455.8,211.4,84.2,22.9
0.113172,443.2,1933.8,443.2,41.7,2594.5,212.7,395.7,1481.4,2461.2,211,84.3,25.4
0.115172,443.7,38.5,2597.5,264.5,3093.7,1559.3,395.8,1493.2,2466.6,210.6,84.4,27.1
0.117172,443.1,36.0,2588.2,319.8,2997.0,1419.7,396,1505.2,2472.2,210.2,84.5,28
0.119172,441.6,34.5,2559.5,346.7,3020.4,1196.9,396.1,1517.4,2477.8,209.8,84.5,28.4
0.121172,439.8,33.5,2528.9,332.1,3088.8,1006.5,396.3,1529.6,2483.5,209.4,84.5,28.5
0.123172,437.9,32.5,2514.7,306.9,3131.8,880.6,396.5,1541.9,2489.2,209,84.6,28.4
0.125172,436.1,31.3,2512.6,285.3,3149.8,801.5,396.6,1554.4,2495,208.5,84.6,28.2
0.127172,434.1,30.2,2516.9,267.8,3152.7,758.0,396.9,1566.9,2500.9,208.1,84.6,27.7
0.129172,432.1,29.2,2523.0,252.6,3147.9,728.6,397.1,1579.6,2506.8,207.6,84.6,27
0.131172,429.7,28.5,2528.7,238.1,3136.1,690.1,397.3,1592.3,2512.7,207.2,84.6,26.1
0.133172,427.3,28.0,2532.4,227.2,3119.9,638.6,397.5,1605.1,2518.7,206.7,84.6,25.3
0.135172,424.7,27.6,2534.6,222.5,3101.1,582.0,397.8,1617.9,2524.7,206.3,84.5,24.8
0.137172,422.2,27.2,2534.5,226.9,3080.7,534.7,398.1,1630.8,2530.8,205.8,84.5,24.9
0.139172,420.2,26.6,2529.4,237.4,3057.6,498.2,398.4,1643.8,2536.9,205.3,84.4,25.3
0.141172,418.4,25.6,2515.0,250.6,3027.3,469.4,398.7,1656.8,2543.1,204.9,84.3,25.7
0.143172,416.9,24.1,2491.2,263.6,2988.3,454.5,399,1669.8,2549.3,204.4,84.1,25.8
0.145172,415.6,22.1,2456.1,279.9,2932.9,445.4,399.3,1682.9,2555.5,203.9,83.9,25.2
0.147172,414.2,20.2,2409.4,294.5,2870.3,416.4,399.7,1695.9,2561.7,203.3,83.6,23.4
0.149172,412.8,18.6,2360.5,289.3,2829.9,371.4,400,1709,2568,202.8,83.2,20.9
0.151172,411.1,17.9,2321.4,265.8,2818.5,346.7,400.4,1722.1,2574.2,202.3,82.6,18
0.153172,409.2,18.6,2300.8,253.2,2827.1,372.8,400.8,1735.2,2580.5,201.8,81.9,15.4
0.155172,406.3,22.5,2293.0,278.8,2841.6,495.2,401.2,1748.2,2586.8,201.2,81.1,13.4
0.157172,401.4,32.1,2297.3,364.5,2830.1,811.8,401.7,1761.2,2593.1,200.7,80.1,12.3
0.159172,393.6,47.7,2301.4,506.1,2672.5,1242.7,402.1,1774.2,2599.4,200.1,79.1,11.7
0.161172,384.2,65.4,2224.7,703.7,2564.7,1213.8,402.6,1787.2,2605.8,199.6,78.1,11.4
0.163172,378.4,79.5,2101.1,691.5,2695.6,1171.6,403.1,1800.1,2612.1,199,77.2,11.2
0.165172,377.4,91.8,2058.5,629.3,2784.0,1060.2,403.6,1813,2618.4,198.5,76.2,11
0.167172,380.4,105.7,2074.7,585.8,2777.0,945.5,404.2,1825.7,2624.7,198,75.3,14.2
0.169172,386.6,123.9,2119.6,538.3,2747.4,917.3,404.7,1838.5,2630.9,197.5,74.2,20.9
0.171172,397.7,148.9,2165.7,497.2,2703.7,960.5,405.3,1851.1,2637.2,197,73.2,26
0.173172,411.6,179.5,2204.5,499.8,2645.4,1044.7,405.9,1863.7,2643.5,196.6,72,24.3
0.175172,419.8,225.1,2266.4,546.2,2587.4,1275.9,406.6,1876.1,2649.7,196.1,70.9,10.8
0.177172,403.0,272.0,2343.3,585.5,2631.3,1937.6,407.2,1888.5,2655.9,195.7,69.8,-21.2
0.179172,373.7,243.2,2386.9,726.1,3103.7,2257.1,407.9,1900.7,2662.1,195.4,68.8,-68.5
0.181172,373.7,179.8,2342.8,1366.8,2772.6,1567.2,408.6,1912.9,2668.3,195.1,67.9,-120.7
0.183172,378.1,141.3,1965.4,1301.1,2829.9,924.0,409.3,1924.9,2674.4,194.8,67.2,-168
0.185172,374.1,122.7,1948.0,1206.2,2796.4,725.7,410,1936.8,2680.5,194.6,66.5,-200
0.187172,362.5,121.1,2029.9,1292.6,2759.3,659.0,410.8,1948.5,2686.5,194.4,65.8,-213.5
0.189172,345.0,130.8,2103.7,1581.7,2713.8,658.7,411.6,1960.1,2692.5,194.3,65.1,-215.2
0.191172,320.5,143.4,1809.4,2411.4,2647.0,610.2,412.4,1971.6,2698.5,194.3,64.1,-210.1
0.193172,297.1,155.0,1261.5,1407.4,2590.9,541.7,413.2,1982.9,2704.4,194.3,63,-203.4
0.195172,280.9,185.4,1265.6,931.3,2534.8,511.5,414.1,1994,2710.3,194.4,61.7,-200
0.197172,284.9,260.4,1281.9,837.4,2514.6,577.5,415,2005,2716.1,194.5,60.1,-200
0.199172,328.2,319.5,1336.5,892.4,2593.0,760.0,415.9,2015.8,2721.9,0,58.2,-200
0.201172,381.7,257.1,1409.6,752.6,2765.4,774.1,416.9,2026.4,2727.6,0,56.4,-200
0.203172,395.0,193.4,1411.5,564.4,2826.4,658.4,417.8,2036.8,2733.2,0,54.8,-200
0.205172,389.1,166.6,1387.1,440.9,2816.6,621.3,418.8,2047,2738.8,0,53.6,-200
0.207172,379.9,161.5,1359.4,381.4,2765.8,638.4,419.8,2057,2744.4,0,52.9,-200
0.209172,376.6,158.1,1337.3,375.0,2696.4,649.0,420.9,2066.8,2749.8,0,52.7,-200
0.211172,383.0,150.5,1322.8,413.8,2652.1,625.1,421.9,2076.4,2755.2,0,52.6,-200
0.213172,394.2,148.8,1317.4,475.0,2650.3,579.4,423,2085.8,2760.5,0,52.6,-200
0.215172,406.7,155.0,1321.4,539.3,2634.7,523.6,424.2,2095,2765.8,0,52.5,-200
0.217172,418.1,156.2,1339.9,605.6,2570.5,492.1,425.3,2103.9,2770.9,0,52.4,-200
0.219172,425.5,144.1,1376.8,679.2,2488.8,461.5,426.5,2112.6,2776,0,52.3,-200
0.221172,428.8,126.1,1455.4,770.2,2430.5,427.7,427.7,2121,2781,0,52.2,-200
0.223172,428.9,115.2,1582.3,837.0,2416.3,426.9,428.9,2129.2,2785.9,0,52.1,-200
0.225172,428.1,114.9,1710.3,835.5,2439.2,472.5,430.2,2137.2,2790.8,0,52,-200
0.227172,427.5,120.0,1763.3,829.5,2492.8,542.7,431.5,2144.9,2795.5,0,52,-200
0.229172,424.5,120.0,1736.6,882.5,2557.6,605.1,432.8,2152.4,2800.2,0,51.9,-200
0.231172,416.9,113.1,1642.4,983.1,2625.2,672.6,434.1,2159.6,2804.8,0,51.8,-200
0.233172,406.3,103.9,1523.4,1042.0,2689.2,774.4,435.5,2166.5,2809.3,0,51.7,-200
0.235172,394.0,94.2,1459.1,1045.9,2758.6,982.7,436.9,2173.2,2813.6,0,51.5,-200
0.237172,381.7,85.0,1481.3,1061.6,2798.9,1451.3,438.3,2179.6,2817.9,0,51.3,-200
0.239172,372.3,78.9,1517.8,1046.8,2645.4,1627.6,439.7,2185.7,2822.1,0,51.1,-200
0.241172,369.6,86.3,1605.2,1041.2,2698.3,1035.5,441.2,2191.6,2826.2,0,51,-200
0.243172,375.8,116.0,1956.1,786.5,2759.5,736.1,442.7,2197.1,2830.2,0,51.3,-200
0.245172,378.5,143.8,2078.1,344.8,2852.2,512.6,444.2,2202.4,2834.1,0,51.9,-200
0.247172,378.2,180.3,2086.6,189.1,2857.3,368.7,445.8,2207.4,2838,0,52.9,-203.3
0.249172,385.6,277.1,2088.3,130.7,2853.5,296.4,447.3,2212.1,2841.6,0,54.5,-209.8
0.251172,394.2,404.9,2089.3,109.8,2854.0,262.8,448.9,2216.5,2845.2,0,56.3,-214.7
0.253172,395.5,490.6,2089.1,103.0,2854.5,245.3,450.6,2220.7,2848.7,0,58.2,-213
0.255172,387.2,546.9,2088.7,102.4,2855.2,230.7,452.2,2224.5,2852.1,0,60.1,-200
0.257172,370.7,581.9,2089.9,106.4,2856.9,214.8,453.9,2228.1,2855.4,0,62.1,-169
0.259172,353.7,552.4,2094.6,113.6,2859.6,196.9,455.6,2231.3,2858.6,0,64.2,-123.2
0.261172,346.1,382.0,2105.7,123.5,2864.5,179.3,457.3,2234.3,2861.6,0,66.3,-72.6
0.263172,337.4,186.2,2126.2,138.4,2875.6,169.7,459.1,2236.9,2864.6,0,68.3,-27.1
0.265172,330.0,77.9,2164.9,166.4,2899.9,167.6,460.9,2239.3,2867.4,0,69.9,3.6
0.267172,331.4,42.9,2225.9,208.0,2934.0,165.5,462.7,2241.3,2870.1,0,71.2,15.7
0.269172,338.3,37.4,2304.9,248.1,2962.1,164.7,464.5,2243.1,2872.7,0,72.2,15.8
0.271172,349.0,41.4,2407.5,251.9,2989.7,187.3,466.3,2244.6,2875.3,0,72.8,9.4
0.273172,361.0,47.2,2478.4,187.8,3029.3,214.8,468.2,2245.7,2877.7,0,73.2,1.9
0.275172,376.2,53.9,2500.2,144.3,3054.6,230.1,470.1,2246.6,2879.9,0,73.3,-1.2
0.277172,393.8,62.2,2503.9,126.8,3054.3,241.1,472,2247.1,2882.1,220.3,73.4,0.4
0.279172,404.3,70.7,2503.6,117.0,3041.1,246.6,473.9,2247.4,2884.2,220.9,73.5,3.1
0.281172,404.3,78.2,2502.8,115.4,3024.2,260.8,475.9,2247.4,2886.1,221.5,73.8,6.3
0.283172,396.9,82.3,2500.8,127.1,3005.2,293.6,477.9,2247,2888,222.1,74,9.4
0.285172,386.8,82.3,2496.9,153.6,2981.3,336.3,479.9,2246.4,2889.7,222.6,74.4,11.7
0.287172,380.1,78.6,2496.0,182.5,2963.0,358.8,481.9,2245.5,2891.3,223.1,74.8,13.2
0.289172,378.8,72.8,2502.8,201.6,2956.8,372.8,483.9,2244.3,2892.8,223.7,75.1,14.2
0.291172,380.8,66.0,2514.7,216.8,2957.0,407.6,486,2242.8,2894.2,224.2,75.5,15
0.293172,383.6,59.8,2523.8,232.3,2958.1,476.8,488,2241,2895.5,224.7,75.7,15.6
0.295172,386.7,54.7,2526.1,250.3,2949.1,596.6,490.1,2238.9,2896.6,225.2,76,16
0.297172,389.9,51.5,2520.1,265.6,2905.5,727.9,492.2,2236.5,2897.7,225.7,76.2,16.4
0.299172,393.7,50.1,2506.7,266.9,2862.2,734.6,494.4,2233.9,2898.6,226.2,76.4,16.5
0.301172,398.9,50.1,2490.0,243.4,2873.4,664.9,496.5,2231,2899.5,226.7,76.5,16.4
0.303172,405.2,50.6,2479.8,205.7,2907.1,597.1,498.6,2227.8,2900.2,227.2,76.7,16.4
0.305172,412.7,51.2,2476.4,166.1,2944.9,543.5,500.8,2224.3,2900.8,227.7,76.9,16.3
0.307172,420.4,51.2,2477.0,133.0,2983.0,500.4,503,2220.5,2901.4,228.2,77.2,16.3
0.309172,427.3,49.9,2478.9,109.1,3015.8,463.4,505.2,2216.5,2901.8,228.6,77.6,16.2
0.311172,434.1,46.8,2480.3,92.7,3039.1,434.1,507.4,2212.3,2902.1,229.1,78,16.1
0.313172,440.4,42.6,2480.0,84.9,3045.8,420.2,509.6,2207.7,2902.3,229.6,78.5,16
0.315172,446.4,37.7,2477.3,84.5,3033.8,420.4,511.9,2202.9,2902.4,230,79.2,15.9
0.317172,451.3,33.1,2472.4,90.8,3003.8,431.2,514.1,2197.9,2902.4,230.5,79.9,15.8
0.319172,455.4,29.2,2466.6,100.8,2965.5,446.8,516.4,2192.6,2902.3,230.9,80.6,15.8
0.321172,459.7,25.5,2460.4,113.6,2924.1,464.1,518.6,2187.1,2902.1,231.4,81.4,15.7
0.323172,464.0,22.1,2454.6,128.3,2888.0,471.3,520.9,2181.3,2901.9,231.8,82.3,15.5
0.325172,468.5,19.1,2447.4,147.0,2859.6,453.9,523.2,2175.3,2901.5,232.3,83.1,15.1
0.327172,472.7,16.9,2437.7,168.8,2843.4,417.5,525.5,2169.1,2901,232.7,83.9,14.6
0.329172,476.7,15.5,2424.8,192.3,2834.8,388.1,527.8,2162.6,2900.4,233.1,84.7,13.8
0.331172,480.6,14.8,2404.7,217.4,2827.1,375.9,530.1,2156,2899.8,233.5,85.3,12.9
0.333172,484.2,14.7,2378.3,235.0,2819.9,380.0,532.4,2149.1,2899,233.9,85.8,12.1
0.335172,487.7,15.3,2348.0,238.8,2816.1,397.4,534.7,2142,2898.2,234.3,86.2,11.3
0.337172,490.9,16.9,2322.1,227.3,2822.3,423.0,537,2134.7,2897.3,234.7,86.3,10.7
0.339172,493.8,19.6,2304.4,207.5,2841.1,443.4,539.3,2127.2,2896.3,235.1,86.2,10
0.341172,496.9,24.7,2292.3,186.1,2870.9,445.0,541.6,2119.5,2895.2,235.4,85.9,9.4
0.343172,500.5,32.9,2284.1,170.5,2895.6,422.7,543.9,2111.6,2894,235.8,85.4,8.8
0.345172,506.4,48.0,2277.0,162.4,2906.5,389.9,546.3,2103.6,2892.8,236.1,84.7,8.5
0.347172,517.9,72.6,2271.0,165.8,2904.5,363.8,548.6,2095.3,2891.4,236.5,84,8.3
0.349172,536.9,100.1,2265.3,180.8,2892.7,351.2,550.9,2086.9,2890,236.8,83.2,8.2
0.351172,561.2,117.4,2255.5,203.8,2871.6,347.6,553.2,2078.4,2888.6,237.2,82.4,8.2
0.353172,583.0,119.6,2239.1,221.4,2827.1,2641.0,555.5,2069.7,2887,237.5,81.9,8.4
0.355172,605.3,114.9,2215.4,224.4,2753.0,2821.7,557.8,2060.8,2885.4,237.8,81.6,8.7
0.357172,629.4,106.9,2188.4,212.0,2723.4,3136.3,560.1,2051.8,2883.7,238.1,81.5,9.2
0.359172,651.9,96.4,2163.3,191.7,2797.7,3652.4,562.4,2042.7,2882,238.4,81.6,9.9
0.361172,670.8,83.6,2143.0,171.6,2804.0,213.0,564.7,2033.4,2880.2,238.7,81.7,10.7
0.363172,682.9,71.2,2130.7,161.1,2801.2,205.9,567,2024,2878.3,239,82,11.5
0.365172,690.8,59.9,2122.1,161.9,2805.7,216.6,569.3,2014.5,2876.4,239.2,82.3,12.2
0.367172,696.3,51.4,2112.2,172.4,2817.2,232.5,571.6,2004.9,2874.5,239.5,82.6,12.8
0.369172,700.6,45.9,2096.3,185.7,2817.8,3200.5,573.8,1995.1,2872.4,239.7,82.9,13.3
0.371172,704.5,42.0,2071.1,193.6,2827.3,227.4,576.1,1985.3,2870.4,239.9,83.2,13.8
0.373172,708.2,39.3,2041.9,190.5,2815.9,211.1,578.3,1975.4,2868.2,240.1,83.5,14.3
0.375172,712.0,36.7,2011.5,180.1,2796.5,193.8,580.5,1965.4,2866.1,240.3,83.7,14.8
0.377172,715.5,34.3,1983.1,168.8,2772.4,180.3,582.8,1955.4,2863.9,240.4,83.9,15.3
0.379172,718.5,32.5,1958.2,158.8,2746.6,169.1,585,1945.2,2861.6,240.6,84.1,15.9
0.381172,721.2,31.6,1935.5,148.7,2720.4,156.6,587.1,1935,2859.3,240.6,84.2,16.5
0.383172,723.2,31.6,1915.8,140.7,2700.4,147.4,589.3,1924.8,2857,240.7,84.3,17
0.385172,724.6,32.1,1893.7,138.1,2687.0,147.6,591.5,1914.5,2854.6,240.7,84.4,17.6
0.387172,725.2,32.8,1866.2,140.6,2680.0,157.0,593.6,1904.2,2852.2,240.7,84.4,18.2
0.389172,725.2,33.5,1834.4,141.7,2677.5,166.1,595.7,1893.8,2849.8,240.7,84.4,19
0.391172,724.9,34.2,1800.1,135.0,2677.3,169.6,597.8,1883.4,2847.4,240.7,84.4,19.7
