time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025516,535.7,29.6,1176.3,264.3,1683.3,952.3,461.3,1417,1763,264.3,82.6,8.7
0.027516,535.9,28.4,1217.1,250.3,1703.3,1031.7,461.4,1417,1763.2,264.3,83.3,9.6
0.029516,535.6,28.3,1256.4,211.4,1791.4,1117.3,461.6,1417.2,1763.4,264.4,83.7,10.5
0.031516,535.1,29.3,1281.2,173.5,1905.9,1097.4,461.8,1417.3,1763.7,264.5,84,11.4
0.033516,535.6,32.4,1298.1,147.8,1990.3,1006.4,462.1,1417.5,1764.1,264.6,84,12.4
0.035516,537.7,38.1,1310.0,138.5,2019.6,952.1,462.4,1417.7,1764.6,264.7,83.9,13.4
0.037516,541.8,46.6,1319.5,143.1,2009.7,961.6,462.8,1418,1765.2,264.9,83.7,14.6
0.039516,547.7,57.4,1329.4,159.4,1977.2,1004.6,463.3,1418.3,1765.8,265,83.5,16
0.041516,554.4,68.0,1341.7,184.8,1932.2,1041.0,463.8,1418.7,1766.6,265.2,83.3,17.3
0.043516,561.5,77.1,1360.3,223.1,1871.7,1038.6,464.4,1419.1,1767.4,265.5,83.1,18.4
0.045516,567.6,82.9,1388.4,272.9,1804.6,986.3,465,1419.5,1768.3,265.7,83,19.1
0.047516,572.4,86.5,1433.8,325.1,1733.8,928.5,465.7,1420,1769.3,266,82.9,19.3
0.049516,575.8,89.2,1503.1,329.3,1657.4,957.8,466.5,1420.5,1770.4,266.3,83,19.2
0.051516,577.5,90.7,1552.7,251.6,1618.9,1117.8,467.3,1421.1,1771.6,266.6,83,18.8
0.053516,578.0,91.1,1574.0,172.7,1624.1,1322.4,468.1,1421.6,1772.8,267,83.2,18.2
0.055516,578.0,90.8,1584.3,121.7,1648.5,1515.0,469.1,1422.3,1774.1,267.3,83.4,17.5
0.057516,578.8,90.1,1592.1,92.0,1682.7,1699.6,470,1422.9,1775.6,267.7,83.6,16.5
0.059516,580.7,88.1,1599.8,74.2,1746.8,1905.2,471.1,1423.6,1777,268.2,83.8,15.1
0.061516,582.6,85.5,1606.5,62.8,1876.0,2042.5,472.2,1424.3,1778.6,268.6,84,13.7
0.063516,582.9,83.5,1612.1,54.3,1982.6,1929.5,473.3,1425.1,1780.2,269,84.2,12.5
0.065516,580.6,83.4,1616.5,49.2,1962.7,1778.5,474.5,1425.9,1781.9,269.5,84.4,11.9
0.067516,576.5,83.8,1620.3,46.7,1896.2,1686.3,475.7,1426.7,1783.7,270,84.5,12.1
0.069516,572.4,82.5,1623.8,45.4,1862.9,1602.1,477,1427.6,1785.5,270.4,84.6,12.9
0.071516,568.9,79.3,1626.7,44.4,1873.5,1518.9,478.3,1428.4,1787.5,270.9,84.7,13.9
0.073516,565.2,74.7,1630.0,43.6,1884.8,1426.5,479.7,1429.3,1789.4,271.4,84.8,15
0.075516,561.6,69.1,1634.1,43.6,1859.3,1345.2,481.1,1430.2,1791.5,271.9,84.8,15.7
0.077516,558.7,62.4,1639.7,44.6,1797.7,1281.9,482.6,1431.2,1793.6,272.4,84.9,16
0.079516,556.7,56.0,1646.1,46.5,1731.7,1224.8,484.1,1432.2,1795.7,272.9,85,16.2
0.081516,555.4,51.6,1651.8,49.1,1690.9,1182.3,485.7,1433.1,1798,273.4,85,16.3
0.083516,554.7,48.6,1656.5,52.4,1668.1,1167.6,487.2,1434.1,1800.2,274,85.1,16.4
0.085516,554.6,45.9,1642.7,1193.3,1661.0,55.7,488.9,1435.2,1802.6,274.5,85.1,16.6
0.087516,555.3,42.2,1604.0,1244.9,1666.6,59.0,490.5,1436.2,1805,275,85.2,17.1
0.089516,556.0,37.7,1574.7,1285.4,1673.7,63.5,492.2,1437.2,1807.4,275.5,85.2,17.6
0.091516,556.3,33.7,1570.0,1290.4,1682.3,70.1,493.9,1438.3,1809.9,276.1,85.2,18.2
0.093516,556.3,30.5,1570.9,1259.3,1694.1,79.7,495.7,1439.4,1812.4,276.6,85.2,18.7
0.095516,555.9,28.7,1566.7,1213.1,1708.6,91.9,497.5,1440.4,1815,277.2,85.2,18.9
0.097516,555.1,27.9,1569.7,1157.0,1725.5,108.8,499.3,1441.5,1817.6,277.7,85,18.9
0.099516,554.0,27.7,1582.6,1072.8,1746.5,134.2,501.1,1442.6,1820.2,278.3,84.8,18.8
0.101516,552.7,27.7,1587.2,966.9,1774.0,167.0,503,1443.7,1822.9,278.9,84.6,18.5
0.103516,551.3,28.3,1579.1,823.5,1812.6,209.4,504.9,1444.8,1825.6,279.5,84.2,18.1
0.105516,550.2,29.8,1568.6,602.0,1861.9,261.0,506.8,1445.9,1828.4,280.1,83.7,17.4
0.107516,549.9,33.0,1549.7,387.6,1913.6,276.3,508.7,1447,1831.1,280.7,83.1,16.2
0.109516,549.6,39.9,1538.8,275.5,1932.4,261.2,510.7,1448.1,1833.9,281.3,82.4,14.5
0.111516,547.0,52.7,1536.0,250.6,1922.4,266.0,512.6,1449.1,1836.8,282,81.8,12.7
0.113516,538.3,79.8,1542.9,314.4,1885.8,323.1,514.6,1450.2,1839.6,282.6,81.4,11.5
0.115516,519.3,134.0,1610.1,689.2,1754.8,368.4,516.6,1451.3,1842.5,283.3,81.1,11.3
0.117516,478.0,230.0,1049.7,1998.5,1732.9,223.7,518.6,1452.3,1845.3,284,81,12.4
0.119516,398.3,256.5,736.6,689.0,1746.1,222.4,520.6,1453.3,1848.2,284.7,81.1,14.7
0.121516,371.4,225.2,776.3,604.2,1758.1,263.4,522.6,1454.3,1851.1,285.4,81.2,17.4
0.123516,366.0,209.5,821.8,724.0,1749.2,285.0,524.6,1455.3,1854,286.1,81.3,20
0.125516,363.7,191.6,893.5,945.7,1728.9,284.4,526.6,1456.3,1856.9,286.9,81.5,21.8
0.127516,359.7,169.4,983.8,1197.1,1708.1,283.3,528.6,1457.3,1859.8,287.6,81.6,22.8
0.129516,355.6,149.6,1064.1,1473.3,1692.1,284.4,530.6,1458.2,1862.7,288.3,81.7,23.3
0.131516,352.5,136.6,1143.3,1714.8,1690.1,291.1,532.6,1459.1,1865.6,289.1,81.8,23.5
0.133516,348.1,127.4,1121.6,1651.4,1711.5,303.2,534.6,1460,1868.5,289.9,81.9,23.6
0.135516,341.5,119.9,990.9,1285.2,1749.2,302.6,536.6,1460.8,1871.4,290.6,81.9,23.8
0.137516,337.2,115.0,924.1,1039.5,1775.2,288.9,538.6,1461.7,1874.3,291.4,81.9,24.2
0.139516,338.6,116.8,875.1,999.9,1772.4,267.3,540.6,1462.5,1877.2,292.2,81.9,24.6
0.141516,344.1,123.4,816.3,1040.6,1751.6,241.9,542.6,1463.2,1880,293,81.9,24.9
0.143516,350.4,130.4,759.0,1057.5,1728.7,222.3,544.5,1463.9,1882.9,293.8,81.9,25.2
0.145516,354.0,133.6,736.9,1069.9,1712.5,225.1,546.4,1464.6,1885.7,294.6,81.8,25.2
0.147516,354.8,130.9,755.5,1188.9,1704.6,257.2,548.3,1465.2,1888.5,295.4,81.8,25.1
0.149516,352.9,121.2,880.4,1674.7,1702.0,324.5,550.2,1465.8,1891.2,296.3,81.7,24.7
0.151516,348.1,106.0,1552.7,1495.5,1690.6,455.6,552.1,1466.4,1894,297.1,81.7,24.3
0.153516,339.6,87.4,1544.1,524.3,1899.9,782.2,553.9,1466.9,1896.7,298,81.5,23.9
0.155516,331.5,73.2,1509.9,406.9,1963.3,634.2,555.8,1467.4,1899.3,298.9,81.4,23.5
0.157516,329.2,70.6,1508.8,385.4,1937.3,617.7,557.5,1467.8,1902,299.8,81.2,23.2
0.159516,334.9,81.8,1514.9,425.1,1863.7,630.3,559.3,1468.2,1904.6,300.7,81,22.8
