time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025609,514.7,116.9,1618.7,497.1,2651.5,797.6,410.8,1707.3,2470.4,265.3,69.2,-168.4
0.027609,519.8,86.0,1534.3,538.2,2611.9,918.9,410.8,1707.3,2470.5,264,71.7,-121.8
0.029609,526.0,65.2,1468.3,527.2,2540.8,899.4,410.9,1707.3,2470.6,262.6,73.8,-70.3
0.031609,529.9,48.2,1430.4,449.8,2476.0,757.5,410.9,1707.3,2470.7,261.2,75.7,-23.7
0.033609,531.0,37.6,1429.2,352.9,2450.4,642.1,411.1,1707.3,2470.9,259.8,77.4,7.9
0.035609,529.3,31.0,1438.8,266.5,2435.6,536.1,411.2,1707.3,2471.2,258.4,78.8,21
0.037609,525.0,26.7,1446.3,198.2,2424.3,415.1,411.3,1707.3,2471.5,256.9,80,22.5
0.039609,519.7,24.0,1449.9,152.5,2415.4,319.3,411.5,1707.3,2471.8,255.4,80.9,17.3
0.041609,513.9,22.9,1452.4,121.3,2405.3,251.5,411.7,1707.3,2472.2,253.9,81.5,10.5
0.043609,508.5,23.8,1454.5,104.4,2395.6,209.8,412,1707.3,2472.6,252.4,81.9,7.2
0.045609,502.8,26.8,1455.8,98.4,2386.8,188.8,412.2,1707.3,2473,250.9,82.2,7.6
0.047609,495.9,31.7,1457.5,102.4,2380.1,195.3,412.5,1707.3,2473.5,249.5,82.2,8.2
0.049609,488.0,37.0,1464.6,115.7,2373.2,245.5,412.8,1707.3,2474.1,248.1,82.1,8.8
0.051609,479.9,42.2,1490.7,132.0,2350.3,321.8,413.1,1707.3,2474.6,246.8,82,9.4
0.053609,473.3,45.1,1534.8,128.3,2329.9,334.1,413.5,1707.2,2475.3,245.5,81.8,9.8
0.055609,467.5,45.6,1571.8,102.6,2329.1,291.6,413.9,1707.2,2475.9,244.2,81.6,9.9
0.057609,461.7,45.3,1592.1,78.9,2334.3,243.7,414.3,1707.3,2476.6,243.1,81.3,10
0.059609,456.3,44.4,1602.0,66.7,2338.3,218.1,414.7,1707.3,2477.4,242,81,9.8
0.061609,450.6,43.2,1609.7,63.2,2342.2,216.1,415.1,1707.3,2478.2,241,80.5,9.6
0.063609,443.9,44.8,1618.2,67.3,2352.0,237.5,415.6,1707.3,2479,240.1,79.9,9.3
0.065609,433.1,53.2,1628.2,78.3,2376.9,274.4,416.1,1707.3,2479.9,239.2,79.2,8.6
0.067609,411.1,72.9,1636.1,96.2,2418.2,319.4,416.6,1707.3,2480.8,238.5,78.4,7.5
0.069609,375.8,99.6,1635.9,120.4,2464.1,358.5,417.1,1707.4,2481.7,237.8,77.8,6.4
0.071609,340.9,114.7,1628.9,159.8,2492.9,374.4,417.7,1707.4,2482.7,237.1,77.4,5.7
0.073609,328.2,114.4,1632.4,230.9,2498.9,394.3,418.2,1707.4,2483.7,236.6,77.4,5.8
0.075609,334.2,112.1,1668.8,340.6,2514.6,448.0,418.8,1707.5,2484.7,236.1,77.6,7
0.077609,354.2,110.0,1749.0,459.2,2575.6,512.5,419.5,1707.6,2485.8,235.7,77.9,9.2
0.079609,381.8,106.6,1849.0,518.8,2652.8,495.5,420.1,1707.6,2486.9,235.3,78.3,11.7
0.081609,410.1,97.2,1925.4,533.3,2684.7,456.4,420.8,1707.7,2488.1,235,78.7,13.9
0.083609,428.7,82.6,1948.0,601.8,2670.0,476.1,421.4,1707.8,2489.3,234.7,79.1,15.1
0.085609,437.7,67.0,1888.7,786.3,2602.9,516.7,422.1,1707.9,2490.5,234.4,79.3,15.1
0.087609,441.9,54.0,1714.3,826.7,2524.5,436.8,422.8,1708,2491.8,234.2,79.4,14.3
0.089609,443.9,47.2,1647.4,701.9,2509.4,336.1,423.6,1708.2,2493,234,79.3,13
0.091609,443.6,46.1,1652.0,613.7,2520.0,274.6,424.3,1708.3,2494.4,233.9,79,11.8
0.093609,438.3,50.3,1673.5,538.5,2538.7,245.9,425.1,1708.5,2495.7,233.7,78.5,10.9
0.095609,423.5,60.0,1686.0,444.2,2563.3,234.5,425.9,1708.7,2497.1,233.6,77.8,10.2
0.097609,392.5,75.5,1688.3,334.8,2596.8,230.2,426.7,1708.9,2498.5,233.5,77.2,9.6
0.099609,349.0,87.1,1686.1,240.1,2634.8,228.9,427.6,1709.1,2499.9,233.4,76.6,9.2
0.101609,303.8,80.6,1681.8,177.3,2677.8,248.9,428.4,1709.3,2501.4,233.4,76.2,9
0.103609,271.9,58.5,1677.3,162.5,2721.1,326.4,429.3,1709.6,2502.9,233.4,75.9,9.3
0.105609,252.4,36.8,1671.2,187.6,2744.9,478.6,430.2,1709.9,2504.4,233.4,75.7,10.2
0.107609,242.3,23.5,1660.7,248.9,2707.2,596.3,431.1,1710.2,2505.9,233.5,75.5,11.7
0.109609,239.0,18.8,1643.9,353.0,2665.2,576.6,432,1710.5,2507.5,233.6,75.3,13.4
0.111609,238.9,19.8,1609.5,525.9,2620.7,554.0,432.9,1710.9,2509,233.7,75,15.1
0.113609,240.4,25.3,1549.6,755.3,2544.4,551.6,433.8,1711.2,2510.6,233.9,74.5,16.5
0.115609,242.9,34.7,1469.0,1008.1,2459.3,514.5,434.8,1711.6,2512.3,234.2,73.8,21.3
0.117609,245.4,45.6,1413.4,1206.7,2407.6,466.0,435.8,1712.1,2513.9,234.6,73,29.5
0.119609,246.8,53.0,1429.0,1264.1,2390.1,453.9,436.8,1712.5,2515.6,235.1,72,35.9
0.121609,247.0,57.1,1483.8,1179.6,2393.3,477.5,437.8,1713,2517.3,235.6,71,35
0.123609,246.3,61.1,1516.5,1057.6,2413.0,522.5,438.8,1713.5,2519,236.2,69.8,21.5
0.125609,245.1,66.7,1526.4,980.6,2453.4,589.8,439.8,1714.1,2520.7,237,68.8,-11.9
0.127609,244.7,72.2,1530.5,966.4,2514.3,676.1,440.8,1714.6,2522.5,237.8,67.9,-61.5
0.129609,247.2,72.4,1543.6,1015.6,2557.2,766.2,441.9,1715.2,2524.2,238.8,67.2,-116.5
0.131609,251.4,66.3,1576.7,1100.7,2564.7,859.9,443,1715.9,2526,239.8,66.7,-166.3
0.133609,253.2,57.2,1617.4,1119.7,2579.8,887.0,444,1716.6,2527.8,241,66.4,-200
0.135609,252.7,51.1,1680.3,1025.0,2638.7,825.5,445.1,1717.3,2529.6,242.3,66.1,-217.4
0.137609,253.2,59.5,1876.7,927.3,2629.0,736.7,446.2,1718,2531.4,243.7,65.9,-225.7
0.139609,257.9,94.9,2065.3,681.4,2546.7,606.9,447.3,1718.8,2533.2,245.3,65.7,-225.3
0.141609,266.9,197.1,2052.4,500.3,2498.2,379.6,448.4,1719.6,2535.1,246.9,65.6,-216.6
0.143609,266.4,442.7,2028.8,443.7,2470.5,275.4,449.6,1720.5,2536.9,248.6,65.7,-200
0.145609,283.4,740.1,2011.9,442.8,2451.8,230.3,450.7,1721.4,2538.8,250.4,66.2,-169.1
0.147609,420.6,798.5,2004.5,424.6,2444.0,199.4,451.8,1722.4,2540.6,252.2,66.9,-123.5
0.149609,521.8,742.3,2009.5,408.3,2442.9,183.4,453,1723.3,2542.5,254.1,67.8,-73
0.151609,578.9,705.6,2025.3,411.2,2446.3,182.8,454.1,1724.4,2544.4,0,68.5,-27.5
0.153609,617.3,705.2,2053.7,432.9,2455.1,201.0,455.3,1725.4,2546.3,0,69,3.2
0.155609,655.4,729.6,2098.4,461.4,2471.6,243.3,456.5,1726.6,2548.2,0,69.2,15.9
0.157609,699.9,766.7,2157.6,466.0,2503.2,319.7,457.7,1727.7,2550.1,0,69.3,17
0.159609,743.8,804.8,2201.6,418.2,2567.6,409.8,458.8,1728.9,2552,0,69.4,11.6
0.161609,777.3,838.0,2210.3,361.6,2662.7,432.8,460,1730.2,2553.9,0,69.6,4.6
0.163609,781.5,874.2,2209.1,331.2,2722.7,394.0,461.2,1731.5,2555.9,0,70.2,1
0.165609,750.2,948.7,2218.9,312.3,2742.7,357.2,462.4,1732.8,2557.8,0,71.1,0.8
0.167609,648.7,994.4,2235.0,296.9,2737.5,330.8,463.6,1734.2,2559.7,271.7,72.4,0.5
0.169609,516.4,700.1,2248.3,284.2,2714.5,310.4,464.8,1735.6,2561.7,273.4,73.8,0.4
0.171609,457.0,330.9,2272.0,267.8,2686.2,300.8,466,1737.1,2563.6,275.1,75.1,0.6
0.173609,440.0,165.0,2310.3,239.4,2678.1,334.3,467.2,1738.7,2565.5,276.6,76.3,1.1
0.175609,446.5,111.6,2318.5,211.8,2685.8,379.5,468.4,1740.2,2567.5,278.1,77.3,2
0.177609,462.8,92.9,2291.3,206.3,2672.1,385.5,469.6,1741.9,2569.4,279.4,78.2,3.2
0.179609,479.2,82.5,2265.7,201.8,2637.9,362.5,470.8,1743.6,2571.3,280.7,78.8,4.7
0.181609,493.3,74.8,2248.9,191.7,2603.4,322.8,472,1745.3,2573.3,281.8,79.4,6.3
0.183609,503.7,70.5,2238.5,177.5,2587.3,286.8,473.3,1747.1,2575.2,282.9,79.9,8
0.185609,512.3,68.6,2230.8,164.2,2586.5,263.0,474.5,1748.9,2577.2,283.8,80.3,9.9
0.187609,520.5,67.5,2221.8,156.3,2593.0,250.4,475.7,1750.8,2579.1,284.7,80.6,12
