time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025875,408.3,113.1,1613.7,402.3,2938.3,653.7,513.2,1716.1,2567.2,0,60.4,-187.1
0.027875,377.4,132.7,1571.6,388.3,2966.6,694.5,513.2,1716,2567.2,0,60.8,-148
0.029875,387.0,139.5,1622.5,396.7,2963.1,593.3,513.2,1716,2567.3,0,62.5,-99.2
0.031875,416.3,124.5,1675.5,391.9,2946.8,526.0,513.2,1715.9,2567.4,0,64.6,-50.4
0.033875,434.4,104.9,1695.8,386.4,2921.6,496.5,513.3,1715.9,2567.5,0,66.6,-11.2
0.035875,442.2,92.0,1702.3,396.0,2903.3,492.4,513.3,1715.8,2567.7,0,68.5,10.1
0.037875,448.2,85.4,1708.7,433.6,2894.0,517.1,513.3,1715.7,2567.9,0,70,17
0.039875,457.2,84.1,1717.7,519.7,2889.0,569.6,513.3,1715.6,2568.1,0,71.4,15.1
0.041875,468.2,83.5,1726.3,670.5,2871.9,617.5,513.4,1715.5,2568.3,0,72.4,9.3
0.043875,475.9,80.2,1728.1,882.2,2829.8,610.1,513.4,1715.3,2568.6,0,73.3,4.4
0.045875,477.8,75.1,1728.2,1016.1,2792.7,538.6,513.5,1715.2,2568.9,0,74,4.5
0.047875,476.8,70.8,1750.2,984.4,2781.6,444.9,513.5,1715,2569.2,0,74.6,6.1
0.049875,476.2,69.0,1783.2,853.1,2793.9,360.1,513.6,1714.8,2569.5,0,75.2,8
0.051875,476.7,68.5,1799.0,738.2,2818.0,306.1,513.6,1714.6,2569.9,0,75.8,9.7
0.053875,474.7,69.2,1801.7,637.7,2847.2,290.0,513.7,1714.4,2570.3,0,76.5,10.8
0.055875,468.5,69.4,1797.8,527.0,2867.4,296.3,513.7,1714.2,2570.7,0,77.2,11
0.057875,463.7,66.7,1784.7,416.6,2873.8,305.9,513.8,1714,2571.2,207.3,78,10
0.059875,470.2,64.5,1771.3,312.4,2872.6,298.6,513.9,1713.7,2571.7,207.2,78.7,8.5
0.061875,487.3,64.1,1762.9,221.6,2870.4,268.2,514,1713.5,2572.2,207.2,79.5,6.8
0.063875,510.5,65.8,1755.5,151.3,2864.2,226.7,514,1713.2,2572.7,207.2,80.1,5.5
0.065875,535.8,69.3,1749.3,112.0,2854.5,195.1,514.1,1713,2573.3,207.2,80.6,4.6
0.067875,564.9,70.8,1743.6,90.5,2843.9,173.6,514.2,1712.7,2573.9,207.2,81.1,4
0.069875,591.4,65.5,1738.4,79.1,2834.5,160.3,514.3,1712.4,2574.5,207.2,81.5,3.5
0.071875,608.3,55.7,1733.5,73.7,2826.9,154.0,514.4,1712.1,2575.1,207.2,82,3.4
0.073875,616.2,45.8,1728.3,72.6,2821.5,153.2,514.5,1711.8,2575.8,207.1,82.5,3.7
0.075875,618.8,38.7,1722.6,74.5,2820.6,154.1,514.6,1711.4,2576.5,207.1,82.9,4.8
0.077875,620.1,33.9,1715.8,77.0,2825.1,148.3,514.7,1711.1,2577.2,207.1,83.3,6.9
0.079875,621.5,31.6,1708.9,78.0,2833.1,132.2,514.8,1710.8,2577.9,207.1,83.6,9.5
0.081875,623.1,31.3,1703.5,77.5,2840.0,114.1,514.9,1710.4,2578.7,207.1,83.9,12.2
0.083875,624.8,32.6,1699.8,76.2,2843.9,101.1,515,1710.1,2579.5,207.1,84,14.6
0.085875,625.9,35.3,1697.8,74.3,2844.6,98.2,515.2,1709.7,2580.3,207.2,84.1,16.3
