time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025078,362.9,3391.7,378.4,128.9,1939.1,302.3,419.5,2140,2566.7,240.7,71.1,15
0.027078,377.8,135.5,1946.8,285.3,3500.8,1528.1,419.5,2139.8,2566.7,239.8,72.6,21.3
0.029078,378.6,138.3,1967.9,271.5,3521.4,2579.9,419.6,2139.5,2566.8,238.9,73.8,18.4
0.031078,378.3,139.8,2002.7,253.6,2633.2,3306.2,419.6,2139.2,2566.8,237.9,74.8,11.5
0.033078,376.2,141.1,2045.9,211.3,2260.7,3268.3,419.6,2138.7,2566.9,236.9,75.6,6
0.035078,376.5,141.0,2075.9,159.1,2106.7,3241.1,419.7,2138.1,2567,235.9,76.4,6
0.037078,382.1,136.5,2088.2,130.1,2136.7,2784.5,419.7,2137.4,2567.1,234.9,77.1,8.1
0.039078,385.8,130.9,2091.4,126.7,2179.2,2420.2,419.8,2136.6,2567.2,233.9,77.8,10.8
0.041078,382.4,128.9,2094.3,143.9,2192.4,2219.4,419.8,2135.7,2567.4,232.9,78.5,13.4
0.043078,373.4,129.9,2107.0,199.0,2141.1,1829.7,419.9,2134.7,2567.5,231.9,79.2,15.1
0.045078,367.4,130.7,2036.3,1140.3,2153.3,312.8,420,2133.6,2567.7,230.9,79.8,15.1
0.047078,368.5,131.7,1915.9,648.4,2257.2,328.5,420,2132.4,2567.9,230,80.4,13.4
0.049078,371.3,131.4,1886.6,477.2,2290.0,264.1,420.1,2131.1,2568.1,229,80.9,10.8
0.051078,374.6,128.2,1884.6,415.7,2294.6,234.3,420.2,2129.7,2568.3,228.2,81.3,8.2
0.053078,381.4,123.9,1888.9,413.3,2292.6,228.4,420.3,2128.2,2568.5,227.3,81.8,6.6
0.055078,390.1,120.4,1898.1,441.1,2293.8,236.4,420.4,2126.6,2568.8,226.5,82.3,6.7
0.057078,397.7,119.0,1913.7,464.9,2308.9,251.6,420.6,2124.9,2569.1,225.8,82.8,8.2
0.059078,402.9,119.2,1931.7,434.4,2341.8,256.3,420.7,2123.1,2569.3,225.1,83.2,10.7
0.061078,406.9,118.5,1949.8,363.9,2375.6,241.2,420.8,2121.2,2569.6,224.4,83.6,13.4
0.063078,411.3,116.0,1965.2,309.0,2394.1,221.1,420.9,2119.2,2569.9,223.9,83.9,15.9
0.065078,416.8,112.1,1976.5,283.9,2401.6,206.7,421.1,2117.2,2570.3,223.3,84.2,17.7
0.067078,421.7,107.5,1983.9,274.1,2407.5,195.4,421.2,2115,2570.6,222.8,84.3,19.4
0.069078,423.6,103.9,1987.2,266.4,2416.8,187.3,421.4,2112.7,2571,222.4,84.5,20.9
0.071078,422.7,102.2,1991.5,262.4,2429.3,189.9,421.5,2110.3,2571.3,222,84.6,22.2
0.073078,420.7,102.6,2005.5,278.0,2439.7,217.9,421.7,2107.9,2571.7,221.6,84.7,23.2
0.075078,418.5,104.4,2034.3,312.1,2443.7,279.1,421.9,2105.4,2572.1,221.3,84.9,23.9
0.077078,415.0,107.3,2074.0,347.7,2438.6,375.0,422.1,2102.7,2572.5,221.1,85,24.4
0.079078,404.8,110.9,2086.9,415.6,2409.5,451.6,422.2,2100,2572.9,220.8,85.1,24.6
0.081078,384.7,97.8,1924.1,617.6,2365.9,369.6,422.4,2097.2,2573.4,220.6,85.2,24.5
0.083078,377.3,81.7,1685.7,378.0,2380.3,299.8,422.6,2094.4,2573.8,220.4,85.3,24
0.085078,380.4,86.8,1636.2,191.2,2411.0,280.8,422.8,2091.4,2574.3,220.2,85.4,22.9
