time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025266,303.1,102.9,2150.6,183.3,3559.2,364.0,333.1,2146.5,2697.3,232.6,68.4,-186.4
0.027266,313.8,119.3,2153.8,124.5,3515.9,514.6,333.1,2146.7,2697.5,231.9,70,-145.1
0.029266,328.3,127.2,2159.6,103.8,3481.2,817.1,333.3,2147,2697.9,231.2,71.4,-93.7
0.031266,343.3,128.8,2165.0,104.4,3436.0,1469.1,333.4,2147.4,2698.3,230.4,72.8,-42.2
0.033266,356.4,130.6,2169.5,117.2,2657.3,2488.0,333.6,2148,2699,229.6,73.9,-1
0.035266,365.0,131.9,2172.7,131.5,2333.6,1863.1,333.8,2148.6,2699.7,228.8,74.9,21.3
0.037266,367.0,132.8,2172.6,137.9,2273.7,1782.7,334.1,2149.4,2700.6,228,75.7,28.5
0.039266,366.5,136.5,2169.3,137.6,2287.6,1992.7,334.4,2150.3,2701.6,227.2,76.4,26.4
0.041266,370.7,143.1,2166.4,139.4,2352.0,2353.4,334.8,2151.4,2702.8,226.4,76.9,19.9
0.043266,379.7,143.6,2173.6,150.7,2393.0,2280.3,335.2,2152.5,2704.1,225.5,77.4,13.9
0.045266,382.4,134.0,2189.2,169.1,2345.8,1592.3,335.6,2153.7,2705.5,224.7,77.8,12.3
0.047266,378.5,118.1,2199.4,200.6,2283.7,1104.2,336.1,2155.1,2707,223.9,78.2,10.7
0.049266,377.3,100.2,2212.2,235.5,2224.3,877.2,336.7,2156.6,2708.7,223.1,78.5,8.8
0.051266,381.1,87.3,2176.5,803.6,2226.8,250.7,337.2,2158.2,2710.5,222.4,78.9,7.1
0.053266,386.5,79.6,2157.4,784.1,2232.7,255.9,337.8,2159.9,2712.5,221.6,79.3,6.4
0.055266,391.2,75.0,2165.4,718.9,2233.2,282.4,338.5,2161.7,2714.6,220.9,79.6,7.2
0.057266,394.7,72.4,2172.8,551.2,2245.6,371.8,339.2,2163.6,2716.7,220.3,79.9,9.8
0.059266,397.5,70.6,2117.7,434.1,2320.9,409.8,339.9,2165.6,2719.1,219.6,80.1,13.4
0.061266,399.7,68.7,2092.8,414.8,2360.9,394.4,340.7,2167.8,2721.5,219.1,80.3,17
0.063266,400.4,65.8,2075.3,442.9,2369.6,392.8,341.5,2170,2724.1,218.5,80.4,19.7
0.065266,399.5,59.9,2002.6,488.4,2354.8,372.0,342.4,2172.3,2726.7,218,80.6,20.4
0.067266,401.3,53.7,1884.6,409.9,2335.6,341.7,343.3,2174.7,2729.5,217.5,80.7,19.5
0.069266,408.3,50.7,1822.1,287.9,2315.0,328.1,344.2,2177.2,2732.4,217.1,80.9,17.7
0.071266,418.3,49.2,1802.9,216.5,2311.2,333.3,345.2,2179.8,2735.4,216.7,81.2,15.6
0.073266,427.4,47.1,1804.0,177.4,2353.6,360.2,346.2,2182.5,2738.6,216.3,81.5,14
0.075266,433.6,44.5,1816.6,150.7,2485.4,356.2,347.2,2185.3,2741.8,216,81.9,13.4
0.077266,435.9,39.8,1830.9,155.0,2622.4,246.9,348.3,2188.1,2745.1,215.7,82.3,13.4
0.079266,435.5,34.3,1861.1,236.2,2680.8,163.3,349.4,2191.1,2748.6,215.4,82.6,13.8
0.081266,435.2,32.7,1976.4,464.9,2698.9,152.5,350.6,2194.1,2752.1,215.2,82.9,14.4
0.083266,436.3,33.3,2283.4,633.8,2710.5,219.8,351.8,2197.2,2755.7,214.9,83.1,15.3
0.085266,437.3,32.8,2504.5,403.4,2742.9,413.8,353,2200.3,2759.5,214.7,83.3,16.5
0.087266,438.0,32.7,2531.0,261.8,2821.0,552.1,354.3,2203.5,2763.3,214.6,83.4,18.1
0.089266,438.8,33.3,2538.4,208.7,2878.5,666.5,355.6,2206.8,2767.2,214.4,83.5,20
0.091266,439.0,33.7,2542.7,176.4,2929.8,810.2,356.9,2210.2,2771.2,214.2,83.6,22
0.093266,438.3,33.3,2545.5,156.1,2977.2,982.1,358.3,2213.6,2775.3,214.1,83.7,23.6
0.095266,436.7,31.9,2548.1,145.2,3021.5,1179.7,359.7,2217,2779.4,214,83.7,24.7
0.097266,435.1,30.3,2550.7,141.1,3066.5,1368.9,361.1,2220.5,2783.7,213.8,83.8,25.4
0.099266,434.1,29.2,2553.1,139.5,3125.1,1506.3,362.6,2224,2788,213.7,83.8,25.8
0.101266,433.8,28.8,2554.8,137.6,3194.2,1533.8,364.1,2227.6,2792.3,213.6,83.9,26
0.103266,434.0,28.9,2555.3,133.7,3253.3,1467.7,365.6,2231.3,2796.8,213.5,83.9,26.2
0.105266,434.2,28.9,2554.9,128.1,3290.9,1366.6,367.1,2234.9,2801.3,213.4,83.8,26.4
0.107266,434.0,28.5,2553.4,123.0,3300.9,1260.1,368.7,2238.6,2805.9,213.3,83.8,26.5
0.109266,433.4,27.8,2550.6,119.7,3283.3,1135.0,370.4,2242.3,2810.5,213.2,83.7,26.6
0.111266,432.5,26.8,2546.4,119.1,3243.5,997.8,372,2246,2815.2,213,83.6,26.5
0.113266,431.4,25.7,2541.9,120.5,3196.0,883.5,373.7,2249.8,2819.9,212.9,83.4,26.2
0.115266,430.1,24.3,2539.3,122.0,3152.5,822.0,375.4,2253.5,2824.7,212.8,83.1,25.5
0.117266,428.9,23.1,2540.4,122.5,3119.7,821.0,377.1,2257.3,2829.5,212.7,82.8,24.5
0.119266,428.0,22.2,2544.4,122.7,3091.2,861.7,378.9,2261.1,2834.4,212.6,82.4,23.2
0.121266,427.2,21.9,2548.9,125.6,3057.3,923.8,380.6,2264.9,2839.3,212.4,81.8,21.8
0.123266,426.5,22.6,2552.1,133.7,3010.9,992.6,382.4,2268.6,2844.3,212.3,81.2,20.3
0.125266,425.7,24.4,2553.6,146.4,2957.0,1069.4,384.3,2272.4,2849.2,212.2,80.3,18.9
0.127266,424.5,27.8,2553.5,157.6,2918.9,1163.0,386.1,2276.2,2854.2,212.1,79.3,17.2
0.129266,422.6,33.8,2551.3,164.2,2909.8,1291.0,388,2279.9,2859.2,212,78.1,15.5
0.131266,418.8,44.5,2546.6,168.1,2933.2,1445.2,389.9,2283.6,2864.3,211.9,76.7,13.9
0.133266,410.7,63.4,2540.4,176.2,2981.0,1589.8,391.8,2287.3,2869.3,211.8,75.2,12.4
0.135266,394.7,98.6,2536.6,200.7,3046.7,1658.7,393.7,2291,2874.4,211.7,73.5,11.2
0.137266,373.6,162.9,2544.5,255.2,3106.3,1566.7,395.7,2294.6,2879.4,211.7,71.9,10.1
0.139266,364.0,291.1,2570.1,341.5,3126.5,1398.7,397.7,2298.2,2884.5,211.7,70.6,9.1
0.141266,390.7,412.6,2605.9,446.7,3086.6,1315.8,399.7,2301.7,2889.6,211.7,69.8,8.5
0.143266,356.1,349.9,2662.4,557.9,2967.3,1423.1,401.7,2305.2,2894.7,211.8,69.7,8.1
0.145266,324.4,222.7,2716.4,584.2,2846.5,1709.4,403.7,2308.7,2899.7,212,70.1,8.4
0.147266,317.9,163.7,2700.9,611.1,2882.3,1749.2,405.8,2312.1,2904.8,212.2,70.5,9.3
0.149266,318.7,143.6,2630.3,633.7,3025.6,1520.4,407.8,2315.4,2909.8,212.4,71,10.7
0.151266,321.7,138.5,2551.4,580.7,3147.8,1316.1,409.9,2318.7,2914.8,212.7,71.4,12.2
0.153266,324.5,137.0,2489.0,504.1,3213.2,1226.6,412,2321.8,2919.8,213.1,71.6,13.3
0.155266,326.0,136.1,2441.6,444.8,3238.1,1297.1,414.1,2325,2924.8,213.5,71.6,14.9
0.157266,323.9,136.3,2419.7,425.7,3216.3,1599.0,416.2,2328,2929.8,214,71.5,20.9
0.159266,316.9,137.6,2428.5,438.5,3097.9,2237.1,418.4,2331,2934.7,214.6,71.2,27.6
0.161266,307.4,139.3,2459.7,466.7,2826.7,3256.1,420.5,2333.9,2939.6,215.2,70.8,29.8
0.163266,299.6,144.0,2363.2,4290.3,2499.8,548.0,422.7,2336.7,2944.4,215.9,70.2,22.7
0.165266,293.6,149.7,2045.2,3691.5,2576.1,742.3,424.9,2339.3,2949.2,216.7,69.4,0.3
0.167266,286.6,143.1,1868.4,2529.4,2728.8,887.7,427,2341.9,2953.9,217.6,68.6,-41.2
0.169266,277.0,122.2,1693.7,1817.8,2829.3,790.1,429.2,2344.4,2958.6,218.5,67.8,-93
0.171266,265.7,97.1,1653.2,1347.8,2843.0,655.9,431.4,2346.8,2963.3,219.6,67,-144.8
0.173266,254.1,74.8,1672.5,1020.9,2832.7,544.6,433.6,2349.1,2967.9,220.6,66.2,-186.3
0.175266,244.2,58.2,1703.8,774.8,2823.5,458.9,435.8,2351.3,2972.4,221.8,65.5,-208.7
0.177266,238.7,50.4,1714.2,623.1,2817.4,410.1,438,2353.3,2976.9,223,64.7,-215.7
0.179266,237.7,50.5,1702.1,554.5,2815.3,397.1,440.2,2355.3,2981.3,224.3,63.8,-213.4
0.181266,240.5,58.9,1680.0,549.3,2822.1,405.7,442.5,2357.1,2985.6,225.6,62.7,-206.7
0.183266,246.3,80.0,1659.9,589.7,2840.2,412.0,444.7,2358.8,2989.9,227,61.5,-201
0.185266,256.3,126.4,1647.1,683.7,2861.4,412.6,446.9,2360.3,2994,228.4,60.1,-200
0.187266,271.4,209.8,1632.2,872.0,2870.2,430.8,449.1,2361.7,2998.1,229.9,58.6,-200
0.189266,293.1,333.4,1582.6,1245.8,2855.0,479.3,451.4,2363,3002.2,0,57.2,-200
0.191266,318.3,448.9,1430.9,1799.4,2809.5,532.5,453.6,2364.1,3006.1,0,56.1,-200
