time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025865,229.4,100.0,1177.3,2725.5,2673.9,63.6,467.4,1356.8,2606.8,117.5,67.1,-200
0.027865,238.6,117.1,1037.5,2319.6,2678.5,49.7,467.4,1356.9,2606.8,117,68.1,-200
0.029865,242.2,123.8,958.3,2089.2,2682.7,44.9,467.4,1357.1,2606.9,116.5,69.1,-168.9
0.031865,240.2,115.7,958.3,1912.6,2686.9,44.1,467.5,1357.4,2606.9,116,69.9,-123.1
0.033865,238.8,108.7,987.9,1835.0,2691.2,47.4,467.5,1357.8,2607,115.4,70.6,-72.3
0.035865,240.9,114.1,1023.0,1908.1,2693.9,57.2,467.5,1358.2,2607.1,114.9,71,-26.3
0.037865,245.2,129.5,1023.6,2023.1,2694.7,74.2,467.5,1358.7,2607.2,114.4,71.4,5.4
0.039865,246.6,138.4,954.3,2066.9,2696.9,86.9,467.6,1359.3,2607.3,113.8,71.5,19.6
0.041865,242.2,124.7,986.0,2253.3,2702.5,88.7,467.6,1360,2607.5,113.3,71.6,22.9
0.043865,235.8,99.9,1334.8,2351.7,2707.8,90.7,467.7,1360.8,2607.6,112.8,71.6,19.8
0.045865,232.8,87.1,1522.2,1920.4,2708.3,93.7,467.7,1361.6,2607.8,112.2,71.5,14.8
0.047865,234.2,90.0,1532.1,1553.3,2703.5,91.0,467.8,1362.5,2608,111.7,71.3,12.6
0.049865,237.7,99.0,1507.4,1319.1,2699.1,89.0,467.9,1363.6,2608.1,111.3,70.9,13
0.051865,238.0,96.0,1479.6,1221.8,2696.7,101.7,468,1364.6,2608.4,110.8,70.5,12.9
0.053865,234.7,83.8,1438.5,1212.3,2690.8,138.7,468,1365.8,2608.6,110.3,70.1,12.7
0.055865,232.6,79.6,1381.5,1251.3,2676.0,187.7,468.1,1367,2608.8,109.9,69.7,12.4
0.057865,232.2,85.6,1287.9,1255.7,2656.1,224.7,468.2,1368.4,2609.1,109.5,69.5,12.3
0.059865,230.7,88.1,1215.5,1126.1,2644.9,245.4,468.3,1369.8,2609.4,109.2,69.3,12.4
0.061865,227.4,79.9,1205.7,962.8,2639.9,274.7,468.4,1371.3,2609.7,108.9,69.1,12.5
0.063865,225.1,71.8,1221.7,840.7,2629.3,307.6,468.5,1372.8,2610,108.6,68.9,12.7
0.065865,225.7,72.5,1225.2,787.4,2619.5,308.2,468.6,1374.4,2610.3,108.4,68.8,12.9
0.067865,227.2,77.6,1216.5,799.2,2620.3,291.9,468.7,1376.2,2610.6,108.2,68.7,13.3
