time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025375,429.2,123.0,2082.0,106.9,2683.6,247.6,439.1,1949.2,2539.2,116.8,71.1,13.3
0.027375,425.4,100.5,2083.5,94.7,2697.8,238.6,439.1,1949.3,2539.3,116.7,72.7,15.9
0.029375,423.9,88.4,2085.0,87.6,2714.0,228.8,439,1949.6,2539.4,116.5,74,12.2
0.031375,424.1,85.1,2086.5,84.2,2722.1,218.7,438.8,1950,2539.6,116.4,75.1,7
0.033375,424.7,90.4,2086.6,78.5,2719.1,208.3,438.6,1950.5,2539.8,116.2,76,5
0.035375,423.0,96.4,2085.2,70.4,2717.4,199.7,438.4,1951.1,2540.1,116,76.9,6.3
0.037375,420.6,96.6,2083.3,65.0,2718.6,197.4,438.1,1951.9,2540.4,115.9,77.6,7.9
0.039375,422.1,98.5,2082.1,64.0,2715.4,197.7,437.8,1952.7,2540.8,115.7,78.4,9.4
0.041375,428.8,104.1,2080.8,64.5,2705.0,196.3,437.4,1953.7,2541.2,115.5,79,10.7
0.043375,435.6,102.7,2077.8,62.6,2694.6,194.1,437,1954.7,2541.6,115.3,79.5,11.5
0.045375,436.8,90.4,2072.7,58.9,2689.9,195.5,436.6,1955.9,2542.2,115.1,80,11.8
0.047375,435.8,78.7,2065.9,55.0,2694.3,201.2,436.1,1957.2,2542.7,114.9,80.3,11.7
0.049375,437.6,75.3,2058.6,50.5,2709.1,202.7,435.6,1958.6,2543.3,114.7,80.6,11.3
0.051375,442.0,77.0,2051.9,44.7,2726.8,190.8,435,1960.1,2544,114.5,80.8,10.9
0.053375,444.0,76.0,2048.3,39.2,2734.6,174.0,434.4,1961.7,2544.7,114.3,81,10.8
0.055375,442.9,71.1,2047.1,35.9,2731.9,168.8,433.7,1963.4,2545.4,114.1,81.2,11
0.057375,442.1,65.8,2047.3,37.4,2715.0,189.5,433,1965.2,2546.2,113.9,81.3,11.4
