time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025885,216.7,334.5,1221.6,1029.5,2408.7,128.3,501.1,1440.2,2388.8,124.2,65,-186.8
0.027885,227.4,226.1,1223.7,927.5,2419.5,128.3,501.1,1440.3,2388.8,123.4,67,-146.8
0.029885,230.7,195.4,1211.9,916.5,2425.3,121.6,501,1440.4,2388.9,122.6,68.8,-96.8
0.031885,239.0,193.2,1204.3,959.5,2426.1,116.4,501,1440.7,2389,121.8,70.4,-46.9
0.033885,252.3,195.5,1237.4,990.6,2420.4,119.8,501,1440.9,2389.1,121,71.8,-6.8
0.035885,266.4,206.4,1325.6,940.5,2400.8,130.9,500.9,1441.3,2389.2,120.2,73,14.8
0.037885,277.3,242.3,1364.3,837.6,2367.2,130.5,500.9,1441.7,2389.3,119.4,74.2,21.5
0.039885,285.0,297.9,1344.5,766.4,2335.6,111.8,500.8,1442.1,2389.5,118.6,75.4,19.1
0.041885,285.9,316.9,1291.4,714.7,2316.2,91.1,500.7,1442.6,2389.7,117.8,76.5,12.8
0.043885,278.7,277.7,1230.0,679.5,2304.0,78.3,500.6,1443.2,2389.9,117,77.4,7.5
0.045885,269.8,239.7,1199.6,734.2,2290.5,74.0,500.6,1443.9,2390.2,116.2,78.1,7.2
0.047885,264.5,237.4,1215.3,945.2,2278.4,77.0,500.5,1444.6,2390.4,115.5,78.6,8.4
0.049885,261.3,262.5,1199.3,1182.3,2270.8,82.5,500.4,1445.3,2390.7,114.7,78.9,9.9
0.051885,258.8,305.8,1123.6,1171.4,2265.2,81.4,500.2,1446.2,2391,114.1,79,11.4
0.053885,257.1,324.1,1081.8,1054.3,2262.0,71.5,500.1,1447,2391.4,113.4,79.1,12.7
0.055885,256.4,308.4,1094.3,1025.1,2263.2,62.5,500,1448,2391.7,112.8,79,13.6
0.057885,256.6,314.4,1161.6,1206.4,2269.2,62.5,499.9,1449,2392.1,112.2,79,14.5
0.059885,258.8,373.5,1352.3,1578.4,2277.1,65.3,499.7,1450,2392.5,111.7,79,15.3
0.061885,261.2,450.1,1454.4,1696.7,2281.1,63.6,499.6,1451.1,2392.9,111.2,78.9,15.7
0.063885,259.9,422.8,1213.1,1542.7,2282.2,59.6,499.4,1452.3,2393.4,110.7,78.9,15.6
0.065885,257.0,364.9,1127.9,1191.6,2286.0,61.0,499.2,1453.5,2393.8,110.3,78.9,14.7
0.067885,249.1,390.8,1096.0,1122.8,2294.9,69.5,499.1,1454.8,2394.3,110,79,12.8
0.069885,218.5,526.1,1002.9,1030.4,2302.5,76.6,498.9,1456.2,2394.8,109.6,79.3,10.3
0.071885,88.1,776.8,891.2,847.8,2305.3,74.2,498.7,1457.6,2395.4,109.3,79.6,7.7
0.073885,801.9,684.9,2306.3,66.7,3219.5,1363.2,498.5,1459,2395.9,109,80,5.6
0.075885,246.8,2208.6,729.2,620.2,2306.9,65.9,498.3,1460.5,2396.5,108.8,80.6,4.5
0.077885,580.9,448.9,892.7,1076.6,2310.0,68.2,498.1,1462.1,2397.1,108.5,81.1,4
0.079885,566.7,266.0,1036.5,863.7,2318.4,70.0,497.8,1463.7,2397.7,108.3,81.6,4
0.081885,568.4,195.9,1111.6,728.7,2337.5,78.1,497.6,1465.4,2398.3,108.1,81.9,4.2
0.083885,572.6,174.7,1156.5,583.9,2366.7,91.3,497.4,1467.1,2399,108,82.2,4.5
0.085885,586.8,177.6,1173.9,439.5,2388.0,98.6,497.1,1468.9,2399.7,107.8,82.4,4.7
0.087885,612.2,186.0,1184.5,364.5,2395.3,97.5,496.9,1470.7,2400.3,107.7,82.5,5
0.089885,633.9,185.4,1197.1,330.1,2399.6,94.9,496.6,1472.6,2401.1,107.6,82.5,5.4
0.091885,644.4,182.1,1215.2,317.8,2406.7,99.4,496.4,1474.5,2401.8,107.5,82.5,5.9
0.093885,653.7,186.6,1249.0,334.5,2420.3,116.0,496.1,1476.5,2402.5,107.4,82.5,6.5
0.095885,668.9,192.9,1298.0,368.4,2435.9,136.1,495.8,1478.5,2403.3,107.3,82.5,7.2
0.097885,679.9,187.4,1329.0,377.6,2442.3,145.8,495.6,1480.6,2404.1,107.2,82.5,7.9
0.099885,681.2,181.5,1337.6,362.2,2445.2,150.0,495.3,1482.7,2404.9,107.1,82.5,8.8
0.101885,677.4,187.8,1341.0,336.0,2452.1,158.7,495,1484.9,2405.7,107,82.5,9.7
0.103885,676.4,207.6,1349.5,307.4,2464.0,179.5,494.7,1487.1,2406.6,106.9,82.5,10.6
0.105885,682.8,227.7,1356.6,278.8,2472.6,203.2,494.4,1489.3,2407.4,106.9,82.6,11.6
0.107885,688.4,229.2,1354.9,252.0,2473.0,211.4,494.1,1491.6,2408.3,106.8,82.6,12.8
0.109885,687.2,231.8,1350.7,232.8,2473.0,205.0,493.8,1494,2409.2,106.7,82.7,14
0.111885,683.1,253.6,1350.5,227.8,2471.7,189.4,493.5,1496.4,2410.1,106.7,82.8,15.2
