time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025417,207.1,311.7,1399.0,1429.7,2392.0,181.2,650.1,1501.3,2384.8,117.2,64.4,-200.9
0.027417,210.1,263.8,1574.9,1415.1,2427.3,169.9,650.1,1501.3,2384.9,116.7,65.2,-206.4
0.029417,212.7,272.6,1662.8,1403.3,2436.6,150.0,650.1,1501.3,2385,116.2,65.9,-212.8
0.031417,212.0,330.7,1521.9,1247.0,2434.9,126.8,650.1,1501.3,2385.2,115.7,66.4,-215
0.033417,200.0,431.4,1359.3,929.2,2430.0,112.5,650.1,1501.2,2385.4,115.2,66.9,-208.3
0.035417,187.3,532.9,1277.1,754.8,2425.5,112.5,650.2,1501.2,2385.7,114.6,67.5,-187
0.037417,216.6,535.4,1226.7,675.6,2420.7,117.6,650.2,1501.2,2386,114.1,68.1,-147.7
0.039417,248.8,468.8,1189.0,639.1,2412.2,126.1,650.2,1501.2,2386.4,113.6,68.8,-98.6
0.041417,252.7,450.8,1163.4,680.9,2394.0,145.9,650.2,1501.1,2386.8,113.1,69.3,-49.3
0.043417,221.3,579.5,1150.8,901.2,2359.6,179.0,650.2,1501.1,2387.3,112.6,69.8,-9.3
0.045417,691.4,1172.1,1343.6,1757.6,2333.4,198.3,650.2,1501.1,2387.8,112.2,70.1,13.1
0.047417,750.3,679.8,1726.8,1482.5,2335.6,199.5,650.2,1501,2388.3,111.7,70.4,21.8
0.049417,751.3,565.4,1811.0,1309.8,2358.9,188.1,650.3,1501,2389,111.3,70.6,21.9
0.051417,723.9,546.2,1851.4,1225.8,2393.2,171.7,650.3,1500.9,2389.6,111,70.8,18.1
0.053417,702.7,539.7,1932.3,1101.3,2426.1,160.3,650.3,1500.8,2390.3,110.7,71.1,14.9
0.055417,717.1,509.6,2011.5,938.3,2445.1,157.5,650.3,1500.8,2391.1,110.4,71.4,15.6
0.057417,742.5,475.0,2053.1,862.3,2452.3,156.7,650.4,1500.7,2391.9,110.2,71.8,16.9
0.059417,746.1,494.0,2077.0,954.4,2451.1,159.0,650.4,1500.6,2392.7,110,72.1,18
0.061417,745.5,575.6,2127.9,1213.0,2448.5,167.1,650.4,1500.6,2393.6,109.9,72.5,18.8
0.063417,779.8,617.9,2265.8,1365.9,2451.6,182.4,650.4,1500.5,2394.5,109.8,72.8,19.3
0.065417,819.4,511.0,2292.7,1237.5,2457.0,192.6,650.5,1500.4,2395.5,109.8,73.1,19.6
0.067417,833.2,418.6,2292.2,1198.4,2453.6,190.1,650.5,1500.3,2396.6,109.7,73.4,19.6
0.069417,823.5,398.5,2308.3,1355.5,2436.1,178.6,650.6,1500.2,2397.6,109.8,73.7,19.4
0.071417,800.6,394.3,2226.6,1374.3,2416.0,166.8,650.6,1500.1,2398.7,109.9,74,18.8
0.073417,792.6,347.9,2190.3,1041.0,2407.4,169.5,650.6,1500,2399.9,110,74.3,17.8
0.075417,809.0,282.3,2196.9,817.8,2411.9,178.5,650.7,1499.9,2401.1,110.1,74.6,16.1
0.077417,814.5,248.5,2184.1,871.5,2410.2,168.1,650.7,1499.8,2402.3,110.3,75,13.4
0.079417,795.8,269.6,2096.8,1321.4,2399.5,142.2,650.8,1499.7,2403.6,110.4,75.5,10.2
0.081417,763.4,344.1,1770.5,2362.6,2386.3,134.8,650.9,1499.6,2404.9,110.6,76.1,7
0.083417,653.7,452.8,814.1,1073.7,2368.1,145.4,650.9,1499.4,2406.3,110.8,76.8,4.5
0.085417,588.8,284.4,1002.4,748.4,2358.9,156.0,651,1499.3,2407.7,111.1,77.6,3.1
0.087417,586.1,215.4,1073.5,616.5,2365.1,171.9,651,1499.2,2409.2,111.3,78.3,2.6
0.089417,600.6,194.5,1128.3,510.2,2379.7,198.7,651.1,1499,2410.6,111.5,78.9,2.6
0.091417,627.8,186.6,1162.5,425.4,2391.6,220.4,651.2,1498.9,2412.2,111.8,79.4,3
0.093417,652.9,168.5,1182.1,344.0,2397.9,228.8,651.3,1498.7,2413.7,112,79.9,3.6
0.095417,664.4,149.9,1192.3,273.9,2403.3,236.2,651.3,1498.6,2415.3,112.2,80.2,4.2
0.097417,668.8,141.8,1202.5,226.9,2412.8,260.1,651.4,1498.4,2416.9,112.5,80.5,5.3
0.099417,674.3,143.4,1216.9,202.2,2415.6,296.7,651.5,1498.2,2418.6,112.7,80.6,6.6
0.101417,683.9,144.5,1230.7,191.0,2403.7,313.1,651.6,1498.1,2420.3,112.9,80.7,8
0.103417,693.8,139.2,1238.3,185.8,2395.9,315.2,651.7,1497.9,2422,113.1,80.8,9.2
0.105417,699.3,136.1,1239.9,182.9,2403.9,327.0,651.8,1497.7,2423.8,113.3,80.8,10
0.107417,705.1,140.7,1246.1,177.7,2424.6,345.6,651.9,1497.5,2425.6,113.5,80.9,10.8
0.109417,713.9,147.0,1261.0,164.6,2436.1,351.8,652,1497.3,2427.4,113.7,80.9,11.3
0.111417,720.7,144.6,1274.7,147.7,2430.8,347.0,652.1,1497.1,2429.3,113.9,81,11.8
0.113417,722.3,136.0,1283.4,136.0,2424.0,355.2,652.3,1496.9,2431.2,114.1,81,12.1
0.115417,723.8,134.5,1291.6,137.3,2432.4,396.6,652.4,1496.7,2433.1,114.3,81,12.3
0.117417,731.4,144.4,1306.9,146.9,2463.7,461.5,652.5,1496.4,2435,114.5,81.1,12.4
0.119417,741.3,155.0,1324.9,148.8,2495.9,505.0,652.7,1496.2,2437,114.7,81.1,12.4
0.121417,745.4,158.5,1336.7,143.0,2513.5,521.0,652.8,1496,2439,114.9,81.1,12.2
0.123417,746.6,162.3,1346.1,141.0,2530.8,516.2,652.9,1495.7,2441,115.1,81.2,12
