time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025333,483.9,107.4,2203.8,62.5,2887.0,212.3,425.7,1999.7,2633.3,114.4,68.8,14.5
0.027333,488.8,111.4,2196.0,56.7,2881.6,216.6,425.7,1999.8,2633.4,114.2,70.5,16.6
0.029333,495.6,111.4,2188.9,54.1,2874.5,220.0,425.6,2000,2633.4,113.9,71.8,12.4
0.031333,503.1,113.9,2187.4,56.0,2864.0,226.0,425.5,2000.3,2633.5,113.6,72.9,6.6
0.033333,511.4,125.7,2191.6,60.9,2854.8,227.6,425.4,2000.7,2633.6,113.3,74,4
0.035333,520.1,147.6,2193.7,62.9,2853.4,214.7,425.2,2001.1,2633.7,113,74.9,4.6
0.037333,524.8,161.0,2187.4,59.8,2854.0,188.1,425,2001.6,2633.8,112.7,75.7,5.3
0.039333,523.8,158.9,2175.6,55.5,2851.5,151.7,424.8,2002.1,2633.9,112.4,76.4,5.9
0.041333,519.7,157.7,2164.5,52.7,2848.5,115.6,424.6,2002.8,2634.1,112.1,77,6.6
0.043333,516.4,161.5,2157.0,49.7,2846.2,93.6,424.3,2003.5,2634.3,111.8,77.5,7.3
0.045333,516.2,158.7,2152.0,43.2,2844.6,82.8,424.1,2004.3,2634.5,111.4,77.9,8.1
0.047333,516.3,150.0,2149.4,35.8,2844.6,80.0,423.7,2005.2,2634.7,111.1,78.2,8.9
0.049333,515.6,141.3,2148.8,30.2,2846.2,87.3,423.4,2006.1,2634.9,110.8,78.4,9.7
0.051333,516.5,140.3,2149.8,28.0,2848.5,115.4,423,2007.1,2635.2,110.5,78.5,10.5
0.053333,520.3,149.5,2151.6,29.3,2850.1,179.7,422.7,2008.2,2635.5,110.2,78.5,11.1
0.055333,520.6,159.9,2153.6,33.4,2848.1,238.9,422.2,2009.4,2635.7,109.9,78.5,11.6
0.057333,511.3,166.3,2154.6,39.6,2839.0,195.2,421.8,2010.6,2636,109.7,78.5,12.1
0.059333,489.7,179.4,2153.7,50.4,2831.3,137.1,421.3,2011.9,2636.4,109.4,78.5,12.4
0.061333,460.1,185.7,2147.9,64.3,2827.1,111.5,420.8,2013.3,2636.7,109.2,78.6,12.6
0.063333,441.5,179.2,2138.8,72.7,2823.7,105.0,420.3,2014.8,2637.1,108.9,78.6,12.7
0.065333,433.8,177.2,2135.0,74.6,2816.7,106.5,419.8,2016.3,2637.5,108.7,78.7,12.6
0.067333,429.9,182.2,2141.6,81.3,2798.7,112.4,419.2,2017.8,2637.8,108.5,78.7,12.3
