time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025781,193.1,342.1,891.8,249.9,2461.5,76.0,499,1179.9,2487.3,113.9,73.2,18.3
0.027781,223.4,237.0,906.9,194.5,2467.5,63.3,499,1180,2487.4,113.6,74,20.9
0.029781,231.9,206.6,916.2,163.0,2474.6,57.3,499,1180.2,2487.4,113.2,74.7,17
0.031781,235.3,215.8,920.0,141.6,2476.2,61.8,498.9,1180.5,2487.5,112.9,75.2,11.4
0.033781,238.3,220.1,917.8,123.6,2469.5,74.6,498.9,1180.8,2487.5,112.6,75.7,8.9
0.035781,238.8,204.5,913.7,119.5,2460.9,83.4,498.8,1181.2,2487.6,112.2,76.1,9.3
0.037781,235.6,210.0,912.5,141.4,2460.0,92.4,498.7,1181.6,2487.7,111.9,76.4,9.5
0.039781,230.3,250.2,914.0,186.4,2465.3,104.8,498.6,1182.2,2487.8,111.6,76.6,9.6
0.041781,226.4,299.0,914.2,215.4,2471.4,108.5,498.5,1182.8,2488,111.2,76.7,9.7
0.043781,231.7,305.7,915.0,206.3,2473.5,102.1,498.3,1183.4,2488.1,110.9,76.6,9.9
0.045781,240.8,264.0,918.5,184.5,2470.5,92.6,498.2,1184.2,2488.3,110.6,76.6,10.3
0.047781,241.9,239.0,923.7,180.6,2461.7,89.8,498,1185,2488.5,110.2,76.6,10.9
0.049781,237.5,256.2,932.0,196.6,2450.6,92.0,497.8,1185.9,2488.7,109.9,76.6,11.4
0.051781,231.9,302.7,940.5,214.8,2447.5,98.1,497.7,1186.8,2488.9,109.6,76.8,11.6
0.053781,229.8,368.6,953.3,254.6,2452.4,118.5,497.5,1187.8,2489.1,109.3,77,11.3
0.055781,235.4,471.8,965.7,346.0,2457.4,138.3,497.2,1188.9,2489.3,109,77.3,10.3
0.057781,282.3,566.9,958.6,440.6,2397.1,942.0,497,1190.1,2489.6,108.8,77.7,8.8
0.059781,400.3,518.0,946.8,501.1,2384.3,1064.2,496.8,1191.3,2489.8,108.5,78.3,7
0.061781,477.2,361.4,960.8,496.3,2430.4,136.9,496.5,1192.6,2490.1,108.3,78.8,5.2
0.063781,508.9,249.2,975.4,441.1,2434.1,126.0,496.2,1193.9,2490.4,108,79.4,3.7
0.065781,532.8,187.3,995.2,395.9,2443.8,120.2,496,1195.3,2490.7,107.8,80,2.5
0.067781,557.7,149.0,1028.6,367.0,2455.1,135.1,495.7,1196.8,2491.1,107.6,80.5,1.3
0.069781,578.1,121.8,1065.5,339.7,2463.1,165.7,495.4,1198.4,2491.4,107.4,80.9,0.3
0.071781,587.6,107.2,1099.9,309.5,2470.8,191.9,495.1,1200,2491.7,107.2,81.2,-0.3
0.073781,587.7,98.1,1135.1,251.8,2483.8,242.6,494.7,1201.7,2492.1,107,81.3,-0.2
0.075781,587.0,93.3,1164.6,174.3,2477.0,324.8,494.4,1203.4,2492.5,106.9,81.3,0.8
0.077781,595.5,97.4,1184.2,124.2,2442.1,365.7,494,1205.2,2492.9,106.7,81.3,2.6
0.079781,609.0,105.1,1196.0,102.3,2424.8,374.1,493.7,1207.1,2493.3,106.6,81.2,4.8
0.081781,614.4,110.7,1205.2,96.5,2438.1,399.2,493.3,1209,2493.7,106.4,81.1,6.9
0.083781,612.8,118.5,1219.4,96.1,2479.5,437.6,492.9,1211,2494.1,106.3,81.1,8.6
0.085781,611.7,125.8,1238.1,93.9,2519.3,464.4,492.5,1213.1,2494.6,106.2,81.2,9.7
0.087781,615.0,126.3,1252.3,89.8,2529.0,468.9,492.1,1215.2,2495,106,81.3,10.6
0.089781,617.5,123.5,1260.7,88.7,2534.5,454.7,491.7,1217.4,2495.5,105.9,81.4,11.3
0.091781,614.7,124.7,1265.3,93.0,2548.3,463.1,491.3,1219.6,2496,105.8,81.5,11.9
0.093781,610.1,130.2,1269.4,105.1,2552.7,580.1,490.9,1221.9,2496.5,105.7,81.7,12.3
0.095781,612.9,134.6,1276.3,123.2,2448.1,811.3,490.4,1224.2,2497,105.6,81.8,12.6
0.097781,622.0,129.1,1286.7,135.1,2340.6,839.0,490,1226.6,2497.5,105.5,81.9,12.7
0.099781,625.6,118.7,1296.6,137.7,2303.3,876.4,489.5,1229.1,2498,105.4,82.1,12.6
0.101781,621.2,114.4,1303.5,138.9,2312.7,927.8,489,1231.6,2498.5,105.4,82.1,12.5
0.103781,615.2,116.3,1309.9,145.4,2362.6,872.6,488.6,1234.1,2499.1,105.3,82.2,12.6
0.105781,616.5,119.2,1319.7,157.0,2393.6,713.9,488.1,1236.7,2499.6,105.2,82.2,12.7
0.107781,624.0,116.0,1332.0,163.5,2407.1,622.9,487.6,1239.4,2500.2,105.1,82.1,12.8
0.109781,628.0,111.0,1343.4,165.2,2433.2,604.1,487.1,1242.1,2500.7,105.1,82,12.9
0.111781,626.0,114.6,1354.0,175.2,2470.2,623.3,486.6,1244.9,2501.3,105,81.9,13
0.113781,623.8,130.0,1369.5,208.1,2479.1,647.9,486.1,1247.7,2501.9,104.9,81.8,13.2
0.115781,628.3,145.6,1390.5,263.4,2446.2,649.9,485.6,1250.6,2502.5,104.9,81.7,13.4
0.117781,634.5,143.5,1407.7,309.6,2418.1,638.2,485.1,1253.5,2503.1,104.8,81.7,13.6
0.119781,634.5,132.9,1415.9,339.7,2402.1,637.0,484.5,1256.4,2503.7,104.8,81.6,13.9
0.121781,630.5,129.6,1424.0,369.3,2399.7,661.1,484,1259.4,2504.3,104.7,81.6,14.1
0.123781,629.2,133.6,1452.2,403.3,2411.3,716.8,483.5,1262.5,2505,104.7,81.7,14.3
0.125781,633.1,131.2,1493.0,403.0,2432.4,777.0,482.9,1265.6,2505.6,104.6,81.7,14.5
0.127781,635.6,119.0,1520.0,376.3,2460.8,826.5,482.4,1268.7,2506.2,104.6,81.7,14.6
0.129781,633.8,109.4,1543.0,359.3,2529.6,943.7,481.8,1271.8,2506.9,104.6,81.8,14.8
0.131781,630.5,109.3,1573.0,358.5,2569.2,1186.0,481.3,1275.1,2507.5,104.5,81.8,14.8
0.133781,629.5,115.2,1604.9,352.8,2511.5,1089.0,480.7,1278.3,2508.2,104.5,81.8,14.7
0.135781,632.3,117.3,1616.5,322.6,2452.1,901.1,480.2,1281.6,2508.8,104.5,81.8,14.3
0.137781,633.1,111.2,1613.8,288.0,2440.5,847.4,479.6,1284.9,2509.5,104.4,81.9,13.8
0.139781,628.8,104.5,1609.7,259.6,2480.1,945.5,479,1288.3,2510.2,104.4,81.9,13.3
0.141781,623.5,102.7,1608.1,240.9,2540.4,1170.0,478.5,1291.7,2510.9,104.4,81.9,12.6
0.143781,620.6,102.3,1606.2,235.3,2583.4,1230.6,477.9,1295.1,2511.5,104.3,82,12.1
0.145781,620.9,98.3,1606.7,241.9,2654.7,1160.6,477.3,1298.5,2512.2,104.3,82,11.6
0.147781,619.4,92.8,1611.0,249.5,2730.6,433.3,476.8,1302,2512.9,104.3,82,11.1
0.149781,614.8,89.2,1615.8,255.2,2718.8,373.1,476.2,1305.5,2513.6,104.2,81.9,10.6
0.151781,609.8,89.4,1617.4,265.5,2729.7,318.0,475.6,1309.1,2514.3,104.2,81.8,10
0.153781,607.1,94.4,1619.8,289.0,2731.2,279.6,475.1,1312.7,2515,104.2,81.6,9.2
0.155781,605.5,103.9,1626.5,317.9,2724.6,252.2,474.5,1316.3,2515.7,104.2,81.4,7.9
0.157781,599.3,114.2,1627.6,341.7,2723.2,232.5,473.9,1319.9,2516.4,104.1,81.1,6.2
0.159781,587.0,126.8,1615.8,364.7,2723.5,213.1,473.4,1323.5,2517.1,104.1,80.7,4.6
0.161781,571.6,142.6,1592.3,391.6,2717.6,188.8,472.8,1327.2,2517.8,104.1,80.1,3.2
0.163781,552.1,166.5,1559.7,435.3,2700.3,156.0,472.3,1330.9,2518.4,104.1,79.5,2.4
0.165781,530.1,203.6,1539.7,486.8,2683.0,125.6,471.7,1334.6,2519.1,104,78.8,2.4
0.167781,507.9,247.2,1546.0,478.6,2676.1,111.7,471.2,1338.3,2519.8,104,78.2,2.8
0.169781,484.4,273.4,1549.2,409.3,2671.5,121.8,470.6,1342.1,2520.5,104,77.8,3.7
0.171781,469.4,262.9,1547.4,379.7,2659.3,148.8,470.1,1345.9,2521.2,104,77.8,4.7
0.173781,464.1,234.8,1550.2,419.5,2639.3,171.2,469.5,1349.6,2521.9,104,78,5.9
0.175781,458.7,224.4,1560.1,521.7,2626.7,180.9,469,1353.4,2522.6,104,78.4,7.4
0.177781,444.3,238.3,1569.7,641.6,2621.1,190.8,468.5,1357.3,2523.3,104,78.7,9.2
0.179781,419.0,262.0,1564.4,734.5,2607.8,206.6,468,1361.1,2524,104,78.9,11.1
0.181781,397.5,280.1,1540.2,783.2,2581.3,216.5,467.5,1364.9,2524.7,104,79,12.9
0.183781,396.6,302.0,1524.9,844.4,2561.3,212.6,467,1368.8,2525.3,104,79,14.4
0.185781,410.7,324.6,1549.1,954.6,2560.5,207.4,466.5,1372.6,2526,104,79,15.6
0.187781,416.2,346.2,1610.3,1056.9,2572.1,213.0,466,1376.5,2526.7,104,78.9,16.5
0.189781,410.7,371.1,1682.9,1102.5,2591.5,236.8,465.5,1380.3,2527.4,104.1,78.8,17.3
0.191781,406.3,390.8,1709.0,1107.7,2603.1,260.9,465,1384.2,2528,104.1,78.8,17.9
0.193781,407.1,382.6,1641.0,1091.5,2596.2,262.6,464.5,1388.1,2528.7,104.1,78.8,18.3
0.195781,398.8,337.0,1528.6,941.7,2584.3,243.8,464.1,1392,2529.3,104.2,78.8,18.3
0.197781,378.0,284.1,1462.7,742.4,2578.0,223.5,463.6,1395.8,2530,104.2,78.8,18
0.199781,355.9,236.4,1429.2,574.9,2574.6,209.3,463.2,1399.7,2530.6,104.3,78.9,17.6
0.201781,344.9,207.9,1413.3,486.0,2571.0,194.0,462.7,1403.6,2531.3,104.3,78.9,17.2
0.203781,344.7,192.5,1403.8,464.0,2571.9,165.3,462.3,1407.5,2531.9,104.4,79,17
0.205781,345.3,181.4,1402.8,471.0,2580.2,139.6,461.9,1411.3,2532.5,104.4,79,17.1
0.207781,339.8,174.3,1415.7,448.1,2592.1,124.4,461.5,1415.2,2533.1,104.5,79.1,17.3
0.209781,333.0,174.9,1433.9,394.2,2604.6,111.3,461.1,1419,2533.7,104.6,79.2,17.6
0.211781,331.3,180.3,1441.7,362.6,2612.0,98.5,460.7,1422.9,2534.3,104.7,79.2,17.9
0.213781,333.7,179.2,1441.2,363.5,2616.1,87.8,460.4,1426.7,2534.9,104.8,79.3,18.2
0.215781,331.3,169.7,1438.3,388.4,2620.0,79.9,460,1430.6,2535.5,104.9,79.4,18.7
0.217781,322.6,161.6,1440.1,415.8,2624.5,74.4,459.7,1434.4,2536.1,104.9,79.5,19.3
0.219781,315.5,158.5,1453.3,419.3,2628.1,71.3,459.3,1438.2,2536.6,105,79.5,19.9
0.221781,317.1,154.6,1464.6,390.0,2628.2,70.7,459,1442,2537.2,105.1,79.6,20.2
0.223781,324.6,142.9,1464.3,350.4,2627.3,71.9,458.7,1445.8,2537.7,105.2,79.8,19.7
0.225781,328.3,133.8,1459.7,334.5,2629.3,76.1,458.4,1449.6,2538.2,105.3,79.9,18.2
0.227781,331.8,140.9,1456.0,368.7,2635.4,90.2,458.2,1453.3,2538.8,105.4,80.1,15.9
0.229781,351.0,168.3,1454.8,477.9,2648.5,130.9,457.9,1457.1,2539.3,105.5,80.3,13.2
0.231781,385.4,183.7,1452.3,606.1,2667.7,202.5,457.6,1460.8,2539.8,105.6,80.5,10.9
0.233781,412.6,167.3,1430.3,661.5,2683.5,320.7,457.4,1464.5,2540.3,105.7,80.7,9.5
0.235781,420.1,148.2,1396.6,637.4,2576.9,507.3,457.2,1468.2,2540.7,105.8,80.8,9.1
0.237781,419.6,142.0,1375.8,577.7,2448.5,385.8,457,1471.8,2541.2,105.9,80.8,9.4
0.239781,423.7,150.9,1381.3,519.4,2393.5,243.8,456.8,1475.5,2541.7,106,80.8,10.1
0.241781,434.0,167.4,1393.4,500.6,2378.4,174.2,456.6,1479.1,2542.1,106,80.8,11
0.243781,440.2,178.3,1392.2,516.8,2378.1,146.6,456.5,1482.7,2542.5,106.1,80.7,12
0.245781,435.7,182.3,1370.7,541.9,2386.1,141.5,456.3,1486.3,2543,106.2,80.6,13.1
0.247781,429.8,185.1,1338.0,524.1,2400.8,148.4,456.2,1489.8,2543.4,106.3,80.5,14.5
0.249781,436.9,192.9,1324.2,467.7,2421.6,151.5,456.1,1493.3,2543.8,106.3,80.4,16
