time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025417,571.7,43.1,761.1,955.8,2321.5,363.5,552.3,1056.2,2290.7,287.3,66.6,-168.4
0.027417,567.5,46.3,981.4,875.5,2338.6,325.8,552.3,1056.2,2290.8,285.9,66.7,-121.8
0.029417,562.8,55.0,1090.3,661.2,2352.4,293.5,552.3,1056.2,2290.9,284.4,66.9,-70.2
0.031417,553.5,70.2,1124.8,570.9,2374.1,273.6,552.2,1056.1,2291,282.6,67.3,-23.6
0.033417,544.9,76.2,1126.7,594.0,2403.9,261.4,552.1,1056.1,2291.1,280.6,67.9,8
0.035417,548.2,72.2,1121.4,744.9,2436.4,240.9,552,1056,2291.3,278.4,68.5,24.8
0.037417,561.6,63.6,1155.2,1011.9,2459.5,213.4,551.8,1056,2291.5,275.9,68.9,33.2
0.039417,575.3,52.2,1195.3,1167.7,2470.3,195.0,551.7,1055.9,2291.8,273.1,69,33.3
0.041417,586.0,42.1,1145.4,1217.3,2475.8,185.0,551.5,1055.8,2292.1,270.1,68.9,25.1
0.043417,592.1,35.5,1066.6,1095.6,2482.9,176.1,551.3,1055.7,2292.4,266.8,68.4,8.5
0.045417,593.5,32.7,985.4,859.9,2495.8,167.2,551.1,1055.6,2292.7,263.2,67.5,-23.2
0.047417,591.4,35.0,918.4,581.5,2501.1,174.5,550.9,1055.5,2293.1,259.3,66.2,-69.9
0.049417,589.5,44.4,896.9,414.8,2467.0,222.7,550.6,1055.3,2293.5,255.2,64.7,-121.6
0.051417,595.1,73.4,893.2,377.1,2369.5,281.6,550.3,1055.2,2294,250.7,62.9,-168.3
0.053417,628.4,134.5,891.3,498.6,2298.2,277.5,550,1055.1,2294.4,246.1,61.1,-200
0.055417,694.9,140.4,923.1,1033.7,2296.1,278.6,549.7,1054.9,2294.9,0,59.6,-213.3
0.057417,718.6,105.6,1375.6,1455.5,2321.1,287.1,549.4,1054.7,2295.5,0,58.9,-215
0.059417,721.9,86.8,1499.8,1259.1,2345.4,301.4,549,1054.6,2296,0,58.9,-210
0.061417,715.7,76.1,1432.8,1300.1,2364.4,323.5,548.7,1054.4,2296.6,0,59.8,-203.3
0.063417,702.0,71.4,1205.6,1206.2,1793.4,3432.3,548.3,1054.2,2297.3,0,59.9,-200
0.065417,687.7,72.6,1138.6,1028.9,1933.5,4660.4,547.8,1054,2297.9,0,60.6,-203.2
0.067417,678.7,82.1,1149.9,962.5,2402.1,329.6,547.4,1053.8,2298.6,0,61.7,-209.6
0.069417,676.9,101.4,1152.2,941.2,2407.2,327.5,547,1053.6,2299.4,0,63.8,-214.5
0.071417,680.9,133.3,1126.3,989.9,2409.2,330.7,546.5,1053.4,2300.1,0,65.6,-212.9
0.073417,673.1,177.5,1019.3,1044.6,2408.9,303.1,546,1053.2,2300.9,0,68.2,-200
0.075417,639.1,224.4,858.2,1004.4,2422.7,225.9,545.5,1053,2301.7,0,70.6,-169.6
