time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025542,518.0,27.4,957.7,1911.8,2200.1,1463.3,578.7,1162.3,2290,0,63.5,-200
0.027542,516.0,34.8,973.2,1150.3,2414.4,807.8,578.7,1162.3,2290.1,0,63.9,-200
0.029542,515.7,52.7,1035.1,878.0,2439.1,452.8,578.6,1162.2,2290.2,0,64,-200
0.031542,520.4,91.7,1066.9,730.6,2436.7,282.5,578.6,1162.2,2290.4,0,63.8,-200
0.033542,538.7,151.0,1082.9,669.0,2436.1,191.6,578.5,1162.1,2290.7,0,63.3,-200
0.035542,578.1,192.8,1116.7,646.6,2439.7,135.2,578.4,1162,2291,0,62.8,-200
0.037542,618.0,184.2,1161.3,625.9,2446.5,103.3,578.2,1161.9,2291.4,0,62.2,-200
0.039542,644.8,159.3,1211.1,652.5,2454.1,99.5,578.1,1161.8,2291.8,0,61.8,-200
0.041542,672.7,131.9,1290.7,739.9,2454.8,136.6,577.9,1161.7,2292.3,0,61.7,-200
0.043542,702.9,100.3,1388.2,810.0,2432.9,224.4,577.7,1161.5,2292.8,0,61.8,-200
0.045542,724.7,78.1,1464.5,888.4,2376.4,337.1,577.5,1161.4,2293.4,0,62.2,-200
0.047542,740.8,64.5,1526.4,1011.2,2298.6,411.6,577.3,1161.2,2294,0,62.5,-200
0.049542,754.4,53.3,1579.5,1096.5,2240.1,406.1,577,1161,2294.7,0,62.8,-200
0.051542,764.3,43.4,1627.1,1060.7,2227.1,357.8,576.7,1160.8,2295.5,0,62.9,-200
0.053542,766.8,36.4,1660.9,962.3,2241.3,310.0,576.4,1160.6,2296.3,0,62.8,-200
0.055542,759.3,32.5,1659.7,885.1,2257.6,282.4,576.1,1160.4,2297.1,0,62.8,-203.2
0.057542,747.6,30.0,1628.7,809.0,2270.0,283.0,575.8,1160.1,2298,0,63.4,-209.6
0.059542,739.6,32.2,1628.6,725.3,2285.9,321.9,575.4,1159.9,2299,0,64,-214.4
0.061542,733.9,42.4,1663.5,683.6,2313.0,399.3,575.1,1159.7,2300,0,65.6,-212.8
0.063542,717.7,66.8,1695.0,825.4,2330.7,469.9,574.7,1159.4,2301.1,0,67.7,-200
0.065542,674.2,123.6,1694.3,1428.4,2314.0,433.9,574.3,1159.1,2302.2,0,70,-169.6
0.067542,626.7,193.3,2309.9,318.3,2766.6,3857.4,573.8,1158.8,2303.4,0,71.9,-124.9
0.069542,443.0,501.4,655.1,293.1,2321.5,235.6,573.4,1158.6,2304.6,127.8,73.8,-75.3
0.071542,413.0,280.1,713.0,236.1,2338.8,182.2,572.9,1158.3,2305.9,127.7,75.4,-30.4
0.073542,407.4,218.0,727.6,198.2,2351.7,142.9,572.4,1158,2307.2,127.5,76.8,0.4
0.075542,412.2,200.8,729.5,194.3,2358.0,112.8,571.9,1157.7,2308.6,127.3,77.9,13.9
0.077542,421.1,199.8,722.7,207.2,2360.7,90.5,571.4,1157.4,2310,127.1,78.9,16.5
0.079542,428.1,199.8,714.4,218.6,2357.7,77.2,570.8,1157.1,2311.5,126.9,79.8,12.9
0.081542,434.5,198.2,717.1,222.4,2342.3,72.5,570.3,1156.8,2313,126.7,80.6,7.7
0.083542,443.4,191.8,733.7,206.3,2317.4,69.6,569.7,1156.5,2314.6,126.5,81.4,5.6
0.085542,454.8,177.0,749.9,173.3,2297.2,64.3,569,1156.2,2316.2,126.3,82,6.8
0.087542,463.6,158.7,758.1,146.0,2285.6,60.9,568.4,1155.9,2317.9,126.2,82.7,8.1
0.089542,469.4,147.7,762.0,132.0,2277.4,63.6,567.8,1155.6,2319.6,126,83.3,9.3
0.091542,476.2,143.3,767.4,124.1,2270.2,71.0,567.1,1155.3,2321.4,125.9,83.8,10.3
