time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025615,665.2,64.7,951.0,493.2,2396.0,332.5,568.9,1126.9,2289.9,0,65.5,6
0.027615,663.3,65.8,925.6,486.9,2375.1,362.7,568.9,1126.9,2290,0,65.8,-28
0.029615,665.1,74.0,890.4,576.4,2329.8,408.9,568.8,1126.9,2290.1,0,65.7,-81.4
0.031615,672.0,82.6,864.6,794.7,2221.1,398.8,568.7,1126.9,2290.3,0,65.4,-138.9
0.033615,684.2,103.9,883.7,954.2,2134.1,320.6,568.6,1126.9,2290.6,0,64.7,-185.6
0.035615,714.8,129.8,946.9,1089.9,2105.0,301.1,568.4,1126.9,2290.9,0,63.8,-209.4
0.037615,757.0,124.9,1087.0,1393.3,2100.6,363.8,568.3,1126.9,2291.3,0,62.8,-221.8
0.039615,777.8,104.0,1394.8,1465.2,2134.6,522.7,568.1,1126.9,2291.7,0,61.7,-225.7
0.041615,778.2,95.6,1546.8,1064.4,2264.6,647.2,567.8,1126.9,2292.2,0,61.2,-221.3
0.043615,764.9,110.1,1525.3,948.3,2343.8,592.5,567.6,1126.9,2292.8,0,61,-209
0.045615,748.4,157.6,1516.8,1214.3,2327.1,589.3,567.3,1126.9,2293.4,0,62.6,-187.2
0.047615,748.3,239.8,1755.8,2087.5,2255.2,582.2,567,1126.9,2294,0,65.1,-148.5
0.049615,730.4,300.0,1397.7,2673.3,2261.6,444.2,566.6,1126.8,2294.8,0,68.1,-100.2
0.051615,620.0,482.8,749.2,778.6,2309.4,299.6,566.3,1126.8,2295.5,132.3,70.6,-51.9
0.053615,466.2,297.7,840.5,383.4,2350.8,199.7,565.9,1126.8,2296.4,131.9,72.9,-12.9
0.055615,431.0,194.8,819.6,232.8,2372.7,144.7,565.4,1126.8,2297.3,131.5,74.8,8.4
0.057615,419.3,146.3,797.9,164.8,2379.0,115.9,565,1126.8,2298.2,131,76.4,15.6
0.059615,419.9,134.8,783.3,150.8,2372.8,102.9,564.5,1126.8,2299.2,130.6,77.7,14.2
0.061615,426.6,145.2,770.6,172.1,2358.4,96.6,564,1126.8,2300.3,130.2,78.8,8.9
0.063615,436.9,167.1,756.0,219.5,2334.6,92.2,563.5,1126.8,2301.4,129.7,79.8,4.4
0.065615,449.1,185.7,747.6,258.7,2303.1,85.7,562.9,1126.8,2302.5,129.3,80.7,4.3
0.067615,458.6,183.9,759.0,234.0,2274.0,73.2,562.4,1126.8,2303.8,128.9,81.5,5.2
0.069615,469.3,165.7,774.7,180.7,2259.5,59.9,561.8,1126.8,2305,128.5,82.4,6.1
0.071615,479.8,148.1,781.6,147.5,2255.5,51.1,561.1,1126.8,2306.4,128,83.1,6.9
0.073615,489.7,145.4,783.1,142.0,2254.3,47.7,560.5,1126.8,2307.7,127.6,83.8,7.7
0.075615,503.7,161.2,783.2,163.6,2251.4,47.8,559.8,1126.8,2309.2,127.2,84.4,8.4
0.077615,522.2,184.2,784.2,201.0,2246.4,48.5,559.1,1126.9,2310.7,126.9,84.9,9.1
0.079615,535.0,193.5,791.8,222.4,2242.3,48.8,558.4,1126.9,2312.2,126.5,85.3,9.8
0.081615,543.6,192.0,806.6,226.7,2241.4,50.7,557.7,1126.9,2313.8,126.2,85.6,10.3
0.083615,558.3,193.9,824.1,238.4,2245.1,54.5,556.9,1127,2315.4,125.8,85.8,10.7
0.085615,574.9,199.9,841.9,248.6,2251.3,56.1,556.1,1127,2317.1,125.5,85.9,10.8
0.087615,586.3,210.0,856.7,239.3,2258.6,54.7,555.3,1127,2318.8,125.2,85.8,10.6
0.089615,592.0,227.1,863.2,225.7,2268.9,53.2,554.5,1127.1,2320.6,124.9,85.7,10.1
0.091615,606.8,255.5,861.0,243.7,2284.7,54.0,553.6,1127.2,2322.4,124.7,85.6,9.7
0.093615,643.0,283.2,849.1,309.0,2302.8,56.1,552.7,1127.2,2324.3,124.4,85.4,9.3
0.095615,682.9,269.4,836.7,409.4,2317.0,57.8,551.8,1127.3,2326.2,124.2,85.2,9.1
0.097615,688.2,234.5,854.1,479.6,2328.2,60.7,550.9,1127.4,2328.2,124,85,9.1
0.099615,670.7,204.4,897.3,495.4,2337.3,69.2,550,1127.5,2330.2,123.8,84.9,9.2
0.101615,655.3,167.5,954.9,504.3,2344.5,83.6,549,1127.6,2332.3,123.6,84.7,9.2
0.103615,649.4,139.3,1004.7,504.3,2350.8,93.7,548,1127.7,2334.4,123.5,84.5,9.3
0.105615,646.5,128.4,1032.1,486.6,2356.2,95.6,547,1127.9,2336.5,123.3,84.3,9.4
0.107615,639.1,130.7,1055.1,435.0,2357.5,97.4,546,1128,2338.7,123.2,84.1,9.4
0.109615,629.9,139.0,1086.6,359.7,2350.0,105.6,545,1128.1,2341,123.1,83.9,9.5
0.111615,626.4,147.7,1113.5,299.2,2337.9,116.4,543.9,1128.3,2343.2,122.9,83.8,9.5
0.113615,628.0,153.6,1131.5,268.9,2329.6,125.9,542.9,1128.5,2345.5,122.8,83.6,9.5
0.115615,630.8,159.4,1146.4,262.2,2322.6,133.8,541.8,1128.7,2347.9,122.8,83.5,9.6
0.117615,637.8,167.5,1163.2,269.9,2314.5,136.7,540.7,1128.9,2350.3,122.7,83.5,9.5
0.119615,649.3,172.6,1176.3,274.7,2312.3,135.0,539.5,1129.1,2352.7,122.6,83.5,9.4
0.121615,657.1,177.8,1181.7,260.9,2317.3,135.2,538.4,1129.4,2355.2,122.6,83.5,9.3
0.123615,658.8,196.2,1187.2,240.4,2324.9,140.3,537.3,1129.6,2357.7,122.5,83.4,9.4
0.125615,659.7,232.8,1199.1,232.0,2327.0,146.1,536.1,1129.9,2360.2,122.5,83.4,9.6
0.127615,662.2,277.3,1214.2,234.2,2320.9,149.2,534.9,1130.2,2362.8,122.5,83.2,10.1
0.129615,660.9,302.3,1225.4,234.3,2317.1,150.9,533.7,1130.5,2365.4,122.5,83.1,10.6
0.131615,653.8,315.1,1232.3,224.6,2323.5,153.3,532.5,1130.8,2368,122.5,83,11.2
0.133615,644.8,328.7,1240.1,207.5,2335.5,156.5,531.3,1131.2,2370.7,122.5,82.9,11.7
0.135615,635.3,328.2,1248.7,192.3,2341.5,161.5,530.1,1131.6,2373.4,122.6,82.8,12.1
0.137615,624.0,309.4,1255.8,185.8,2338.0,168.9,528.8,1132,2376.1,122.6,82.8,12.4
0.139615,615.8,305.2,1264.6,199.1,2328.9,172.0,527.6,1132.4,2378.9,122.7,82.7,12.7
0.141615,617.2,324.0,1284.7,242.0,2317.9,169.8,526.3,1132.8,2381.7,122.7,82.7,12.9
0.143615,628.2,328.0,1321.5,302.7,2311.7,168.1,525,1133.3,2384.5,122.8,82.7,13.1
0.145615,635.2,305.5,1359.0,338.6,2314.5,167.0,523.7,1133.8,2387.3,122.9,82.8,13.3
0.147615,633.9,289.0,1380.9,342.6,2323.2,166.3,522.4,1134.3,2390.2,123,82.8,13.4
0.149615,630.3,287.4,1389.1,329.6,2331.3,168.9,521.1,1134.8,2393.1,123.1,82.9,13.6
0.151615,629.1,283.3,1391.6,311.0,2332.6,175.7,519.8,1135.4,2396,123.2,83,13.6
0.153615,625.6,266.8,1387.0,290.3,2327.8,186.8,518.5,1136,2399,123.3,83,13.7
0.155615,616.5,254.1,1378.6,271.2,2324.2,201.9,517.1,1136.6,2401.9,123.4,83,13.7
0.157615,606.1,257.1,1374.1,251.5,2324.7,218.0,515.8,1137.3,2404.9,123.5,83,13.7
0.159615,600.2,272.2,1373.5,229.6,2324.3,227.3,514.4,1137.9,2407.9,123.7,82.9,13.7
0.161615,595.1,285.7,1370.1,207.8,2319.2,230.1,513.1,1138.7,2410.9,123.8,82.8,13.6
0.163615,581.0,296.0,1364.3,188.4,2312.8,233.1,511.7,1139.4,2414,124,82.7,13.5
0.165615,558.1,312.0,1361.7,172.2,2304.8,234.7,510.4,1140.2,2417.1,124.2,82.6,13.1
0.167615,531.2,343.7,1363.2,159.6,2289.2,227.1,509,1141,2420.1,124.4,82.4,12.6
0.169615,504.9,387.5,1363.8,157.6,2269.3,219.8,507.6,1141.8,2423.2,124.5,82.3,12
0.171615,472.1,418.1,1359.1,170.0,2257.3,237.1,506.2,1142.7,2426.4,124.7,82.1,11.4
0.173615,432.6,430.7,1354.7,195.8,2265.4,290.6,504.9,1143.6,2429.5,125,82,10.9
